Date,Open,High,Low,Close,Volume
2019-06-03,24.7351,25.1638,22.7127,23.1228,19215874
2019-06-04,22.6941,26.0399,22.6941,25.8628,20135135
2019-06-05,25.6671,26.3009,24.6606,26.1052,10740207
2019-06-06,25.8069,25.8069,24.4462,25.0706,13986079
2019-06-07,24.3903,25.0986,23.9662,24.5208,10049227
2019-06-10,24.2971,24.9215,23.4117,23.5888,10247179
2019-06-11,23.3092,23.6354,22.8618,23.2533,11641194
2019-06-12,23.4024,23.7192,22.8152,23.3651,13392034
2019-06-13,23.3558,23.4769,23.0203,23.2719,9710759
2019-06-14,23.0762,23.5235,22.8805,23.4769,7036775
2019-06-17,23.7938,25.0706,23.7192,24.1852,13710064
2019-06-18,24.2598,25.6951,23.9988,25.4434,14485317
2019-06-19,25.6112,25.6112,25.0427,25.3036,10228757
2019-06-20,25.5087,25.7230,24.6233,25.3130,7727816
2019-06-21,25.0427,25.8256,25.0427,25.3596,12548904
2019-06-24,25.2943,26.5152,25.2130,26.1052,6495041
2019-06-25,26.1145,26.1797,25.6112,25.7883,6698570
2019-06-26,26.0306,27.3773,25.9560,27.2701,6735131
2019-06-27,27.3820,28.2674,27.2701,27.5591,5879610
2019-06-28,27.5870,27.7268,27.2701,27.5591,15517796
2019-07-01,27.5684,28.6588,26.9812,27.6616,5253349
2019-07-02,27.4938,27.5870,26.2263,27.0185,5438576
2019-07-03,26.8228,26.9346,26.2822,26.8414,2234906
2019-07-05,26.5152,27.3261,26.3382,26.6923,2888235
2019-07-08,26.4593,26.4593,25.7603,25.8815,3478698
2019-07-09,25.6019,25.8815,25.0054,25.1545,5286013
2019-07-10,24.9868,25.1638,24.6419,24.6978,4991777
2019-07-11,24.7444,24.9774,24.1946,24.6326,6066191
2019-07-12,24.6233,25.8442,24.4742,25.7230,5154558
2019-07-15,25.5460,26.3475,25.5366,26.1704,3443097
2019-07-16,26.0306,26.5618,25.8302,25.9654,3735879
2019-07-17,25.7230,25.8256,25.0240,25.0520,3999305
2019-07-18,24.7724,25.1452,24.6168,24.8376,3035241
2019-07-19,24.9681,25.6112,24.8283,25.5273,4694810
2019-07-22,25.4807,25.9560,25.3596,25.8722,2546126
2019-07-23,25.7696,26.5432,25.5832,26.2077,2921396
2019-07-24,25.8815,26.5805,25.7510,26.3941,2311843
2019-07-25,26.1890,26.4686,25.8628,26.1145,3532155
2019-07-26,25.8349,26.5851,25.7696,26.5432,3052703
2019-07-29,26.4314,26.9812,26.3941,26.8228,6245243
2019-07-30,26.2123,27.4199,26.0251,27.2701,7142213
2019-07-31,27.2421,28.2250,26.8770,27.6165,7662047
2019-08-01,27.6165,30.6871,27.5697,29.2548,11564072
2019-08-02,28.9646,29.5263,28.8803,29.4514,7305783
