Date,Open,High,Low,Close,Volume
1984-12-17,2.0473,2.0604,2.0147,2.0473,741600
1984-12-18,2.0604,2.1260,2.0604,2.1197,784800
1984-12-19,2.1061,2.1129,2.0473,2.0672,1562400
1984-12-20,2.0473,2.0735,2.0341,2.0604,664800
1984-12-21,2.0473,2.0473,1.9423,1.9685,578400
1984-12-24,1.9817,1.9948,1.9817,1.9885,170400
1984-12-26,1.9948,2.0011,1.9817,1.9948,348000
1984-12-27,1.9948,2.0210,1.9817,1.9817,380800
1984-12-28,1.9885,1.9885,1.9554,1.9554,1130400
1984-12-31,1.9486,1.9554,1.9029,1.9554,911200
1985-01-02,1.9423,1.9423,1.8504,1.8504,1360000
1985-01-03,1.8767,1.9223,1.8767,1.9160,996800
1985-01-04,1.9029,1.9554,1.8961,1.9360,421600
1985-01-07,1.9622,1.9748,1.9423,1.9486,580000
1985-01-08,1.9554,1.9622,1.9029,1.9160,973600
1985-01-09,1.9423,1.9554,1.9360,1.9360,496800
1985-01-10,1.9360,1.9817,1.9360,1.9748,444800
1985-01-11,1.9554,2.0341,1.9554,2.0341,2984000
1985-01-14,2.0273,2.0998,2.0210,2.0866,3213600
1985-01-15,2.0935,2.0998,2.0735,2.0798,3285600
1985-01-16,2.0672,2.0998,2.0604,2.0935,1461600
1985-01-17,2.0935,2.0935,2.0798,2.0935,477600
1985-01-18,2.0935,2.0935,2.0798,2.0866,668800
1985-01-21,2.0798,2.1129,2.0735,2.0998,2425600
1985-01-22,2.1061,2.2179,2.1061,2.1916,2204000
1985-01-23,2.1848,2.1916,2.1654,2.1785,726400
1985-01-24,2.1848,2.2048,2.1785,2.2048,1661600
1985-01-25,2.1985,2.2048,2.0672,2.1722,1444800
1985-01-28,2.1785,2.1916,2.1391,2.1523,627200
1985-01-29,2.1391,2.1460,2.1129,2.1391,926400
1985-01-30,2.1523,2.1848,2.1523,2.1848,1828800
1985-01-31,2.1848,2.1848,2.1391,2.1523,827200
1985-02-01,2.1654,2.1654,2.1391,2.1460,683200
1985-02-04,2.1586,2.1785,2.1586,2.1785,736800
1985-02-05,2.2179,2.2704,2.2179,2.2510,1245600
1985-02-06,2.2772,2.2772,2.2441,2.2441,581600
1985-02-07,2.2441,2.2573,2.2310,2.2441,413600
1985-02-08,2.2441,2.2704,2.2441,2.2573,683200
1985-02-11,2.2573,2.2704,2.2573,2.2635,282400
1985-02-12,2.2704,2.2772,2.2510,2.2510,547200
1985-02-13,2.2573,2.3559,2.2573,2.3491,486400
1985-02-14,2.3559,2.3885,2.3297,2.3297,2080000
1985-02-15,2.3160,2.3423,2.3160,2.3360,696800
1985-02-19,2.3229,2.3297,2.2835,2.3160,924800
1985-02-20,2.3097,2.3097,2.2441,2.2573,938400
1985-02-21,2.2441,2.2573,2.2048,2.2310,547200
1985-02-22,2.2247,2.2310,2.1785,2.1785,471200
1985-02-25,2.1785,2.1785,2.1460,2.1654,765600
1985-02-26,2.1654,2.2310,2.1654,2.2048,888000
