Date,Open,High,Low,Close,Volume
1984-10-03,1.3511,1.3575,1.3511,1.3511,116001
1984-10-04,1.3511,1.3907,1.3511,1.3511,147600
1984-10-05,1.3575,1.3575,1.3511,1.3511,113400
1984-10-08,1.3511,1.3706,1.3443,1.3511,454401
1984-10-09,1.3643,1.3970,1.3575,1.3907,2133801
1984-10-10,1.3907,1.4102,1.3907,1.3907,375801
1984-10-11,1.3970,1.4033,1.3970,1.4033,314601
1984-10-12,1.4033,1.4234,1.4033,1.4165,1234200
1984-10-15,1.4102,1.4302,1.4033,1.4234,366000
1984-10-16,1.4234,1.4365,1.4102,1.4165,261600
1984-10-17,1.4102,1.4434,1.4033,1.4302,435000
1984-10-18,1.4302,1.4629,1.4302,1.4561,545601
1984-10-19,1.4629,1.4893,1.3243,1.4629,639600
1984-10-22,1.4497,1.4629,1.4434,1.4434,336201
1984-10-23,1.4434,1.4561,1.4365,1.4365,231201
1984-10-24,1.4497,1.4497,1.4434,1.4497,197400
1984-10-25,1.4497,1.4497,1.4365,1.4365,336201
1984-10-26,1.4365,1.4365,1.4165,1.4165,239601
1984-10-29,1.4302,1.4365,1.4102,1.4234,250401
1984-10-30,1.4165,1.4365,1.4165,1.4365,198600
1984-10-31,1.4365,1.4434,1.4302,1.4365,165801
1984-11-01,1.4497,1.4956,1.4434,1.4824,657600
1984-11-02,1.4893,1.5420,1.4824,1.4956,3378000
1984-11-05,1.4956,1.5156,1.4956,1.5156,311001
1984-11-06,1.5288,1.5420,1.5225,1.5420,532200
1984-11-07,1.5420,1.5420,1.5024,1.5156,639600
1984-11-08,1.5024,1.5024,1.4824,1.4956,172200
1984-11-09,1.4893,1.5093,1.4893,1.4956,178200
1984-11-12,1.4893,1.5024,1.4893,1.5024,789201
1984-11-13,1.4956,1.5093,1.4956,1.4956,497400
1984-11-14,1.4956,1.5024,1.4956,1.5024,287400
1984-11-15,1.5024,1.5093,1.4956,1.5024,285000
1984-11-16,1.5024,1.5093,1.4893,1.4893,1615200
1984-11-19,1.4893,1.4956,1.4761,1.4761,989400
1984-11-20,1.4824,1.4893,1.4698,1.4824,3180000
1984-11-21,1.4824,1.4956,1.4824,1.4824,2886201
1984-11-23,1.4434,1.4698,1.4434,1.4629,1119801
1984-11-26,1.4824,1.4893,1.4629,1.4761,188601
1984-11-27,1.4761,1.4893,1.4698,1.4824,660201
1984-11-28,1.4824,1.4956,1.4824,1.4893,553401
1984-11-29,1.4824,1.4893,1.4698,1.4698,350001
1984-11-30,1.4698,1.4761,1.4629,1.4761,209601
1984-12-03,1.4893,1.4893,1.4629,1.4893,1299000
1984-12-04,1.4956,1.5024,1.4824,1.4956,230400
1984-12-05,1.4893,1.4893,1.4824,1.4893,98001
1984-12-06,1.4824,1.5225,1.4698,1.4761,345801
1984-12-07,1.4761,1.4761,1.4698,1.4761,228000
1984-12-10,1.4698,1.4761,1.4629,1.4698,583800
1984-12-11,1.4761,1.4761,1.4698,1.4698,206001
1984-12-12,1.4761,1.4824,1.4629,1.4629,343800
1984-12-13,1.4629,1.4698,1.4497,1.4629,228000
1984-12-14,1.4698,1.4956,1.4629,1.4824,513801
1984-12-17,1.4824,1.4893,1.4761,1.4893,332001
1984-12-18,1.4893,1.5225,1.4893,1.5093,376800
1984-12-19,1.5093,1.5288,1.5093,1.5156,409401
1984-12-20,1.5225,1.5288,1.5156,1.5288,169800
1984-12-21,1.5288,1.5288,1.4824,1.4956,329400
1984-12-24,1.4893,1.5024,1.4893,1.4893,84000
1984-12-26,1.4956,1.5024,1.4824,1.4893,154800
1984-12-27,1.4824,1.4956,1.4824,1.4956,729801
1984-12-28,1.4956,1.5093,1.4893,1.5024,283800
1984-12-31,1.5225,1.5225,1.4956,1.5225,336600
1985-01-02,1.5156,1.5225,1.5024,1.5024,155001
1985-01-03,1.4893,1.5093,1.4893,1.5093,567801
1985-01-04,1.4956,1.5093,1.4956,1.5024,192000
1985-01-07,1.5093,1.5420,1.5024,1.5351,464001
1985-01-08,1.5288,1.5351,1.5225,1.5225,614001
1985-01-09,1.5225,1.5351,1.5225,1.5288,325200
1985-01-10,1.5288,1.5488,1.5288,1.5488,392400
1985-01-11,1.5488,1.5552,1.5420,1.5488,623400
1985-01-14,1.5420,1.5683,1.5351,1.5552,413001
1985-01-15,1.5488,1.5615,1.5488,1.5552,265200
1985-01-16,1.5488,1.5615,1.5420,1.5488,239400
1985-01-17,1.5420,1.5488,1.5288,1.5488,220800
1985-01-18,1.5351,1.5683,1.5351,1.5615,357201
1985-01-21,1.5552,1.5683,1.5552,1.5615,243600
1985-01-22,1.5615,1.5884,1.5552,1.5815,535401
1985-01-23,1.5683,1.5747,1.5615,1.5683,229401
1985-01-24,1.5615,1.5615,1.5420,1.5552,243600
1985-01-25,1.5420,1.5552,1.5351,1.5420,1801200
1985-01-28,1.5351,1.5420,1.5093,1.5225,1052001
