Date,Open,High,Low,Close,Volume
1993-10-15,1.0833,1.3333,1.0833,1.2222,54590400
1993-10-18,1.2222,1.2778,1.2083,1.2639,5711400
1993-10-19,1.2361,1.2778,1.1944,1.1944,6852600
1993-10-20,1.1944,1.2361,1.1667,1.1667,3661200
1993-10-21,1.1667,1.3128,1.1667,1.2917,5981400
1993-10-22,1.2917,1.3611,1.2778,1.3056,4473000
1993-10-25,1.3056,1.3750,1.3056,1.3544,1670400
1993-10-26,1.3333,1.3750,1.3333,1.3333,1438200
1993-10-27,1.3611,1.3611,1.3056,1.3056,1344600
1993-10-28,1.3472,1.3472,1.2778,1.3194,1521000
1993-10-29,1.2917,1.3333,1.2917,1.2917,333000
1993-11-01,1.3267,1.3333,1.2917,1.2917,1337400
1993-11-02,1.3333,1.3333,1.2917,1.2989,867600
1993-11-03,1.2778,1.3333,1.2778,1.3333,3067200
1993-11-04,1.3194,1.3194,1.2639,1.2639,952200
1993-11-05,1.3056,1.3056,1.2639,1.2639,1108800
1993-11-08,1.2639,1.3056,1.2500,1.2500,1791000
1993-11-09,1.2778,1.2778,1.2500,1.2639,952200
1993-11-10,1.2500,1.2778,1.2500,1.2500,1751400
1993-11-11,1.2500,1.2778,1.2500,1.2778,3439800
1993-11-12,1.2778,1.2778,1.2500,1.2500,505800
1993-11-15,1.2500,1.2778,1.2222,1.2639,1011600
1993-11-16,1.2778,1.2778,1.2222,1.2294,581400
1993-11-17,1.2222,1.2778,1.2222,1.2222,811800
1993-11-18,1.2639,1.2639,1.0139,1.1111,3295800
1993-11-19,1.1111,1.1667,1.1111,1.1389,721800
1993-11-22,1.1667,1.1667,1.0556,1.0972,840600
1993-11-23,1.0972,1.1389,1.0694,1.1111,1686600
1993-11-24,1.0694,1.1111,1.0694,1.0694,493200
1993-11-26,1.0694,1.1111,1.0694,1.0694,669600
1993-11-29,1.0694,1.0833,1.0417,1.0628,745200
1993-11-30,1.0417,1.0833,1.0417,1.0833,1346400
1993-12-01,1.0972,1.1389,1.0417,1.1389,946800
1993-12-02,1.1667,1.2361,1.1528,1.2361,1197000
1993-12-03,1.2361,1.2361,1.1806,1.1806,210600
1993-12-06,1.2361,1.2361,1.1667,1.1667,378000
1993-12-07,1.1528,1.1667,1.0972,1.0972,169200
1993-12-08,1.0972,1.1667,1.0972,1.0972,610200
1993-12-09,1.0972,1.1667,1.0972,1.0972,117000
1993-12-10,1.1111,1.1111,1.0972,1.0972,63000
1993-12-13,1.0972,1.1528,1.0417,1.0906,1085400
1993-12-14,1.0417,1.0694,1.0417,1.0489,464400
1993-12-15,1.0417,1.0694,0.9722,0.9861,1024200
1993-12-16,1.0278,1.0278,0.9167,0.9306,1513800
1993-12-17,0.9306,1.0000,0.9306,1.0000,1409400
1993-12-20,1.0000,1.0000,0.9444,0.9444,1346400
1993-12-21,1.0000,1.0139,0.9444,1.0139,565200
1993-12-22,1.0139,1.0139,0.9583,1.0072,208800
1993-12-23,1.0139,1.0139,0.9583,0.9583,918000
1993-12-27,0.9583,1.0139,0.9583,0.9583,111600
1993-12-28,0.9583,1.0139,0.9583,1.0139,439200
1993-12-29,0.9583,1.0139,0.9583,0.9861,590400
1993-12-30,0.9583,0.9794,0.9583,0.9583,133200
1993-12-31,0.9583,1.0417,0.9583,1.0000,576000
1994-01-03,1.0417,1.0417,0.9722,0.9722,547200
1994-01-04,1.0556,1.0556,1.0000,1.0278,41400
1994-01-05,1.0556,1.0556,1.0139,1.0139,66600
1994-01-06,1.0556,1.0556,1.0139,1.0556,923400
1994-01-07,1.0278,1.0556,1.0000,1.0556,649800
1994-01-10,1.0556,1.0556,1.0139,1.0417,817200
1994-01-11,1.0556,1.0556,1.0139,1.0556,612000
1994-01-12,1.0556,1.0556,1.0000,1.0000,109800
1994-01-13,1.0278,1.0278,0.9444,1.0000,1256400
1994-01-14,0.9444,1.0000,0.9444,0.9444,120600
1994-01-17,1.0000,1.0000,0.8889,0.8889,1148400
1994-01-18,0.8750,0.9306,0.8194,0.8333,1404000
1994-01-19,0.9722,0.9722,0.8889,0.9444,748800
1994-01-20,0.9444,0.9583,0.9167,0.9583,750600
1994-01-21,0.9583,0.9583,0.9028,0.9028,1126800
1994-01-24,0.9028,0.9583,0.8889,0.8889,529200
1994-01-25,0.9583,0.9583,0.8889,0.9444,709200
1994-01-26,0.9583,0.9583,0.8889,0.9583,144000
1994-01-27,0.8889,0.9583,0.8889,0.9583,37800
1994-01-28,0.9444,0.9583,0.8889,0.8889,734400
1994-01-31,0.9583,0.9583,0.8889,0.9306,207000
1994-02-01,0.9444,0.9444,0.8333,0.9167,1447200
1994-02-02,0.9167,0.9167,0.8750,0.9167,120600
1994-02-03,0.8750,0.9028,0.8056,0.8128,3263400
1994-02-04,0.8750,0.8750,0.7917,0.8472,8065800
1994-02-07,0.8472,0.8611,0.7778,0.8194,887400
1994-02-08,0.8611,0.8611,0.8472,0.8611,201600
1994-02-09,0.8611,0.8889,0.8194,0.8889,3940200
1994-02-10,0.8472,0.9306,0.8472,0.9028,1517400
1994-02-11,0.9306,0.9583,0.9028,0.9028,1611000
1994-02-14,0.9583,0.9583,0.9028,0.9583,783000
1994-02-15,0.9583,0.9583,0.8889,0.9378,3124800
1994-02-16,0.8889,0.9583,0.8889,0.9028,2865600
1994-02-17,0.9583,0.9583,0.9028,0.9167,1096200
1994-02-18,0.9306,0.9861,0.9306,0.9861,475200
1994-02-22,0.9861,0.9861,0.9028,0.9583,846000
1994-02-23,0.9583,0.9583,0.9239,0.9583,127800
1994-02-24,0.9722,0.9722,0.8889,0.9028,1918800
1994-02-25,0.8889,0.9444,0.8889,0.9444,869400
1994-02-28,0.8750,0.9306,0.8611,0.9167,988200
1994-03-01,0.9167,0.9444,0.9028,0.9444,466200
1994-03-02,0.9028,0.9722,0.9028,0.9444,660600
1994-03-03,0.9722,1.0000,0.9306,0.9861,570600
1994-03-04,0.9583,1.0000,0.9583,1.0000,304200
1994-03-07,1.0000,1.0556,0.9583,1.0139,820800
1994-03-08,1.0556,1.0556,1.0139,1.0417,923400
1994-03-09,1.0556,1.0556,0.9861,1.0417,1191600
1994-03-10,1.0417,1.0833,1.0139,1.0556,1432800
1994-03-11,1.0833,1.0833,1.0139,1.0278,622800
1994-03-14,1.0278,1.0694,1.0000,1.0556,982800
1994-03-15,1.0556,1.0556,1.0000,1.0556,216000
1994-03-16,1.0556,1.0556,1.0000,1.0278,120600
1994-03-17,1.0556,1.0556,1.0000,1.0556,365400
1994-03-18,1.0556,1.0694,1.0000,1.0278,491400
1994-03-21,1.0556,1.0833,1.0278,1.0833,181800
