Date,Open,High,Low,Close,Volume
2016-09-07,22.1154,24.2303,22.0908,23.5531,41509210
2016-09-08,23.7739,24.9712,23.7543,24.6866,11551090
2016-09-09,24.4511,24.6179,23.6171,24.0830,7470246
2016-09-12,23.5825,24.3873,23.4108,24.2401,3926010
2016-09-13,23.6169,24.3578,23.5580,23.7984,5064423
2016-09-14,23.7445,23.8573,23.5531,23.7248,4829556
2016-09-15,23.6120,24.0585,23.5629,23.9898,4829444
2016-09-16,23.8622,24.0389,23.6095,23.7837,4991674
2016-09-19,23.6709,23.9898,23.6316,23.9260,4564512
2016-09-20,23.8917,24.0144,23.6365,23.9113,3368051
2016-09-21,23.7396,24.0438,23.6856,23.7592,4177538
2016-09-22,23.7935,23.9211,23.5089,23.5678,4786607
2016-09-23,23.4893,23.7837,23.4648,23.5580,2090594
2016-09-26,23.4157,23.5825,23.3961,23.4991,2842018
2016-09-27,23.4452,23.5423,23.3789,23.4501,2759074
2016-09-28,23.4942,23.6071,23.3225,23.4844,2249222
2016-09-29,23.3617,23.5188,23.3127,23.3421,1659201
2016-09-30,23.4452,23.6022,23.3372,23.4550,1730377
2016-10-03,23.3715,23.5776,23.3519,23.5188,1500267
2016-10-04,23.4697,23.5531,23.3666,23.4844,1681862
2016-10-05,23.4255,23.9751,23.3078,23.7837,1858186
2016-10-06,23.7837,23.8328,23.5384,23.7445,1442336
2016-10-07,23.7445,23.7837,23.5237,23.5875,986468
2016-10-10,23.5875,23.7494,23.2342,23.3176,1521169
2016-10-11,23.1409,23.4206,23.0428,23.1311,1753340
2016-10-12,23.0423,23.2832,22.9446,23.1164,1642490
2016-10-13,23.0133,23.2832,22.8833,23.1262,1342567
2016-10-14,23.1753,23.3617,23.0575,23.1802,1530378
2016-10-17,23.1900,23.3863,23.0771,23.2538,1350811
2016-10-18,23.3323,23.4550,23.0624,23.3961,1506618
2016-10-19,23.3323,23.5727,23.3176,23.4108,1249518
2016-10-20,23.2881,23.4746,23.2734,23.4059,1080203
2016-10-21,23.2881,23.3666,23.1017,23.1802,971353
2016-10-24,23.3568,23.6022,23.2930,23.5237,1016332
2016-10-25,23.4206,23.5237,22.9790,23.0575,1515104
2016-10-26,22.9888,23.2342,22.8858,22.9250,1655733
2016-10-27,24.2499,24.4118,23.5727,23.7150,7038115
2016-10-28,23.6071,24.1248,23.5482,23.9800,3822976
2016-10-31,24.0438,24.2842,23.9530,24.0880,3414274
2016-11-01,24.1076,24.2793,23.6758,23.7837,2236041
2016-11-02,23.6709,24.0929,23.6463,24.0438,1840274
2016-11-03,24.0242,24.2548,23.7886,23.9309,1336942
2016-11-04,23.8573,24.1517,23.7984,23.8573,1770249
2016-11-07,23.9898,24.5345,23.9898,24.2990,1281726
2016-11-08,24.2990,24.5050,24.2793,24.3775,932477
2016-11-09,23.8524,24.4756,23.7788,24.2253,1639145
2016-11-10,24.2204,24.5590,23.8426,24.1714,1675760
2016-11-11,24.1419,24.2646,23.9604,24.1174,887445
2016-11-14,24.1125,24.3137,23.7347,24.0389,983570
2016-11-15,24.0585,24.6964,23.9555,24.5737,1962098
2016-11-16,24.4707,24.9418,24.3971,24.8534,1402724
2016-11-17,24.8142,25.5901,24.7798,25.4177,1607039
2016-11-18,25.4079,25.6827,25.3687,25.5110,1179039
2016-11-21,25.4668,25.8643,25.4668,25.7318,883798
2016-11-22,25.8103,25.9329,25.2951,25.5600,801751
2016-11-23,25.4177,25.6827,25.2116,25.2901,839435
2016-11-25,25.2264,25.7220,25.1969,25.6091,254001
2016-11-28,25.5159,25.7121,25.4177,25.5846,740276
2016-11-29,25.5257,26.2421,25.5257,26.1390,1338996
2016-11-30,26.2764,26.3500,26.0949,26.2813,1426440
2016-12-01,26.2764,26.3255,25.1528,25.4570,2249853
2016-12-02,25.3637,26.0016,25.0350,25.8839,1338122
2016-12-05,25.9182,26.2175,25.7759,26.0360,1793474
2016-12-06,25.9182,26.2519,25.8643,26.1881,1659240
2016-12-07,26.1145,26.5758,25.9428,26.4482,2751771
