Date,Open,High,Low,Close,Volume
1992-06-05,1.8774,1.9200,1.8774,1.8774,14559598
1992-06-08,1.8774,1.9200,1.8774,1.8774,1305599
1992-06-09,1.8774,1.8774,1.7920,1.7920,1940501
1992-06-10,1.7920,1.8552,1.7920,1.7920,665301
1992-06-11,1.7920,1.7920,1.7067,1.7067,1381300
1992-06-12,1.7067,1.7699,1.7067,1.7067,500900
1992-06-15,1.7067,1.7699,1.7067,1.7699,207698
1992-06-16,1.7289,1.7920,1.7067,1.7289,339700
1992-06-17,1.7289,1.7920,1.7289,1.7289,522102
1992-06-18,1.7067,1.7920,1.7067,1.7067,321699
1992-06-19,1.7067,1.7920,1.7067,1.7067,985299
1992-06-22,1.7067,1.7494,1.7067,1.7067,628400
1992-06-23,1.7067,1.7494,1.7067,1.7067,330099
1992-06-24,1.7494,1.7494,1.7067,1.7067,300502
1992-06-25,1.7067,1.7494,1.7067,1.7067,349700
1992-06-26,1.7067,1.7494,1.7067,1.7494,422398
1992-06-29,1.7289,1.7494,1.7067,1.7067,214099
1992-06-30,1.7494,1.7494,1.7067,1.7494,189601
1992-07-01,1.7067,1.7920,1.7067,1.7494,287998
1992-07-02,1.7920,1.7920,1.7067,1.7067,516802
1992-07-06,1.7067,1.7494,1.7067,1.7494,94798
1992-07-07,1.7067,1.7494,1.7067,1.7067,228001
1992-07-08,1.7067,1.7067,1.6214,1.6214,448400
1992-07-09,1.6214,1.6862,1.5787,1.5787,95298
1992-07-10,1.5787,1.6640,1.5787,1.5787,175199
1992-07-13,1.6009,1.6640,1.5787,1.6640,149302
1992-07-14,1.6214,1.7067,1.5787,1.6640,381700
1992-07-15,1.7494,1.7494,1.6640,1.7494,94798
1992-07-16,1.6640,1.7067,1.6640,1.7067,13700
1992-07-17,1.6640,1.7494,1.6640,1.7494,168101
1992-07-20,1.7289,1.7494,1.6640,1.7494,216098
1992-07-21,1.6640,1.7494,1.6640,1.6640,44398
1992-07-22,1.6640,1.7494,1.6640,1.6640,56902
1992-07-23,1.7067,1.7494,1.7067,1.7067,63601
1992-07-24,1.7067,1.7494,1.6214,1.7067,149600
1992-07-27,1.6214,1.6436,1.6214,1.6436,232898
1992-07-28,1.7067,1.7067,1.6214,1.7067,257599
1992-07-29,1.6214,1.7920,1.6214,1.7920,261601
1992-07-30,1.7067,1.8347,1.7067,1.7494,546000
1992-07-31,1.7699,1.8552,1.7699,1.7920,394901
1992-08-03,1.8347,1.8347,1.7920,1.7920,88099
1992-08-04,1.7920,1.8347,1.7699,1.7699,114500
1992-08-05,1.7699,1.8347,1.7494,1.8347,164002
1992-08-06,1.8125,1.8125,1.7699,1.7699,267599
1992-08-07,1.7494,1.8125,1.7494,1.7494,314399
1992-08-10,1.7494,1.7920,1.7494,1.7920,144001
1992-08-11,1.7699,1.8125,1.7494,1.7494,47300
1992-08-12,1.7494,1.8125,1.7494,1.7494,1644502
1992-08-13,1.7494,1.7494,1.7494,1.7494,127302
1992-08-14,1.7494,1.8347,1.7494,1.8347,343199
1992-08-17,1.7920,1.8347,1.7494,1.7494,82102
1992-08-18,1.7494,1.7494,1.7494,1.7494,64399
1992-08-19,1.7494,1.8347,1.6640,1.7067,456498
1992-08-20,1.7067,1.7494,1.6214,1.7067,334900
1992-08-21,1.7067,1.7067,1.6214,1.6640,252101
1992-08-24,1.7067,1.7067,1.6640,1.6640,17300
1992-08-25,1.7067,1.7067,1.7067,1.7067,500
1992-08-26,1.6214,1.6436,1.6214,1.6214,93198
1992-08-27,1.7067,1.7067,1.6214,1.7067,188000
1992-08-28,1.6862,1.7494,1.6640,1.7494,248900
1992-08-31,1.6640,1.7494,1.6640,1.7494,289300
1992-09-01,1.7494,1.7494,1.6640,1.6640,49300
1992-09-02,1.6862,1.6862,1.6640,1.6640,88099
1992-09-03,1.6214,1.7067,1.6214,1.6214,520901
1992-09-04,1.5787,1.6214,1.4507,1.5360,855599
