Date,Open,High,Low,Close,Volume
1987-11-05,0.3560,0.3668,0.3452,0.3616,323200
1987-11-06,0.3344,0.3720,0.3344,0.3668,726400
1987-11-09,0.3400,0.3668,0.3400,0.3452,422400
1987-11-10,0.3344,0.3560,0.3236,0.3288,566400
1987-11-11,0.3344,0.3452,0.3344,0.3344,419200
1987-11-12,0.3504,0.3504,0.3400,0.3400,603200
1987-11-13,0.3452,0.3504,0.3400,0.3452,500800
1987-11-16,0.3400,0.3452,0.3288,0.3344,392000
1987-11-17,0.3236,0.3236,0.3021,0.3128,624000
1987-11-18,0.3128,0.3236,0.3128,0.3236,262400
1987-11-19,0.3288,0.3288,0.3185,0.3185,204800
1987-11-20,0.3128,0.3185,0.3128,0.3128,172800
1987-11-23,0.3185,0.3288,0.3128,0.3185,558400
1987-11-24,0.3288,0.3504,0.3072,0.3400,2088000
1987-11-25,0.3452,0.3452,0.3344,0.3400,576000
1987-11-27,0.3452,0.3504,0.3452,0.3504,129600
1987-11-30,0.3400,0.3400,0.3128,0.3236,716800
1987-12-01,0.3288,0.3288,0.3185,0.3185,227200
1987-12-02,0.3185,0.3185,0.3021,0.3128,230400
1987-12-03,0.3072,0.3128,0.3021,0.3021,833600
1987-12-04,0.3021,0.3021,0.2805,0.2805,376000
1987-12-07,0.2857,0.2913,0.2805,0.2857,364800
1987-12-08,0.2913,0.3128,0.2857,0.3072,731200
1987-12-09,0.3128,0.3344,0.3072,0.3344,652800
1987-12-10,0.3128,0.3400,0.3128,0.3236,3059200
1987-12-11,0.3288,0.3344,0.3021,0.3072,3721600
1987-12-14,0.3288,0.3452,0.3288,0.3400,939200
1987-12-15,0.3400,0.3776,0.3400,0.3776,908800
1987-12-16,0.3832,0.3935,0.3776,0.3776,1177600
1987-12-17,0.3776,0.3935,0.3776,0.3776,878400
1987-12-18,0.3832,0.3935,0.3832,0.3884,502400
1987-12-21,0.3884,0.3935,0.3776,0.3832,315200
1987-12-22,0.3776,0.3884,0.3776,0.3832,324800
1987-12-23,0.3776,0.4207,0.3776,0.3991,544000
1987-12-24,0.4048,0.4048,0.3884,0.3991,238400
1987-12-28,0.3935,0.3935,0.3668,0.3720,390400
1987-12-29,0.3668,0.3720,0.3616,0.3720,246400
1987-12-30,0.3668,0.3720,0.3616,0.3616,318400
1987-12-31,0.3560,0.3776,0.3560,0.3668,230400
1988-01-04,0.3668,0.3884,0.3668,0.3884,433600
1988-01-05,0.3884,0.4048,0.3776,0.3776,516800
1988-01-06,0.3668,0.3832,0.3668,0.3720,299200
1988-01-07,0.3668,0.3668,0.3560,0.3668,433600
1988-01-08,0.3668,0.3668,0.3236,0.3236,379200
1988-01-11,0.3288,0.3400,0.3288,0.3400,601600
1988-01-12,0.3344,0.3504,0.3344,0.3452,409600
