Date,Open,High,Low,Close,Volume
2019-03-20,43.7734,44.3958,41.0765,41.3254,2350838
2019-03-21,41.4831,41.4914,39.9977,40.6450,1764671
2019-03-22,40.4956,41.4499,39.9645,40.3296,844690
2019-03-25,40.3296,40.9935,39.8317,40.7860,440892
2019-03-26,40.6616,41.2839,39.9811,40.5371,504734
2019-03-27,40.6616,42.1387,40.6616,41.5744,1788588
2019-03-28,42.2382,42.3212,41.4209,42.1967,585438
2019-03-29,41.0931,43.5494,40.8109,42.8440,1769027
2019-04-01,43.4000,45.1343,42.5287,44.3958,19663442
2019-04-02,45.7401,47.6238,45.0596,46.6778,17413221
2019-04-03,47.3666,47.4661,46.0637,47.2006,15065850
2019-04-04,47.4661,50.2212,47.3832,49.5490,13310773
2019-04-05,48.4536,48.9432,46.6944,47.4993,17000458
2019-04-08,46.8853,48.4536,46.6944,47.4247,10764569
2019-04-09,47.1342,47.4661,46.5367,46.6944,9179431
2019-04-10,46.4621,46.8106,45.7235,46.2297,9081860
2019-04-11,46.2214,46.6446,45.4995,45.5492,7345374
2019-04-12,46.4123,48.4039,46.4123,48.3790,9240871
2019-04-15,48.6030,48.8354,47.5408,47.9474,5726760
2019-04-16,48.7192,48.9515,47.9972,48.5449,6681333
2019-04-17,48.9183,49.0013,48.2960,48.3956,6420363
2019-04-18,48.4287,48.6362,47.7566,47.9391,5178855
2019-04-22,47.6985,48.4702,47.5159,48.0387,4401749
2019-04-23,47.5408,47.9972,47.3002,47.8313,5687218
2019-04-24,47.7068,48.0387,46.3583,46.4538,5429895
2019-04-25,46.2712,46.4538,45.4912,45.9144,6260460
2019-04-26,45.8895,46.1384,45.5990,45.8480,4009795
2019-04-29,45.6820,46.2090,45.4746,46.0554,5935245
2019-04-30,46.2712,47.4703,46.1384,47.0761,6454064
2019-05-01,47.1508,47.6985,46.3708,46.5782,7644453
2019-05-02,46.0886,46.8770,43.1759,43.7319,13932682
2019-05-03,44.1468,44.2713,42.9187,44.2298,7401726
2019-05-06,43.2755,44.8356,42.9021,44.3626,6089501
2019-05-07,43.8647,44.2506,43.6904,43.9394,7330671
2019-05-08,44.2547,44.3087,43.4083,43.5494,5390660
2019-05-09,43.3668,44.0970,42.7776,43.9228,4579758
2019-05-10,43.9311,44.5735,43.5577,44.0390,4758086
2019-05-13,43.3834,43.6074,42.1221,42.2797,4213102
2019-05-14,42.5951,43.9809,42.1884,43.5494,4196135
2019-05-15,43.1344,44.2506,42.8772,43.9394,2928686
2019-05-16,44.2215,44.4373,43.7568,43.9643,3689745
2019-05-17,43.4332,43.5826,42.0391,42.1553,4440775
2019-05-20,41.8233,41.9395,41.4250,41.5578,5168422
2019-05-21,41.7237,42.4789,41.5080,42.0142,4968460
2019-05-22,41.8731,41.9976,41.4623,41.6657,3019120
2019-05-23,41.0765,41.3752,40.0060,40.4209,4919173
2019-05-24,40.9852,41.1387,40.1969,40.8275,2918936
2019-05-28,40.9686,41.0184,39.9147,40.2964,6613184
2019-05-29,39.9977,41.0184,39.8400,40.4209,3525856
2019-05-30,40.5080,40.9036,40.4238,40.8026,3777599
2019-05-31,40.3733,40.4070,39.3547,39.3631,3396225
2019-06-03,39.4389,40.3733,39.4389,40.3733,5905031
2019-06-04,40.9794,42.0317,40.9457,42.0317,7042962
