Date,Open,High,Low,Close,Volume
2004-07-13,6.4500,6.4960,6.2150,6.2196,14964100
2004-07-14,6.2196,6.2426,5.9478,6.1920,2801000
2004-07-15,6.1966,6.3808,6.1505,6.3762,1276200
2004-07-16,6.3901,6.4039,6.2242,6.3716,1488200
2004-07-19,6.3578,6.3578,6.1505,6.2288,966200
2004-07-20,6.2288,6.4177,6.1781,6.4177,719300
2004-07-21,6.4223,6.4223,6.2196,6.2657,472300
2004-07-22,6.2657,6.2887,6.1413,6.2657,218500
2004-07-23,6.1735,6.2749,6.1735,6.2472,268500
2004-07-26,6.2196,6.2196,6.0123,6.0814,236200
2004-07-27,6.0814,6.0814,5.7128,5.8741,2668000
2004-07-28,5.9201,6.0445,5.9155,6.0031,1028100
2004-07-29,6.0353,6.3486,6.0353,6.3486,1015700
2004-07-30,6.3210,6.4039,6.2426,6.4039,623000
2004-08-02,6.3578,6.3578,6.2426,6.3117,329400
2004-08-03,6.3117,6.4868,6.3117,6.4223,1557100
2004-08-04,6.4684,6.4684,6.3947,6.4039,156300
2004-08-05,6.4223,6.4500,6.3855,6.3993,188100
2004-08-06,6.3670,6.4500,6.3117,6.3578,276300
2004-08-09,6.3578,6.3578,6.2196,6.3117,212100
2004-08-10,6.3117,6.3808,6.2887,6.3532,272400
2004-08-11,6.3578,6.3947,6.2657,6.3117,166800
2004-08-12,6.2887,6.3348,6.2565,6.2795,284700
2004-08-13,6.3025,6.3117,6.1505,6.1735,104900
2004-08-16,6.1735,6.2426,6.1735,6.2104,86400
2004-08-17,6.1735,6.2887,6.1044,6.1966,161100
2004-08-18,6.2288,6.2841,6.1505,6.2703,43000
2004-08-19,6.2657,6.2657,5.8741,6.1275,124100
2004-08-20,6.1044,6.2841,6.0353,6.2841,112300
2004-08-23,6.3117,6.4085,6.2657,6.3808,442900
2004-08-24,6.3348,6.3578,6.1966,6.3578,607400
2004-08-25,6.3578,6.3993,6.2242,6.3578,307300
2004-08-26,6.4039,6.4039,6.3117,6.3117,104300
2004-08-27,6.3348,6.4868,6.3348,6.4684,880600
2004-08-30,6.4500,6.5191,6.4039,6.4592,265000
2004-08-31,6.4269,6.5651,6.4269,6.5651,401800
2004-09-01,6.5651,6.7218,6.5651,6.6573,421400
2004-09-02,6.6803,6.6803,6.5191,6.5882,273800
2004-09-03,6.4730,6.5421,6.3348,6.4500,310100
2004-09-07,6.4500,6.4730,6.2887,6.3901,329000
2004-09-08,6.3440,6.3901,6.3117,6.3532,178000
2004-09-09,6.3071,6.4269,6.3071,6.3486,163500
2004-09-10,6.5191,6.6204,6.4039,6.6204,1073900
2004-09-13,6.5882,6.6803,6.5743,6.6112,394400
2004-09-14,6.6527,6.8646,6.5790,6.8323,500500
2004-09-15,6.9107,7.0811,6.8646,7.0120,1045100
2004-09-16,7.0120,7.1410,7.0120,7.1318,531000
2004-09-17,7.0949,7.0949,6.9567,7.0028,270400
2004-09-20,7.0028,7.1318,6.9798,7.0258,185700
2004-09-21,7.0627,7.1548,7.0120,7.0949,241000
2004-09-22,7.0258,7.0719,6.8185,6.9613,351900
2004-09-23,6.9153,7.0028,6.8554,6.8968,181000
2004-09-24,6.9337,7.0028,6.8416,6.9291,215900
