Date,Open,High,Low,Close,Volume
1995-05-09,2.9526,3.2375,2.9526,3.1566,2350301
1995-05-10,3.2375,3.4382,3.2375,3.3605,4206600
1995-05-11,3.3605,3.4803,3.3605,3.4382,2716601
1995-05-12,3.4382,3.4803,3.3994,3.3994,1416701
1995-05-15,3.3994,3.4382,3.3994,3.3994,1000601
1995-05-16,3.3994,3.4382,3.3605,3.3994,1076100
1995-05-17,3.3994,3.3994,3.2796,3.3185,1304100
1995-05-18,3.3185,3.3994,3.3185,3.3605,375701
1995-05-19,3.3994,3.3994,3.3185,3.3605,370500
1995-05-22,3.5224,3.6843,3.4803,3.6034,1147601
1995-05-23,3.5613,3.6843,3.5224,3.6422,1165200
1995-05-24,3.6422,3.6422,3.5613,3.5613,884700
1995-05-25,3.5613,3.5613,3.4415,3.4803,456401
1995-05-26,3.5224,3.5224,3.4803,3.5224,548501
1995-05-30,3.4803,3.6843,3.3994,3.6034,1342200
1995-05-31,3.5224,3.6422,3.4803,3.5613,1961201
1995-06-01,3.5224,3.5613,3.4415,3.5224,1344900
1995-06-02,3.4803,3.5224,3.4415,3.4803,746100
1995-06-05,3.4803,3.6034,3.4415,3.5613,2864100
1995-06-06,3.5224,3.6034,3.5224,3.5613,1801301
1995-06-07,3.5613,3.6422,3.5224,3.5613,1063800
1995-06-08,3.5613,3.6843,3.5613,3.6034,1294500
1995-06-09,3.5613,3.6422,3.5613,3.5613,1593701
1995-06-12,3.6034,3.6034,3.5613,3.5613,2283600
1995-06-13,3.5224,3.6034,3.5224,3.6034,1550400
1995-06-14,3.5613,3.6422,3.5613,3.6034,1015601
1995-06-15,3.6034,3.7231,3.6034,3.6422,1559700
1995-06-16,3.6422,3.6843,3.6034,3.6034,1113401
1995-06-19,3.6034,3.6843,3.5613,3.6843,1375800
1995-06-20,3.6422,3.7231,3.6034,3.6422,2045501
1995-06-21,3.6422,3.6422,3.5224,3.5224,1594901
1995-06-22,3.5224,3.5613,3.4415,3.4803,2161500
1995-06-23,3.5224,3.6422,3.5224,3.5224,1132001
1995-06-26,3.5224,3.6034,3.4803,3.4803,1278101
