Date,Open,High,Low,Close,Volume
1970-01-02,3.1367,3.2461,3.1367,3.2461,6400
1970-01-05,3.2461,3.3380,3.2461,3.3191,4000
1970-01-06,3.3191,3.3556,3.3191,3.3191,11100
1970-01-07,3.3191,3.3556,3.3001,3.3191,8600
1970-01-08,3.3191,3.3731,3.3191,3.3731,6100
1970-01-09,3.3731,3.3920,3.3380,3.3731,4000
1970-01-12,3.3731,3.3920,3.3191,3.3731,6000
1970-01-13,3.3731,3.3920,3.3001,3.3556,7900
1970-01-14,3.3380,3.3380,3.3001,3.3001,3300
1970-01-15,3.3001,3.3380,3.2826,3.3191,7500
1970-01-16,3.2826,3.2826,3.2272,3.2461,5100
1970-01-19,3.2461,3.2461,3.2097,3.2097,5600
1970-01-20,3.2097,3.2272,3.1542,3.1922,7200
1970-01-21,3.1922,3.2461,3.1732,3.2097,4400
1970-01-22,3.2097,3.2461,3.2097,3.2097,5400
1970-01-23,3.2097,3.2272,3.1367,3.1732,5300
1970-01-26,3.1732,3.1922,3.1192,3.1367,5200
1970-01-27,3.1367,3.2097,3.1192,3.1192,6100
1970-01-28,3.1367,3.2097,3.1367,3.1542,5700
1970-01-29,3.1542,3.1922,3.0813,3.1002,11300
1970-01-30,3.1002,3.1192,3.0813,3.1192,3700
1970-02-02,3.1192,3.1732,3.1002,3.1367,6800
1970-02-03,3.1367,3.1732,3.1192,3.1367,5200
1970-02-04,3.1367,3.2097,3.1367,3.1732,5800
1970-02-05,3.1732,3.2272,3.1542,3.1922,4300
1970-02-06,3.1922,3.1922,3.1542,3.1922,4800
1970-02-09,3.1922,3.2097,3.1542,3.1542,4500
1970-02-10,3.1542,3.1732,3.1367,3.1367,5300
1970-02-11,3.1367,3.1732,3.1192,3.1732,4000
1970-02-12,3.1732,3.2826,3.1367,3.2826,6800
1970-02-13,3.2461,3.2461,3.1542,3.1732,9200
1970-02-16,3.1732,3.2097,3.1542,3.1732,3500
1970-02-17,3.1732,3.2272,3.1732,3.2097,2900
1970-02-18,3.2272,3.2651,3.2272,3.2651,1700
1970-02-19,3.2651,3.2826,3.2461,3.2461,2400
1970-02-20,3.2461,3.3001,3.2272,3.2461,5300
1970-02-24,3.2461,3.2651,3.2097,3.2272,4100
1970-02-25,3.2272,3.2651,3.2097,3.2651,8000
1970-02-26,3.2651,3.2651,3.2272,3.2461,5600
1970-02-27,3.2461,3.3191,3.2272,3.3001,5400
1970-03-02,3.3001,3.3191,3.2461,3.2651,7100
1970-03-03,3.2826,3.3731,3.2826,3.3731,8100
1970-03-04,3.3731,3.4110,3.3191,3.3731,7600
1970-03-05,3.3731,3.4285,3.3556,3.4110,5900
1970-03-06,3.4110,3.4285,3.3920,3.4110,3900
1970-03-09,3.4110,3.4110,3.3380,3.3380,4900
1970-03-10,3.3380,3.3920,3.3380,3.3731,4400
1970-03-11,3.3731,3.3731,3.2097,3.3001,35300
1970-03-12,3.2826,3.2826,3.2097,3.2461,3000
1970-03-13,3.2461,3.2651,3.1732,3.2272,5400
1970-03-16,3.2272,3.2651,3.1922,3.2651,4600
1970-03-17,3.2651,3.2651,3.2272,3.2272,3100
1970-03-18,3.2272,3.3001,3.2097,3.2826,7300
1970-03-19,3.2651,3.2651,3.2272,3.2651,4400
1970-03-20,3.2097,3.2097,3.1732,3.1732,2400
1970-03-23,3.1732,3.2097,3.1732,3.1922,3400
1970-03-24,3.1922,3.2272,3.1732,3.2272,4200
1970-03-25,3.2272,3.3556,3.2097,3.3380,8100
1970-03-26,3.3380,3.3556,3.3191,3.3380,4300
1970-03-30,3.3380,3.3380,3.2461,3.2461,6400
1970-03-31,3.2461,3.3001,3.2272,3.2461,5000
1970-04-01,3.2461,3.3001,3.2272,3.2272,6200
1970-04-02,3.2272,3.2826,3.2272,3.2461,3700
1970-04-03,3.2461,3.3001,3.2272,3.2651,4300
1970-04-06,3.2651,3.2651,3.1922,3.2461,12400
1970-04-07,3.2461,3.2461,3.1922,3.2272,4900
1970-04-08,3.2272,3.2651,3.1922,3.2651,5500
1970-04-09,3.2651,3.2826,3.2272,3.2461,4200
1970-04-10,3.2461,3.3001,3.2461,3.3001,3100
1970-04-13,3.3001,3.3001,3.2461,3.2461,4600
1970-04-14,3.2461,3.2651,3.2097,3.2097,6700
1970-04-15,3.2097,3.2826,3.2097,3.2272,7500
1970-04-16,3.2272,3.2651,3.2097,3.2097,4300
1970-04-17,3.2097,3.2651,3.1922,3.2272,4600
1970-04-20,3.2272,3.2461,3.1922,3.2461,4300
1970-04-21,3.2461,3.2461,3.1732,3.1922,2800
1970-04-22,3.1922,3.1922,3.1367,3.1732,7400
1970-04-23,3.1367,3.1367,3.0638,3.1002,10900
1970-04-24,3.1002,3.1192,2.9354,3.0083,34100
1970-04-27,3.0273,3.0813,3.0273,3.0463,6000
1970-04-28,3.0463,3.1002,2.9733,2.9908,8500
1970-04-29,2.9908,3.0463,2.9543,2.9908,15900
1970-04-30,2.9908,3.0463,2.9908,3.0273,6100
1970-05-01,3.0273,3.0273,2.9908,3.0083,3500
1970-05-04,3.0083,3.0463,2.9908,3.0083,6500
1970-05-05,3.0083,3.0083,2.9733,2.9908,4500
1970-05-06,2.9908,3.0273,2.9908,3.0083,4500
1970-05-07,3.0083,3.0273,2.9733,2.9908,10600
1970-05-08,2.9908,2.9908,2.9354,2.9733,5600
1970-05-11,2.9733,2.9733,2.9354,2.9733,3100
1970-05-12,2.9733,2.9733,2.9354,2.9354,9500
1970-05-13,2.9354,2.9543,2.9179,2.9179,7700
1970-05-14,2.9179,2.9733,2.9179,2.9543,6200
1970-05-15,2.9543,2.9733,2.9179,2.9543,7900
