Date,Open,High,Low,Close,Volume
1983-04-06,1.7559,1.7650,1.7559,1.7559,155700
1983-04-07,1.7749,1.7749,1.7461,1.7650,418700
1983-04-08,1.7650,1.7749,1.7650,1.7650,198700
1983-04-11,1.7650,1.7939,1.7650,1.7840,350500
1983-04-12,1.7939,1.7939,1.7749,1.7939,240400
1983-04-13,1.7840,1.8030,1.7749,1.7939,936300
1983-04-14,1.7840,1.7939,1.7650,1.7939,119500
1983-04-15,1.7939,1.7939,1.7749,1.7939,422800
1983-04-18,1.7939,1.8030,1.7840,1.7939,292500
1983-04-19,1.7939,1.8030,1.7840,1.7840,179200
1983-04-20,1.8030,1.8220,1.7939,1.8129,609100
1983-04-21,1.8129,1.8220,1.7840,1.7840,387000
1983-04-22,1.7840,1.7939,1.7650,1.7939,1195800
1983-04-25,1.7939,1.8030,1.7749,1.7939,131700
1983-04-26,1.7939,1.8030,1.7749,1.8030,474500
1983-04-27,1.8030,1.8129,1.7840,1.7840,729600
1983-04-28,1.7840,1.7939,1.7650,1.7749,1434200
1983-04-29,1.7749,1.7840,1.7559,1.7559,867000
1983-05-02,1.7559,1.7650,1.7461,1.7650,482300
1983-05-03,1.7650,1.7840,1.7559,1.7749,1038900
1983-05-04,1.7840,1.7939,1.7749,1.7939,174100
1983-05-05,1.7939,1.8030,1.7749,1.7939,915700
1983-05-06,1.8129,1.8220,1.7939,1.8220,331700
1983-05-09,1.8030,1.8129,1.7081,1.7939,707100
1983-05-10,1.7939,1.8030,1.7840,1.8030,1036600
1983-05-11,1.8030,1.8129,1.7939,1.7939,1592600
1983-05-12,1.8030,1.8129,1.7840,1.7939,551300
1983-05-13,1.7939,1.8030,1.7840,1.7840,2176300
1983-05-16,1.7369,1.7369,1.7271,1.7271,1662500
1983-05-17,1.7271,1.7369,1.7180,1.7271,368900
1983-05-18,1.7271,1.7369,1.7271,1.7369,382200
1983-05-19,1.7271,1.7369,1.7271,1.7369,232200
1983-05-20,1.7369,1.7369,1.7271,1.7369,293200
1983-05-23,1.7271,1.7369,1.7180,1.7369,460200
1983-05-24,1.7461,1.7749,1.7461,1.7650,422400
1983-05-25,1.7650,1.7650,1.7369,1.7369,630000
1983-05-26,1.7369,1.7650,1.7369,1.7461,320300
1983-05-27,1.7461,1.7559,1.7461,1.7559,113100
1983-05-31,1.7461,1.7559,1.7271,1.7461,963400
1983-06-01,1.7461,1.7461,1.7271,1.7369,569400
1983-06-02,1.7461,1.7461,1.7369,1.7461,673200
1983-06-03,1.7559,1.7559,1.7369,1.7461,370500
1983-06-06,1.7461,1.7461,1.7271,1.7369,388900
1983-06-07,1.7461,1.7461,1.7271,1.7369,307400
1983-06-08,1.7369,1.7369,1.7180,1.7180,780100
1983-06-09,1.7271,1.7271,1.6990,1.7081,670200
1983-06-10,1.7081,1.7180,1.7081,1.7180,187900
1983-06-13,1.7271,1.7369,1.7081,1.7369,67200
1983-06-14,1.7180,1.7369,1.7081,1.7180,276900
1983-06-15,1.7271,1.7271,1.6990,1.7271,143100
1983-06-16,1.7271,1.7369,1.7180,1.7271,349200
1983-06-17,1.7271,1.7461,1.7180,1.7369,301000
1983-06-20,1.7271,1.7369,1.7081,1.7180,307200
1983-06-21,1.7180,1.7271,1.6420,1.7180,757800
1983-06-22,1.7271,1.7271,1.7180,1.7271,616700
1983-06-23,1.7180,1.7271,1.7081,1.7180,216100
1983-06-24,1.7180,1.7271,1.7081,1.7081,130500
1983-06-27,1.7081,1.7180,1.6990,1.7180,175200
1983-06-28,1.6990,1.7180,1.6990,1.7180,537100
1983-06-29,1.7180,1.7271,1.7081,1.7180,428600
1983-06-30,1.7180,1.7271,1.7180,1.7271,176600
1983-07-01,1.7369,1.7369,1.7081,1.7081,241100
1983-07-05,1.6990,1.7180,1.6891,1.7081,1415400
1983-07-06,1.7180,1.7271,1.7081,1.7180,95900
1983-07-07,1.7271,1.7369,1.7180,1.7369,312900
1983-07-08,1.7271,1.7369,1.7271,1.7369,338800
1983-07-11,1.7369,1.7650,1.7271,1.7650,121600
1983-07-12,1.7461,1.7650,1.7369,1.7461,126600
1983-07-13,1.7369,1.7650,1.7369,1.7559,252300
1983-07-14,1.7650,1.7749,1.7559,1.7559,650000
1983-07-15,1.7559,1.7559,1.7461,1.7461,526800
1983-07-18,1.7461,1.7650,1.7461,1.7650,190200
1983-07-19,1.7559,1.7840,1.7559,1.7749,429900
1983-07-20,1.7840,1.8030,1.7840,1.7840,420300
1983-07-21,1.7939,1.7939,1.7749,1.7939,93600
1983-07-22,1.7840,1.7939,1.7749,1.7840,781500
1983-07-25,1.7749,1.7840,1.7650,1.7749,172300
1983-07-26,1.7749,1.7749,1.7650,1.7749,484100
1983-07-27,1.7749,1.7749,1.7559,1.7559,1094200
1983-07-28,1.7650,1.7650,1.7180,1.7180,108000
1983-07-29,1.7271,1.7271,1.7081,1.7271,1906900
1983-08-01,1.7180,1.7271,1.6990,1.7180,237900
1983-08-02,1.7369,1.7650,1.7369,1.7461,1225700
1983-08-03,1.7461,1.7559,1.7369,1.7461,864300
1983-08-04,1.7369,1.7559,1.7369,1.7369,1203600
1983-08-05,1.7461,1.7461,1.7180,1.7369,876700
1983-08-08,1.7180,1.7271,1.7081,1.7180,518500
1983-08-09,1.7081,1.7271,1.7081,1.7180,256000
1983-08-10,1.7081,1.7749,1.6990,1.7081,108700
1983-08-11,1.7081,1.7180,1.6990,1.7081,1037500
1983-08-12,1.7081,1.7271,1.7081,1.7180,1089800
1983-08-15,1.6800,1.6891,1.6701,1.6701,3027800
1983-08-16,1.6800,1.6800,1.6610,1.6701,304400
1983-08-17,1.6610,1.6701,1.6512,1.6701,1887600
1983-08-18,1.6701,1.6701,1.6610,1.6610,399000
1983-08-19,1.6701,1.6701,1.6512,1.6610,388600
1983-08-22,1.6610,1.6800,1.6610,1.6701,482900
1983-08-23,1.6701,1.6701,1.6610,1.6610,159900
1983-08-24,1.6701,1.6701,1.6610,1.6610,169700
1983-08-25,1.6610,1.6701,1.6512,1.6610,819100
1983-08-26,1.6701,1.6701,1.6610,1.6701,137600
1983-08-29,1.6610,1.6701,1.6512,1.6610,650000
1983-08-30,1.6610,1.6701,1.6512,1.6610,539400
1983-08-31,1.6610,1.6701,1.6512,1.6701,310400
1983-09-01,1.6701,1.6701,1.6610,1.6701,254000
1983-09-02,1.6701,1.6800,1.6701,1.6800,323200
1983-09-06,1.6891,1.6891,1.6800,1.6891,195900
1983-09-07,1.6891,1.7081,1.6800,1.6990,593100
1983-09-08,1.6990,1.7081,1.6891,1.6990,78000
1983-09-09,1.7081,1.7271,1.6990,1.7271,417500
1983-09-12,1.7369,1.7559,1.7271,1.7461,1065300
1983-09-13,1.7461,1.7559,1.7461,1.7559,134900
1983-09-14,1.7559,1.7650,1.7081,1.7559,103700
1983-09-15,1.7559,1.7559,1.7461,1.7461,106900
1983-09-16,1.7461,1.7749,1.7461,1.7749,482700
1983-09-19,1.7749,1.7840,1.7559,1.7749,153200
1983-09-20,1.7840,1.7939,1.7749,1.7840,662100
1983-09-21,1.7840,1.7939,1.7180,1.7939,234200
1983-09-22,1.7939,1.7939,1.7749,1.7840,122500
1983-09-23,1.7939,1.7939,1.7650,1.7840,375800
1983-09-26,1.7840,1.8129,1.7840,1.8129,161700
1983-09-27,1.8030,1.8129,1.7939,1.8030,333800
1983-09-28,1.8129,1.8129,1.8030,1.8129,516000
1983-09-29,1.8030,1.8129,1.8030,1.8030,460700
1983-09-30,1.8129,1.8318,1.8030,1.8318,364800
1983-10-03,1.8318,1.8599,1.8220,1.8599,226400
1983-10-04,1.8508,1.9169,1.8508,1.9169,991900
1983-10-05,1.9169,1.9267,1.8979,1.9169,1471600
1983-10-06,1.9169,1.9457,1.8979,1.9457,886300
1983-10-07,1.9358,1.9358,1.8979,1.9267,1532200
1983-10-10,1.9078,1.9169,1.9078,1.9169,58000
1983-10-11,1.9078,1.9169,1.8698,1.8789,703000
1983-10-12,1.8698,1.8789,1.8409,1.8508,255100
1983-10-13,1.8508,1.8508,1.8409,1.8508,114700
1983-10-14,1.8698,1.8789,1.8508,1.8599,441600
1983-10-17,1.8789,1.8789,1.8599,1.8789,364800
1983-10-18,1.8789,1.8979,1.8789,1.8789,619200
1983-10-19,1.8789,1.8888,1.8789,1.8888,318000
1983-10-20,1.8979,1.9169,1.8888,1.9078,458400
1983-10-21,1.9169,1.9267,1.8979,1.9169,620200
1983-10-24,1.9078,1.9267,1.8979,1.9267,754200
1983-10-25,1.9267,1.9358,1.9267,1.9358,76100
1983-10-26,1.9358,1.9647,1.9358,1.9548,208500
1983-10-27,1.9647,1.9837,1.9457,1.9548,1170400
1983-10-28,1.9647,1.9738,1.9548,1.9738,638500
1983-10-31,1.9738,1.9738,1.9647,1.9738,1002200
