Date,Open,High,Low,Close,Volume
1992-03-17,2.6786,2.6786,2.6042,2.6414,31200
1992-03-18,2.6414,2.6414,2.6414,2.6414,200
1992-03-19,2.6042,2.6042,2.5670,2.5670,10000
1992-03-20,2.5670,2.5670,2.5670,2.5670,1400
1992-03-23,2.5670,2.6042,2.5670,2.6042,10200
1992-03-24,2.6414,2.6414,2.6042,2.6042,2000
1992-03-25,2.6042,2.6414,2.6042,2.6414,22000
1992-03-26,2.6414,2.6786,2.6414,2.6786,2400
1992-03-27,2.6414,2.7158,2.6042,2.6042,56400
1992-03-30,2.6414,2.6414,2.5670,2.5670,38600
1992-03-31,2.5298,2.5670,2.5298,2.5670,2800
1992-04-01,2.4926,2.6042,2.4926,2.4926,45000
1992-04-02,2.4926,2.4926,2.4926,2.4926,19600
1992-04-03,2.4926,2.4926,2.4926,2.4926,20400
1992-04-06,2.4926,2.4926,2.4926,2.4926,2200
1992-04-07,2.5298,2.5298,2.4926,2.4926,30000
1992-04-08,2.4926,2.4926,2.4926,2.4926,61400
1992-04-09,2.4926,2.5298,2.4926,2.5298,27200
1992-04-10,2.4926,2.5670,2.4926,2.5298,18000
1992-04-13,2.4926,2.5298,2.4926,2.5298,20600
1992-04-14,2.5298,2.5298,2.5298,2.5298,0
1992-04-15,2.4926,2.4926,2.4926,2.4926,1400
1992-04-16,2.5670,2.5670,2.5298,2.5298,3000
1992-04-20,2.5670,2.5670,2.4926,2.4926,6800
1992-04-21,2.4554,2.4554,2.4554,2.4554,37400
1992-04-22,2.4182,2.4182,2.3810,2.3810,7600
1992-04-23,2.3810,2.3810,2.3810,2.3810,800
1992-04-24,2.3438,2.4926,2.3438,2.4926,48600
1992-04-27,2.5298,2.5670,2.5298,2.5670,25400
1992-04-28,2.5670,2.5670,2.5670,2.5670,2200
1992-04-29,2.5670,2.5670,2.5298,2.5670,6400
1992-04-30,2.5298,2.6786,2.5298,2.6786,6000
1992-05-01,2.6786,2.6786,2.6786,2.6786,0
1992-05-04,2.6786,2.6786,2.6786,2.6786,8800
1992-05-05,2.6786,2.6786,2.6786,2.6786,7000
1992-05-06,2.6786,2.6786,2.6786,2.6786,7000
1992-05-07,2.7530,2.7902,2.7158,2.7902,13200
1992-05-08,2.8274,2.8274,2.7902,2.7902,5200
1992-05-11,2.7902,2.8274,2.7902,2.8274,12400
1992-05-12,2.7902,2.7902,2.7902,2.7902,20800
1992-05-13,2.8274,2.8274,2.8274,2.8274,1600
1992-05-14,2.9018,2.9018,2.8646,2.8646,5600
1992-05-15,2.8646,2.8646,2.8646,2.8646,2800
1992-05-18,2.8646,2.8646,2.8646,2.8646,8400
1992-05-19,2.9018,3.3125,2.9018,3.3125,37000
1992-05-20,3.2739,3.3483,3.2381,3.3483,44200
1992-05-21,3.3125,3.3125,3.1637,3.1994,55600
1992-05-22,3.2381,3.2381,3.1994,3.1994,2400
1992-05-26,3.1994,3.3483,3.1994,3.3483,14600
1992-05-27,3.3483,3.3483,3.1994,3.1994,18400
1992-05-28,3.1994,3.2381,3.1994,3.1994,32000
1992-05-29,3.2739,3.2739,3.2739,3.2739,16000
1992-06-01,3.2381,3.2381,3.1994,3.1994,28400
1992-06-02,3.1637,3.1637,3.1637,3.1637,800
1992-06-03,3.1637,3.1637,3.1250,3.1250,47600
1992-06-04,3.1250,3.1250,3.0893,3.1250,3200
1992-06-05,3.0893,3.0893,3.0893,3.0893,20200
1992-06-08,3.0506,3.0893,2.9762,2.9762,77000
1992-06-09,2.9390,2.9762,2.9390,2.9762,7600
1992-06-10,3.0149,3.0506,2.9018,2.9390,13400
1992-06-11,2.9762,2.9762,2.9762,2.9762,5000
1992-06-12,2.9762,3.1637,2.9762,3.0893,142800
1992-06-15,3.0893,3.0893,3.0506,3.0506,4200
1992-06-16,3.1250,3.1250,3.1250,3.1250,8600
1992-06-17,3.1994,3.2381,3.1637,3.1994,49600
1992-06-18,3.1994,3.1994,3.1994,3.1994,100000
1992-06-19,3.1994,3.2739,3.1994,3.2381,39000
1992-06-22,3.1994,3.1994,3.0506,3.0893,115800
1992-06-23,3.0893,3.0893,3.0506,3.0506,15000
1992-06-24,3.0149,3.0506,2.9762,3.0149,179600
1992-06-25,3.0149,3.0149,2.9762,3.0149,59000
1992-06-26,2.9762,3.0893,2.9762,3.0893,1945800
1992-06-29,3.1250,3.1994,3.1250,3.1994,175400
1992-06-30,3.1994,3.1994,3.1250,3.1250,210200
1992-07-01,3.1250,3.1994,3.1250,3.1994,98400
1992-07-02,3.1994,3.2739,3.1994,3.2381,72000
1992-07-06,3.2381,3.4614,3.2381,3.4614,40200
1992-07-07,3.4614,3.4614,3.3869,3.3869,140200
1992-07-08,3.3125,3.4971,3.3125,3.4971,116600
1992-07-09,3.4614,3.5358,3.4614,3.4971,107800
1992-07-10,3.4971,3.6102,3.4971,3.6102,145000
