Date,Open,High,Low,Close,Volume
1990-03-26,0.5342,0.5342,0.5190,0.5190,51200
1990-03-27,0.5190,0.5263,0.5116,0.5263,532800
1990-03-28,0.5190,0.5342,0.5190,0.5342,65600
1990-03-29,0.5190,0.5342,0.5190,0.5263,227200
1990-03-30,0.5190,0.5342,0.5190,0.5190,555200
1990-04-02,0.5342,0.5342,0.5263,0.5263,86400
1990-04-03,0.5342,0.5727,0.5342,0.5568,1124800
1990-04-04,0.5727,0.5727,0.5495,0.5568,3081600
1990-04-05,0.5647,0.5800,0.5495,0.5647,500800
1990-04-06,0.6105,0.7253,0.6105,0.7253,10040000
1990-04-09,0.7253,0.7253,0.6716,0.6869,5342400
1990-04-10,0.6869,0.6869,0.6643,0.6716,3008000
1990-04-11,0.6789,0.6789,0.6563,0.6563,513600
1990-04-12,0.6484,0.6643,0.6411,0.6563,2334400
1990-04-16,0.6563,0.7174,0.6563,0.7094,3945600
1990-04-17,0.7094,0.7174,0.6869,0.7021,3857600
1990-04-18,0.7174,0.7326,0.7021,0.7253,1016000
1990-04-19,0.7174,0.7937,0.7174,0.7937,3273600
1990-04-20,0.7937,0.8010,0.7558,0.7632,2622400
1990-04-23,0.7784,0.7784,0.7479,0.7558,3491200
1990-04-24,0.7705,0.7864,0.7558,0.7705,1857600
1990-04-25,0.7864,0.7937,0.7705,0.7784,2246400
1990-04-26,0.7937,0.8242,0.7937,0.8090,1059200
1990-04-27,0.8242,0.8242,0.8010,0.8010,1984000
1990-04-30,0.8169,0.8780,0.8010,0.8700,3134400
1990-05-01,0.8853,0.8926,0.8700,0.8700,848000
1990-05-02,0.8853,0.8853,0.8548,0.8548,1889600
1990-05-03,0.8780,0.8853,0.8621,0.8621,441600
1990-05-04,0.8700,0.8780,0.8548,0.8621,740800
1990-05-07,0.8621,0.8926,0.8621,0.8700,1096000
1990-05-08,0.8926,0.9390,0.8780,0.9390,2844800
1990-05-09,0.9311,0.9390,0.9231,0.9311,3497600
1990-05-10,0.9231,0.9390,0.9158,0.9231,3310400
1990-05-11,0.9231,0.9311,0.9085,0.9231,3145600
1990-05-14,0.9390,0.9537,0.9311,0.9537,4852800
1990-05-15,0.9463,0.9537,0.9311,0.9311,2092800
1990-05-16,0.9311,0.9463,0.9311,0.9390,302400
1990-05-17,0.9390,0.9463,0.9311,0.9463,1232000
1990-05-18,0.9390,0.9463,0.9311,0.9311,2961600
1990-05-21,0.9311,0.9463,0.9085,0.9158,2056000
1990-05-22,0.9085,0.9231,0.9085,0.9231,1004800
1990-05-23,0.9085,0.9311,0.9085,0.9311,3284800
1990-05-24,0.9311,0.9695,0.9158,0.9695,4632000
1990-05-25,0.9537,1.0147,0.9537,1.0074,3019200
1990-05-29,1.0074,1.0147,0.9921,1.0001,1246400
1990-05-30,1.0074,1.0306,1.0074,1.0074,2716800
1990-05-31,1.0227,1.0227,1.0074,1.0147,1691200
1990-06-01,1.0147,1.0147,0.9769,0.9921,1136000
