Date,Open,High,Low,Close,Volume
1998-09-24,0.7926,0.8037,0.6555,0.7019,218289600
1998-09-25,0.6740,0.6834,0.6093,0.6649,51033600
1998-09-28,0.7037,0.7537,0.6814,0.7148,37783200
1998-09-29,0.7315,0.7444,0.7074,0.7241,16536000
1998-09-30,0.6991,0.7111,0.6407,0.6675,18566400
1998-10-01,0.6315,0.6407,0.5926,0.5926,18700800
1998-10-02,0.6000,0.6185,0.5185,0.5926,19704000
1998-10-05,0.5797,0.5797,0.5167,0.5315,14239200
1998-10-06,0.5666,0.5666,0.4741,0.5407,16948800
1998-10-07,0.5185,0.5278,0.4575,0.4575,14755200
1998-10-08,0.4130,0.4333,0.3741,0.4296,24062400
1998-10-09,0.4555,0.4778,0.4370,0.4564,16212000
1998-10-12,0.4741,0.4741,0.4666,0.4666,11868000
1998-10-13,0.4675,0.4703,0.4333,0.4352,6494400
1998-10-14,0.4315,0.4760,0.4315,0.4463,13020000
1998-10-15,0.4463,0.4852,0.4463,0.4834,12266400
1998-10-16,0.4945,0.5407,0.4889,0.5333,18242400
1998-10-19,0.5500,0.6814,0.5481,0.6723,32892000
1998-10-20,0.7259,0.7686,0.6703,0.6889,45998400
1998-10-21,0.7259,0.7629,0.7000,0.7490,27652800
1998-10-22,0.7666,0.7926,0.7296,0.7638,22442400
1998-10-23,0.7649,0.7740,0.7333,0.7426,13598400
1998-10-26,0.8888,1.0888,0.8703,1.0871,164133600
1998-10-27,1.2073,1.3453,1.1888,1.2222,240333600
1998-10-28,1.1555,1.2555,1.1333,1.1851,107136000
1998-10-29,1.2036,1.2287,1.1814,1.1833,34154400
1998-10-30,1.1982,1.2500,1.1860,1.2315,39960000
1998-11-02,1.2870,1.2999,1.2407,1.2444,52065600
1998-11-03,1.2592,1.2666,1.2296,1.2444,19351200
1998-11-04,1.2666,1.2703,1.2102,1.2250,18784800
1998-11-05,1.1999,1.2407,1.1666,1.2028,27813600
1998-11-06,1.1908,1.2509,1.1888,1.2444,20608800
1998-11-09,1.2537,1.5258,1.2518,1.5258,85166400
