Date,Open,High,Low,Close,Volume
1988-01-05,1.8035,1.8587,1.8035,1.8403,425600
1988-01-06,1.8403,1.8403,1.8035,1.8035,296800
1988-01-07,1.8123,1.8123,1.7755,1.7946,527200
1988-01-08,1.8035,1.8035,1.7578,1.7578,412000
1988-01-11,1.7755,1.7755,1.6930,1.7298,134400
1988-01-12,1.7298,1.7298,1.6474,1.6651,260000
1988-01-13,1.6930,1.7298,1.6746,1.7114,342400
1988-01-14,1.7114,1.7483,1.7114,1.7483,73600
1988-01-15,1.7755,1.8035,1.7667,1.7755,223200
1988-01-18,1.7946,1.7946,1.7667,1.7667,49600
1988-01-19,1.7483,1.7667,1.7298,1.7483,177600
1988-01-20,1.7667,1.7755,1.6930,1.6930,152800
1988-01-21,1.6930,1.6930,1.6378,1.6378,211200
1988-01-22,1.6474,1.6562,1.6474,1.6474,284000
1988-01-25,1.6562,1.6842,1.6474,1.6746,303200
1988-01-26,1.6746,1.6842,1.6562,1.6562,125600
1988-01-27,1.6746,1.6930,1.6651,1.6746,52000
1988-01-28,1.6746,1.7210,1.6746,1.7019,195200
1988-01-29,1.7114,1.7578,1.7019,1.7387,363200
1988-02-01,1.7298,1.7483,1.7114,1.7114,134400
1988-02-02,1.7114,1.7578,1.6930,1.7578,144800
1988-02-03,1.7483,1.7667,1.7483,1.7483,39200
1988-02-04,1.7483,1.7578,1.7387,1.7387,154400
1988-02-05,1.7578,1.7578,1.7298,1.7298,131200
1988-02-08,1.7210,1.7210,1.6562,1.6746,362400
1988-02-09,1.6930,1.7298,1.6930,1.7210,148800
1988-02-10,1.7298,1.7387,1.7114,1.7114,38400
1988-02-11,1.7114,1.7387,1.7114,1.7387,200800
1988-02-12,1.7210,1.7483,1.7210,1.7210,197600
1988-02-16,1.7114,1.7114,1.6474,1.6562,1862400
1988-02-17,1.6562,1.7210,1.6562,1.7114,557600
1988-02-18,1.7114,1.7578,1.6930,1.7298,264000
1988-02-19,1.7298,1.7578,1.7298,1.7578,104800
1988-02-22,1.7483,1.7667,1.7387,1.7667,294400
1988-02-23,1.7851,1.8403,1.7851,1.8035,564800
1988-02-24,1.7946,1.8035,1.7667,1.7946,902400
1988-02-25,1.7755,1.8403,1.7755,1.8219,955200
1988-02-26,1.8219,1.8682,1.8219,1.8403,884000
1988-02-29,1.8403,1.8859,1.8403,1.8859,522400
1988-03-01,1.8771,1.9595,1.8771,1.9507,274400
1988-03-02,1.9323,1.9595,1.9323,1.9323,673600
1988-03-03,1.9507,1.9875,1.9507,1.9875,3256000
1988-03-04,1.9875,1.9875,1.9595,1.9875,248000
1988-03-07,1.9875,2.0059,1.9691,1.9963,233600
1988-03-08,2.0155,2.0427,2.0059,2.0243,180000
1988-03-09,2.0331,2.0427,2.0059,2.0155,267200
1988-03-10,2.0243,2.0331,1.9875,2.0059,546400
1988-03-11,2.0059,2.0059,1.9691,1.9787,555200
1988-03-14,1.9595,1.9963,1.9595,1.9875,409600
1988-03-15,1.9787,2.0059,1.9691,2.0059,981600
1988-03-16,1.9989,2.0175,1.9804,1.9901,293600
1988-03-17,1.9804,1.9901,1.9619,1.9804,232000
1988-03-18,1.9989,1.9989,1.9804,1.9901,151200
1988-03-21,1.9804,1.9804,1.9804,1.9804,24800
1988-03-22,1.9989,2.0078,1.9804,1.9901,136800
1988-03-23,1.9901,1.9989,1.9804,1.9804,1249600
1988-03-24,1.9708,1.9901,1.9708,1.9708,382400
1988-03-25,1.9708,1.9901,1.9708,1.9708,183200
1988-03-28,1.9708,1.9804,1.9530,1.9804,330400
1988-03-29,1.9708,1.9804,1.9434,1.9708,555200
1988-03-30,1.9708,1.9708,1.9160,1.9338,539200
1988-03-31,1.9249,1.9249,1.8694,1.8879,129600
1988-04-04,1.8694,1.9249,1.8694,1.9064,176800
1988-04-05,1.8968,1.9249,1.8968,1.9249,410400
1988-04-06,1.9064,1.9530,1.8968,1.9434,687200
1988-04-07,1.9530,1.9804,1.9530,1.9619,365600
1988-04-08,1.9619,1.9989,1.9619,1.9989,220000
1988-04-11,1.9804,2.0360,1.9804,2.0360,668000
1988-04-12,2.0448,2.0448,2.0271,2.0271,182400
1988-04-13,2.0360,2.0448,2.0175,2.0448,178400
1988-04-14,2.0271,2.0271,1.9619,1.9619,306400
1988-04-15,1.9338,2.0175,1.8968,2.0078,1169600
1988-04-18,2.0175,2.0175,1.9901,2.0078,256000
1988-04-19,2.0078,2.0175,1.9901,1.9989,217600
1988-04-20,2.0078,2.0175,1.9989,1.9989,1296800
1988-04-21,2.0175,2.0271,1.9989,2.0078,808800
1988-04-22,1.9901,1.9901,1.9249,1.9249,614400
1988-04-25,1.9064,1.9249,1.8879,1.9064,220800
1988-04-26,1.9064,1.9249,1.9064,1.9249,652800
1988-04-27,1.9249,1.9249,1.8879,1.8968,197600
1988-04-28,1.8879,1.9249,1.8879,1.9064,408800
1988-04-29,1.9064,1.9249,1.8968,1.9249,80800
1988-05-02,1.9064,1.9249,1.8968,1.9064,1244000
1988-05-03,1.9064,1.9249,1.9064,1.9160,187200
1988-05-04,1.9160,1.9160,1.8694,1.8968,442400
1988-05-05,1.8879,1.8879,1.8509,1.8509,298400
1988-05-06,1.8324,1.8324,1.7953,1.7953,212800
1988-05-09,1.7953,1.8227,1.7768,1.7768,220800
1988-05-10,1.7768,1.8324,1.7768,1.8139,1282400
1988-05-11,1.7953,1.8050,1.7680,1.7857,436800
1988-05-12,1.7857,1.7857,1.7583,1.7680,261600
1988-05-13,1.7857,1.8139,1.7857,1.8139,157600
1988-05-16,1.8050,1.8139,1.7857,1.7953,218400
1988-05-17,1.7953,1.7953,1.7857,1.7857,194400
1988-05-18,1.8050,1.8050,1.7857,1.7857,244800
1988-05-19,1.7953,1.7953,1.7768,1.7953,329600
1988-05-20,1.7768,1.7768,1.7487,1.7583,232000
