Date,Open,High,Low,Close,Volume
1970-01-02,1.6429,1.7314,1.6429,1.7314,73200
1970-01-05,1.7474,1.8032,1.7474,1.8032,130800
1970-01-06,1.8032,1.8353,1.7474,1.7795,312400
1970-01-07,1.7712,1.7712,1.7474,1.7558,51600
1970-01-08,1.7558,1.7795,1.7474,1.7558,79200
1970-01-09,1.7558,1.7712,1.7474,1.7712,45600
1970-01-12,1.7712,1.7712,1.7558,1.7635,51200
1970-01-13,1.7635,1.7635,1.7237,1.7237,136800
1970-01-14,1.7237,1.7391,1.7070,1.7237,61600
1970-01-15,1.7237,1.7237,1.6833,1.6833,85200
1970-01-16,1.6833,1.6917,1.6673,1.6750,158000
1970-01-19,1.6833,1.7154,1.6833,1.7154,56000
1970-01-20,1.7154,1.7558,1.6994,1.7558,93600
1970-01-21,1.7474,1.7474,1.7237,1.7237,86800
1970-01-22,1.7237,1.7237,1.7070,1.7237,70000
1970-01-23,1.7237,1.7391,1.7070,1.7314,60000
1970-01-26,1.7314,1.7474,1.7314,1.7474,59600
1970-01-27,1.7474,1.7712,1.7314,1.7391,74000
1970-01-28,1.7391,1.7474,1.7070,1.7154,53200
1970-01-29,1.7154,1.7474,1.6994,1.7474,53600
1970-01-30,1.7474,1.7474,1.7237,1.7314,44400
1970-02-02,1.7314,1.7474,1.7070,1.7314,50800
1970-02-03,1.7314,1.7391,1.7070,1.7154,33200
1970-02-04,1.7154,1.7314,1.7154,1.7314,35200
1970-02-05,1.7237,1.7237,1.6994,1.7154,56400
1970-02-06,1.7154,1.7237,1.6994,1.7237,37600
1970-02-09,1.7237,1.7237,1.7070,1.7237,59200
1970-02-10,1.7237,1.7237,1.7070,1.7237,34800
1970-02-11,1.7237,1.7237,1.7070,1.7154,40000
1970-02-12,1.7154,1.7237,1.7070,1.7070,35200
1970-02-13,1.7070,1.7154,1.6917,1.6917,61600
1970-02-16,1.6917,1.7154,1.6833,1.6917,44800
1970-02-17,1.6917,1.7154,1.6833,1.6994,36800
1970-02-18,1.6994,1.7154,1.6917,1.6994,47200
1970-02-19,1.6994,1.7237,1.6994,1.7154,30400
1970-02-20,1.7154,1.7237,1.6994,1.7237,59200
1970-02-24,1.7237,1.7237,1.7070,1.7154,56400
1970-02-25,1.7154,1.7391,1.7154,1.7314,72400
1970-02-26,1.7314,1.7474,1.7314,1.7314,44800
1970-02-27,1.7391,1.7635,1.7391,1.7635,42000
1970-03-02,1.7635,1.7795,1.7558,1.7712,56000
1970-03-03,1.7712,1.7878,1.7635,1.7795,48800
1970-03-04,1.7795,1.8116,1.7635,1.8116,60000
1970-03-05,1.8116,1.8199,1.7955,1.7955,71600
1970-03-06,1.7955,1.8032,1.7795,1.7878,75200
1970-03-09,1.7878,1.7955,1.7795,1.7955,35200
1970-03-10,1.7955,1.7955,1.7795,1.7878,28400
1970-03-11,1.7878,1.8032,1.7795,1.7878,41200
1970-03-12,1.7878,1.7955,1.7795,1.7878,30800
1970-03-13,1.7878,1.7878,1.7795,1.7878,32000
1970-03-16,1.7878,1.7878,1.7635,1.7635,28800
1970-03-17,1.7474,1.7474,1.7314,1.7314,44800
1970-03-18,1.7314,1.7558,1.7314,1.7314,37200
1970-03-19,1.7314,1.7391,1.7237,1.7237,39600
1970-03-20,1.7237,1.7391,1.7154,1.7391,28000
1970-03-23,1.7391,1.7391,1.7070,1.7070,39600
1970-03-24,1.7070,1.7474,1.7070,1.7237,35200
1970-03-25,1.7391,1.7795,1.7391,1.7635,68400
1970-03-26,1.7635,1.7795,1.7391,1.7474,48000
1970-03-30,1.7474,1.7712,1.7391,1.7558,51200
1970-03-31,1.7558,1.7878,1.7474,1.7795,42800
1970-04-01,1.7795,1.7878,1.7635,1.7795,40400
1970-04-02,1.7795,1.7878,1.7558,1.7712,40800
1970-04-03,1.7795,1.8032,1.7795,1.8032,68400
1970-04-06,1.8032,1.8116,1.7878,1.7955,40400
1970-04-07,1.7955,1.8032,1.7878,1.7955,46400
1970-04-08,1.7955,1.8032,1.7878,1.8032,53600
1970-04-09,1.8032,1.8116,1.7955,1.8116,40000
1970-04-10,1.8116,1.8199,1.7955,1.8116,47600
1970-04-13,1.8116,1.8116,1.7955,1.8116,43200
1970-04-14,1.8116,1.8116,1.7712,1.7712,70800
1970-04-15,1.7795,1.7955,1.7795,1.7878,40000
1970-04-16,1.7878,1.7878,1.7635,1.7635,49600
1970-04-17,1.7635,1.7795,1.7558,1.7795,58400
1970-04-20,1.7795,1.7795,1.7474,1.7558,36000
1970-04-21,1.7558,1.7712,1.7474,1.7558,31200
1970-04-22,1.7558,1.7635,1.7474,1.7474,34000
1970-04-23,1.7474,1.7558,1.7314,1.7391,57200
1970-04-24,1.7391,1.7558,1.7314,1.7558,45200
1970-04-27,1.7558,1.7635,1.7314,1.7474,71200
1970-04-28,1.7474,1.7474,1.7314,1.7314,46800
1970-04-29,1.7237,1.7237,1.6994,1.6994,107200
1970-04-30,1.6994,1.7154,1.6833,1.7070,62800
1970-05-01,1.7070,1.7154,1.6917,1.7154,36400
1970-05-04,1.6833,1.6833,1.6673,1.6833,75600
1970-05-05,1.6750,1.6750,1.6513,1.6513,48000
1970-05-06,1.6596,1.6994,1.6596,1.6833,82000
1970-05-07,1.6833,1.6994,1.6750,1.6994,34000
1970-05-08,1.6917,1.6917,1.6513,1.6596,40000
1970-05-11,1.6596,1.6750,1.6513,1.6596,34400
1970-05-12,1.6596,1.6673,1.6429,1.6513,52400
1970-05-13,1.6513,1.6513,1.6352,1.6513,56000
1970-05-14,1.6429,1.6429,1.6192,1.6275,64800
1970-05-15,1.6275,1.6352,1.6192,1.6192,66400
1970-05-18,1.6192,1.6352,1.6109,1.6192,64400
1970-05-19,1.6192,1.6275,1.6109,1.6109,34000
1970-05-20,1.6109,1.6192,1.6109,1.6109,49200
1970-05-21,1.6109,1.6192,1.6032,1.6032,156400
1970-05-22,1.6032,1.6109,1.5070,1.5230,175200
1970-05-25,1.5147,1.5147,1.4826,1.4909,105600
1970-05-26,1.4909,1.4909,1.4749,1.4749,73200
1970-05-27,1.4749,1.4993,1.4749,1.4909,127600
1970-05-28,1.4909,1.4909,1.4749,1.4826,155200
1970-05-29,1.4826,1.4826,1.4749,1.4826,128400
1970-06-01,1.4826,1.4826,1.4749,1.4749,139200
1970-06-02,1.4749,1.4826,1.4749,1.4749,179200
1970-06-03,1.4749,1.4826,1.4749,1.4826,118400
1970-06-04,1.4826,1.4826,1.4749,1.4826,126800
1970-06-05,1.4826,1.4826,1.4749,1.4826,119200
1970-06-08,1.4826,1.4826,1.4749,1.4749,174000
1970-06-09,1.4749,1.4826,1.4749,1.4826,131600
1970-06-10,1.4826,1.4993,1.4749,1.4993,85600
1970-06-11,1.4993,1.4993,1.4826,1.4826,56000
1970-06-12,1.4909,1.5313,1.4909,1.4993,147600
1970-06-15,1.4993,1.5147,1.4993,1.5147,48000
1970-06-16,1.5147,1.5313,1.5070,1.5230,90800
1970-06-17,1.5230,1.5390,1.5070,1.5313,84400
1970-06-18,1.5313,1.5467,1.5230,1.5313,60800
1970-06-19,1.5313,1.5390,1.5147,1.5313,67600
1970-06-22,1.5313,1.5313,1.5070,1.5230,44400
1970-06-23,1.5230,1.5230,1.4993,1.4993,66400
1970-06-24,1.4993,1.4993,1.4826,1.4826,73200
1970-06-25,1.4826,1.4909,1.4749,1.4909,55600
1970-06-26,1.4909,1.5070,1.4826,1.4909,30000
1970-06-29,1.4909,1.4993,1.4826,1.4826,48800
1970-06-30,1.4826,1.4993,1.4749,1.4749,50800
1970-07-01,1.4749,1.4909,1.4749,1.4909,35600
1970-07-02,1.4909,1.4993,1.4749,1.4993,99600
1970-07-06,1.4993,1.4993,1.4826,1.4826,56000
1970-07-07,1.4826,1.4909,1.4749,1.4909,50800
1970-07-08,1.4909,1.5147,1.4826,1.5147,82000
1970-07-09,1.5147,1.5551,1.5147,1.5467,86400
1970-07-10,1.5467,1.5955,1.5467,1.5871,95200
1970-07-13,1.5871,1.6275,1.5871,1.5955,134400
1970-07-14,1.5955,1.6192,1.5955,1.6109,102000
1970-07-15,1.6109,1.6275,1.5955,1.6192,89200
1970-07-16,1.6192,1.6275,1.5955,1.6032,69200
1970-07-17,1.6032,1.6192,1.6032,1.6192,76400
1970-07-20,1.6192,1.6275,1.6109,1.6109,53200
1970-07-21,1.6109,1.6192,1.6109,1.6192,100400
1970-07-22,1.6192,1.6192,1.5147,1.5313,168000
1970-07-23,1.5070,1.5070,1.4909,1.4909,118800
1970-07-24,1.4909,1.5070,1.4909,1.4993,88400
1970-07-27,1.4993,1.5313,1.4909,1.5147,67600
1970-07-28,1.5147,1.5467,1.4909,1.4909,81200
1970-07-29,1.4826,1.4826,1.4185,1.4185,213200
1970-07-30,1.4268,1.4589,1.4268,1.4352,143600
1970-07-31,1.4505,1.4993,1.4505,1.4993,88000
1970-08-03,1.4749,1.4749,1.4589,1.4672,62800
1970-08-04,1.4672,1.4749,1.4428,1.4589,46400
1970-08-05,1.4589,1.4749,1.4505,1.4505,80800
1970-08-06,1.4505,1.4589,1.4428,1.4505,31200
1970-08-07,1.4505,1.4672,1.4428,1.4589,42000
1970-08-10,1.4589,1.4589,1.4352,1.4428,40000
1970-08-11,1.4428,1.4505,1.4268,1.4352,65600
1970-08-12,1.4352,1.4428,1.4185,1.4352,51200
1970-08-13,1.4268,1.4268,1.4108,1.4185,57600
1970-08-14,1.4505,1.5070,1.4505,1.5070,96800
1970-08-17,1.5070,1.5230,1.4993,1.5070,96000
1970-08-18,1.5070,1.5070,1.4428,1.4505,94800
1970-08-19,1.4589,1.4993,1.4589,1.4589,49200
1970-08-20,1.4589,1.4909,1.4505,1.4672,52000
1970-08-21,1.4672,1.4993,1.4505,1.4672,77200
1970-08-24,1.4672,1.4993,1.4672,1.4826,70800
1970-08-25,1.4826,1.4909,1.4749,1.4749,70800
1970-08-26,1.4749,1.4993,1.4749,1.4909,68400
1970-08-27,1.4909,1.4993,1.4749,1.4826,84800
1970-08-28,1.4826,1.5070,1.4826,1.4993,126800
1970-08-31,1.4993,1.5070,1.4826,1.4826,71600
1970-09-01,1.4826,1.4909,1.4826,1.4826,46800
1970-09-02,1.4826,1.4909,1.4749,1.4909,41200
1970-09-03,1.4909,1.4909,1.4826,1.4826,36800
1970-09-04,1.4826,1.4993,1.4826,1.4993,43600
1970-09-08,1.4909,1.4909,1.4749,1.4826,61600
1970-09-09,1.4826,1.4993,1.4749,1.4749,50000
1970-09-10,1.4749,1.4909,1.4672,1.4909,48400
1970-09-11,1.4909,1.4909,1.4672,1.4749,50000
1970-09-14,1.4749,1.5070,1.4589,1.5070,78000
1970-09-15,1.4909,1.4909,1.4749,1.4749,40800
1970-09-16,1.4749,1.4909,1.4749,1.4749,40000
1970-09-17,1.4749,1.4909,1.4749,1.4826,59200
1970-09-18,1.4826,1.5070,1.4749,1.4909,77200
1970-09-21,1.4909,1.5070,1.4826,1.4826,56800
1970-09-22,1.4826,1.4826,1.4672,1.4749,119600
1970-09-23,1.4749,1.4993,1.4672,1.4826,95200
1970-09-24,1.4826,1.4909,1.4749,1.4909,88800
1970-09-25,1.4909,1.4993,1.4749,1.4826,108000
1970-09-28,1.4826,1.4909,1.4749,1.4909,56000
1970-09-29,1.4909,1.4909,1.4749,1.4826,74000
1970-09-30,1.4826,1.4993,1.4826,1.4826,84000
1970-10-01,1.4826,1.4993,1.4826,1.4993,43200
1970-10-02,1.4993,1.5070,1.4909,1.5070,48000
1970-10-05,1.5070,1.5147,1.4909,1.4993,93600
1970-10-06,1.4993,1.5147,1.4993,1.5070,61600
1970-10-07,1.5070,1.5147,1.4993,1.5070,71600
1970-10-08,1.5070,1.5147,1.4909,1.4993,65600
1970-10-09,1.4993,1.5230,1.4909,1.5070,65600
1970-10-12,1.5070,1.5230,1.5070,1.5070,37200
1970-10-13,1.5070,1.5230,1.5070,1.5070,66800
1970-10-14,1.5070,1.5230,1.5070,1.5147,55600
1970-10-15,1.5147,1.5230,1.5070,1.5230,43600
