Date,Open,High,Low,Close,Volume
1986-03-27,1.0518,1.0688,1.0518,1.0630,69200
1986-03-31,1.0630,1.1136,1.0630,1.0966,154800
1986-04-01,2.1931,2.2603,2.1260,2.1591,123000
1986-04-02,2.1376,2.1376,2.0365,2.0365,157600
1986-04-03,2.0589,2.2155,2.0589,2.1591,69600
1986-04-04,2.1376,2.1376,2.0141,2.0365,56800
1986-04-07,2.0365,2.0929,2.0141,2.0365,313200
1986-04-08,2.0365,2.0929,2.0365,2.0589,48400
1986-04-09,2.0589,2.0929,2.0365,2.0589,104800
1986-04-10,2.0589,2.0696,2.0365,2.0696,21600
1986-04-11,2.0929,2.1260,2.0929,2.1260,22400
1986-04-14,2.1036,2.1036,2.0589,2.0696,278400
1986-04-15,2.0696,2.1036,2.0589,2.1036,31600
1986-04-16,2.1036,2.1376,2.0929,2.0929,240400
1986-04-17,2.1036,2.2272,2.1036,2.2272,182000
1986-04-18,2.2272,2.3167,2.1931,2.2934,135600
1986-04-21,2.2934,2.2934,2.2603,2.2827,23600
1986-04-22,2.2827,2.2934,2.2272,2.2272,59200
1986-04-23,2.2272,2.2603,2.1591,2.1931,74800
1986-04-24,2.1931,2.2486,2.1931,2.1931,18400
1986-04-25,2.1931,2.2272,2.1591,2.2272,113600
1986-04-28,2.2272,2.2272,2.1591,2.2272,28400
1986-04-29,2.2272,2.2272,2.1931,2.1931,29200
1986-04-30,2.1931,2.2272,2.1931,2.2272,161200
1986-05-01,2.2272,2.2272,2.1708,2.1931,104800
1986-05-02,2.1591,2.1591,2.1036,2.1036,88400
1986-05-05,2.1036,2.1376,2.0929,2.1260,84400
1986-05-06,2.1260,2.1591,2.0696,2.1036,67600
1986-05-07,2.1036,2.1036,2.0589,2.1036,50400
1986-05-08,2.1036,2.1036,2.0696,2.0696,14800
1986-05-09,2.0696,2.1036,2.0696,2.1036,26800
1986-05-12,2.1036,2.1036,2.0696,2.0696,9200
1986-05-13,2.0696,2.0929,2.0696,2.0929,13600
1986-05-14,2.0696,2.0696,1.9694,2.0365,52000
1986-05-15,2.0365,2.0696,2.0141,2.0141,35200
1986-05-16,2.0141,2.0589,2.0141,2.0589,32800
1986-05-19,2.0365,2.0365,1.9801,1.9801,117600
1986-05-20,1.9801,2.0034,1.9694,2.0034,14000
