Date,Open,High,Low,Close,Volume
1980-01-02,1.3367,1.3644,1.3367,1.3439,82800
1980-01-03,1.3439,1.3439,1.3234,1.3367,241600
1980-01-04,1.3367,1.3716,1.3300,1.3577,186000
1980-01-07,1.3577,1.3577,1.3439,1.3511,74800
1980-01-08,1.3511,1.3511,1.3367,1.3439,260400
1980-01-09,1.3439,1.3577,1.3300,1.3367,703600
1980-01-10,1.3367,1.3511,1.3367,1.3367,170800
1980-01-11,1.3367,1.3439,1.3300,1.3367,130000
1980-01-14,1.3367,1.3577,1.3367,1.3577,152800
1980-01-15,1.3577,1.3788,1.3577,1.3644,117600
1980-01-16,1.3644,1.3788,1.3439,1.3439,230800
1980-01-17,1.3439,1.3577,1.3300,1.3439,154400
1980-01-18,1.3439,1.3439,1.2813,1.3090,610800
1980-01-21,1.3090,1.3090,1.2957,1.3023,184000
1980-01-22,1.3023,1.3023,1.2746,1.2885,245600
1980-01-23,1.2885,1.3439,1.2813,1.3023,253600
1980-01-24,1.2957,1.2957,1.2813,1.2885,356800
1980-01-25,1.2885,1.2885,1.2535,1.2535,548800
1980-01-28,1.2607,1.2885,1.2607,1.2746,154000
1980-01-29,1.2746,1.2746,1.2680,1.2746,214400
1980-01-30,1.2746,1.2746,1.2680,1.2746,108800
1980-01-31,1.2746,1.2813,1.2680,1.2746,252000
1980-02-01,1.2746,1.2813,1.2607,1.2813,126400
1980-02-04,1.2813,1.2813,1.2680,1.2680,80800
1980-02-05,1.2680,1.2813,1.2680,1.2813,212000
1980-02-06,1.2813,1.2813,1.2746,1.2746,794000
1980-02-07,1.2746,1.2813,1.2746,1.2746,1037600
1980-02-08,1.2746,1.2746,1.2330,1.2607,1014000
1980-02-11,1.2535,1.2535,1.2330,1.2330,588400
1980-02-12,1.2330,1.2330,1.2125,1.2330,468800
1980-02-13,1.2330,1.2469,1.2258,1.2402,489200
1980-02-14,1.2402,1.2402,1.2258,1.2258,849600
1980-02-15,1.2258,1.2330,1.2192,1.2330,211600
1980-02-19,1.2330,1.2330,1.2192,1.2258,328400
1980-02-20,1.2258,1.2258,1.2125,1.2258,274400
1980-02-21,1.2192,1.2192,1.2053,1.2053,415600
