Date,Open,High,Low,Close,Volume
1995-11-17,6.0383,6.4805,6.0161,6.4099,35659200
1995-11-20,6.3876,6.5493,6.0848,6.1777,8434000
1995-11-21,6.1312,6.1554,5.8990,6.0625,6440000
1995-11-22,6.0383,6.3412,6.0383,6.2483,3480800
1995-11-24,6.2947,6.4805,6.2706,6.4805,1279200
1995-11-27,6.4805,6.6199,6.4099,6.5028,2403200
1995-11-28,6.5028,6.5270,6.3170,6.4099,1054800
1995-11-29,6.3876,6.6663,6.3635,6.5028,1331200
1995-11-30,6.5734,6.8280,6.5493,6.7592,2426000
1995-12-01,6.7592,6.7815,6.6422,6.6886,978400
1995-12-04,6.7128,6.7592,6.5734,6.6199,594000
1995-12-05,6.6199,6.6199,6.4099,6.5270,1148800
1995-12-06,6.5028,6.6886,6.5028,6.5493,1216000
1995-12-07,6.5957,6.6199,6.4564,6.5028,641200
1995-12-08,6.4805,6.6663,6.4099,6.6663,668800
1995-12-11,6.6886,6.7592,6.6663,6.7592,660000
1995-12-12,6.7128,6.7351,6.4805,6.5028,971600
1995-12-13,6.5493,6.5493,6.3412,6.4564,528400
1995-12-14,6.4805,6.4805,6.2706,6.2706,639200
1995-12-15,6.3170,6.3635,6.2018,6.2241,1366400
1995-12-18,6.2241,6.2483,6.1312,6.1554,741600
1995-12-19,6.1312,6.3412,6.1089,6.2706,643600
1995-12-20,6.2947,6.4564,6.2947,6.4099,360400
1995-12-21,6.3876,6.5270,6.3635,6.4564,301600
1995-12-22,6.4805,6.5028,6.4099,6.5028,208400
1995-12-26,6.4805,6.4805,6.3170,6.3412,240000
1995-12-27,6.4099,6.5734,6.4099,6.5734,351600
1995-12-28,6.5957,6.6199,6.5270,6.5493,344400
1995-12-29,6.5270,6.5734,6.4341,6.4805,219200
1996-01-02,6.4805,6.5251,6.4322,6.5028,169200
1996-01-03,6.5251,6.6422,6.4322,6.4805,682000
1996-01-04,6.4796,6.5261,6.4332,6.5028,414800
1996-01-05,6.5261,6.6422,6.4332,6.4796,773600
1996-01-08,6.2706,6.2947,6.2241,6.2947,48800
1996-01-09,6.3170,6.3170,6.2241,6.2241,864000
1996-01-10,6.2706,6.2938,6.2241,6.2938,458400
1996-01-11,6.3170,6.3170,6.2241,6.2241,477600
1996-01-12,6.1545,6.2241,6.0383,6.1545,338400
1996-01-15,6.4564,6.5028,6.4099,6.4322,580800
1996-01-16,6.3876,6.3876,6.1089,6.2706,512800
1996-01-17,6.4564,6.5028,6.4099,6.4332,126400
1996-01-18,6.3867,6.3867,6.1080,6.2706,696000
1996-01-19,6.1777,6.2241,6.0383,6.2241,792800
1996-01-22,6.0161,6.2947,6.0161,6.1777,568800
1996-01-23,6.1312,6.1535,6.0606,6.0606,798400
1996-01-24,6.0151,6.2938,6.0151,6.1777,776400
1996-01-25,6.1312,6.1545,6.0616,6.0616,1303200
1996-01-26,6.0383,6.1545,6.0383,6.1545,634800
1996-01-29,6.3876,6.3876,6.2241,6.2706,652000
1996-01-30,6.2706,6.9896,6.2241,6.8744,2810800
1996-01-31,6.3867,6.3867,6.2241,6.2706,1136400
1996-02-01,6.2706,6.9905,6.2241,6.8744,516800
1996-02-02,6.8280,7.0834,6.7815,6.8512,702400
1996-02-05,6.9209,7.0370,6.8744,6.9905,756400
1996-02-06,6.9905,7.1067,6.9673,7.0370,455200
1996-02-07,7.0834,7.3157,7.0602,7.2692,650800
1996-02-08,7.2460,7.2925,7.0834,7.1067,571600
1996-02-09,7.1531,7.1531,7.0370,7.1299,520800
1996-02-12,7.0834,7.1067,6.8744,6.9441,619200
1996-02-13,6.8744,6.8976,6.7815,6.8280,204400
1996-02-14,6.8512,7.0138,6.8048,6.8048,410000
1996-02-15,6.8976,7.0138,6.8976,6.9441,348800
1996-02-16,6.9441,6.9441,6.8048,6.8280,322400
1996-02-20,6.7351,6.8280,6.6422,6.7351,633200
1996-02-21,6.7583,6.8512,6.7583,6.7815,497600
1996-02-22,6.7815,6.7815,6.5261,6.7583,1184000
1996-02-23,6.7815,6.9441,6.7583,6.9209,532400
1996-02-26,6.9209,6.9441,6.8280,6.8744,359600
