Date,Open,High,Low,Close,Volume
2001-10-30,16.5500,16.7134,16.4887,16.7134,45441800
2001-10-31,16.7951,17.3672,16.7584,17.1139,11104400
2001-11-01,17.2651,17.4081,17.0812,17.2324,3901800
2001-11-02,17.1833,17.6124,17.1711,17.5307,4075000
2001-11-05,17.7759,17.7759,17.4694,17.5266,2763800
2001-11-06,17.5511,18.1028,17.2242,18.0006,3248200
2001-11-07,17.8780,17.8780,17.3632,17.6737,2675200
2001-11-08,17.5716,17.6124,17.1629,17.4490,3404000
2001-11-09,17.3672,17.3672,16.7543,17.1629,3291600
2001-11-12,17.1629,17.5103,17.0403,17.5103,973600
2001-11-13,17.7350,17.7350,17.3754,17.4694,1721800
2001-11-14,17.9802,18.7975,17.7963,18.7770,4213000
2001-11-15,18.6749,19.1040,18.5727,19.1040,2310400
2001-11-16,19.1653,19.2879,18.9201,19.1244,2176200
2001-11-19,19.1040,19.4390,18.9609,19.4104,2007200
2001-11-20,19.3287,20.1256,19.3083,19.9417,2803000
2001-11-21,19.9008,20.3095,19.7823,20.0275,2684000
2001-11-23,20.0030,20.1664,20.0030,20.0970,287800
2001-11-26,20.3095,20.5342,19.7374,19.8395,1917400
2001-11-27,19.9417,20.3707,19.7251,19.8599,1148000
2001-11-28,19.8395,20.1051,19.4145,20.0030,625200
2001-11-29,20.2277,20.4729,20.0561,20.4361,1136800
2001-11-30,20.4729,20.8407,20.3503,20.7794,2960200
2001-12-03,20.7590,20.9633,20.4729,20.9633,1270800
2001-12-04,20.9837,21.0450,20.6364,21.0450,794000
2001-12-05,21.1676,21.2085,19.9008,19.9662,1356200
2001-12-06,19.9825,20.0234,19.3491,19.8150,902600
2001-12-07,19.8191,19.9008,19.4513,19.8599,649600
2001-12-10,19.8599,19.9703,19.6761,19.7169,308000
2001-12-11,19.7169,19.8967,19.4963,19.6965,892800
2001-12-12,19.7169,19.7169,19.5535,19.5576,478800
2001-12-13,19.4554,19.6556,19.1653,19.6556,960600
2001-12-14,19.6148,19.6556,19.3491,19.6148,813600
2001-12-17,19.6556,20.1460,19.5821,20.1256,421200
2001-12-18,20.2277,20.2686,20.1133,20.1460,809200
2001-12-19,20.1460,20.1664,19.5126,19.6148,1473200
2001-12-20,19.5167,19.6148,19.1244,19.1653,1312000
2001-12-21,19.1244,19.1244,18.4910,18.6953,4283800
2001-12-24,18.6953,18.7770,18.6340,18.6340,900200
2001-12-26,18.7362,18.9936,18.7362,18.8996,1191600
2001-12-27,18.9405,19.3287,18.9405,19.1653,1925400
2001-12-28,19.1857,19.8191,19.1857,19.8191,1714800
2001-12-31,19.9008,20.5342,19.9008,20.2277,1792800
2002-01-02,20.3013,20.3013,19.9049,19.9417,1933000
2002-01-03,19.9417,20.1378,19.7987,19.7987,625600
2002-01-04,19.8191,19.9417,19.1653,19.5576,2318600
2002-01-07,19.5576,19.5902,19.2061,19.2143,1916400
2002-01-08,19.1448,19.5535,18.9609,19.3696,932000
2002-01-09,19.4309,19.7169,19.4104,19.4513,855000
2002-01-10,19.4513,20.7344,19.4390,20.4729,2550400
2002-01-11,20.4729,21.1676,20.3912,21.0450,1111800
2002-01-14,21.0859,21.4128,20.7794,21.2085,1364600
2002-01-15,21.1267,21.1308,20.1869,20.7181,1426800
2002-01-16,20.6159,21.1267,20.2686,20.8366,1721200
2002-01-17,20.8407,20.8611,20.4320,20.5546,912000
2002-01-18,20.4525,20.8407,20.3585,20.8325,1406000
2002-01-22,20.7304,21.2003,20.4525,21.1472,1613000
2002-01-23,21.0041,21.6048,21.0041,21.3556,1625400
2002-01-24,21.2698,21.6947,21.2698,21.5762,1846800
2002-01-25,21.6580,22.1075,21.5967,22.0176,1670400
2002-01-28,21.8214,22.2709,21.7397,21.9644,1404200
2002-01-29,21.6784,21.9644,21.6375,21.7397,1353400
2002-01-30,21.4536,21.7806,21.2289,21.4618,1301400
2002-01-31,21.4945,21.7397,21.1676,21.7397,2071800
2002-02-01,21.7601,22.1075,21.6580,21.7193,1569400
2002-02-04,21.6457,21.6580,21.0041,21.3311,1055200
2002-02-05,21.3719,22.1688,21.0450,22.1647,1731800
2002-02-06,23.0882,23.6767,22.6918,23.0882,5261000
2002-02-07,23.0882,24.0444,23.0147,23.5377,1815400
2002-02-08,23.5990,23.7093,23.4396,23.5786,1792800
2002-02-11,23.5091,23.7420,23.4396,23.5173,1503800
2002-02-12,23.2925,23.3334,23.1086,23.2517,2127000
2002-02-13,23.3334,23.3947,22.8226,22.9043,1555200
2002-02-14,22.9656,23.1904,22.7817,23.0514,1656000
2002-02-15,23.0473,23.0882,22.8921,22.9248,1526600
2002-02-19,22.8839,22.9125,21.8419,22.2178,2207200
2002-02-20,21.9849,22.3527,21.9644,22.0666,1516600
2002-02-21,22.0462,23.1086,21.9440,22.7000,1646000
2002-02-22,22.6591,23.3334,22.6591,23.0269,1305400
2002-02-25,22.9656,23.5050,22.9125,23.3130,1013000
2002-02-26,23.4969,24.0935,23.4969,23.8033,1992000
2002-02-27,23.7420,23.9055,23.5377,23.6930,2011200
2002-02-28,23.6194,23.8033,23.4356,23.7420,1878800
2002-03-01,23.6399,23.7216,23.5786,23.7216,1153000
2002-03-04,23.6194,23.8851,22.6591,22.6796,2725800
2002-03-05,22.6101,22.7940,22.2301,22.3322,1680200
2002-03-06,22.3731,23.3334,22.2709,23.0269,1911400
2002-03-07,23.1699,23.3743,22.9738,22.9901,1055400
2002-03-08,22.9942,23.1699,22.6796,22.9861,1557400
2002-03-11,22.8839,23.1536,22.7613,23.1291,1525800
2002-03-12,23.0473,23.0882,22.9043,23.0841,846800
2002-03-13,23.0678,23.1904,22.9248,23.1086,994200
2002-03-14,23.0678,23.3130,22.9861,23.0882,871000
2002-03-15,23.0882,23.3824,23.0473,23.2517,1631600
2002-03-18,23.1904,23.8851,23.1904,23.8238,1847200
2002-03-19,23.7420,23.8646,23.0473,23.0473,991200
2002-03-20,23.0065,23.1863,22.7817,23.0473,945000
2002-03-21,23.0882,23.5827,23.0882,23.4151,1066200
2002-03-22,23.4560,23.7216,23.1495,23.2108,587000
2002-03-25,23.1086,23.2925,23.0473,23.1291,559400
2002-03-26,23.1291,23.1904,22.7817,22.8757,566200
2002-03-27,22.8757,23.7053,22.8430,23.7012,1202600
2002-03-28,23.7012,23.8851,23.3130,23.5255,1196000
2002-04-01,23.6276,23.8442,23.4969,23.8033,1502200
2002-04-02,23.8851,24.5185,23.8687,24.5185,1497600
2002-04-03,24.5185,24.6819,24.1793,24.2528,1443200
2002-04-04,24.2120,24.8249,24.1915,24.8249,1551600
2002-04-05,24.8454,25.5605,24.7350,25.3030,1606800
2002-04-08,25.3030,25.3153,24.9026,25.0783,1446400
2002-04-09,25.0701,25.1314,24.8249,24.8658,1429600
2002-04-10,24.8658,25.1273,24.8249,25.0088,1524200
2002-04-11,24.9680,25.0456,24.6288,24.8617,1235000
2002-04-12,24.8045,25.0088,24.7636,24.7800,1281400
2002-04-15,24.9067,25.1314,24.7718,24.9067,936800
2002-04-16,25.1723,25.5401,25.1641,25.4216,1833800
