Date,Open,High,Low,Close,Volume
1993-12-14,8.0699,8.5390,8.0473,8.4921,1077400
1993-12-15,8.4452,8.4452,8.1637,8.3044,897800
1993-12-16,8.3288,8.3288,8.2575,8.3044,571200
1993-12-17,8.3044,8.3044,8.1168,8.1168,1053000
1993-12-20,8.1168,8.3758,8.1168,8.3758,1284800
1993-12-21,8.3514,8.5860,8.3514,8.4921,882800
1993-12-22,8.5165,8.5165,8.4227,8.4921,200600
1993-12-23,8.5165,8.6798,8.5165,8.6573,195800
1993-12-27,8.7042,8.9144,8.7042,8.8675,68400
1993-12-28,8.8449,8.8449,8.7736,8.8205,273600
1993-12-29,8.8675,8.9388,8.8675,8.9388,264400
1993-12-30,8.9388,9.0326,8.9388,8.9857,156200
1993-12-31,8.9388,8.9613,8.8675,8.9144,133000
1994-01-03,8.9388,8.9388,8.6798,8.7980,467800
1994-01-04,8.7980,8.7980,8.3758,8.4696,2250200
1994-01-05,8.2575,8.3288,8.1637,8.3288,2933400
1994-01-06,8.2575,8.3288,8.0699,8.1637,2753200
1994-01-07,8.1412,8.1412,7.7884,7.8353,3428400
1994-01-10,7.8597,8.0699,7.8353,8.0473,1411000
1994-01-11,8.0699,8.0699,7.9535,8.0229,1185400
1994-01-12,8.0004,8.0004,7.8353,7.8822,2209200
1994-01-13,7.8597,7.8822,7.8128,7.8353,1033400
1994-01-14,7.8597,7.9066,7.8128,7.8597,1366000
1994-01-17,7.8353,7.8822,7.7884,7.8597,1157400
1994-01-18,7.8597,7.8597,7.7884,7.8128,1118400
1994-01-19,7.7884,7.9760,7.7884,7.9291,1327800
1994-01-20,7.9291,7.9535,7.8128,7.8822,1121400
1994-01-21,7.9066,7.9066,7.8353,7.8822,1460800
1994-01-24,7.8822,7.8822,7.7884,7.8128,2101400
1994-01-25,7.7884,7.8597,7.7414,7.8128,1470400
1994-01-26,7.7884,7.8353,7.7884,7.8128,723600
1994-01-27,7.8128,7.8597,7.8128,7.8128,1610600
1994-01-28,7.8597,8.0943,7.8353,8.0699,1285200
1994-01-31,8.0699,8.3288,8.0699,8.2106,1316000
1994-02-01,7.9291,7.9760,7.8822,7.9291,3041400
1994-02-02,7.9066,7.9066,7.8128,7.8822,3352000
1994-02-03,7.9066,8.0473,7.8822,8.0229,2135600
1994-02-04,8.0004,8.1168,7.9760,7.9760,1256600
1994-02-07,8.0004,8.1881,8.0004,8.1637,799400
1994-02-08,8.0699,8.1168,8.0229,8.0473,916600
1994-02-09,8.0004,8.0943,8.0004,8.0943,769800
1994-02-10,8.0699,8.1412,8.0229,8.0229,977600
1994-02-11,8.0229,8.0473,7.9760,8.0229,690800
1994-02-14,8.0473,8.0943,8.0229,8.0699,616800
1994-02-15,8.0473,8.1637,8.0473,8.0943,701200
1994-02-16,8.0943,8.1881,8.0699,8.1412,668800
1994-02-17,8.1881,8.2575,8.1412,8.1412,995000
1994-02-18,8.1412,8.1637,8.0699,8.0943,434000
1994-02-22,7.9760,8.0473,7.9066,7.9760,1151800
1994-02-23,7.9760,8.0473,7.9760,8.0473,1016000
1994-02-24,8.0229,8.0229,7.9291,7.9535,537800
1994-02-25,7.9066,7.9291,7.8597,7.8597,651200
1994-02-28,7.9066,7.9066,7.8128,7.8353,520400
1994-03-01,7.8128,7.8353,7.7884,7.8353,751800
1994-03-02,7.7884,7.8128,7.7189,7.7189,1084800
1994-03-03,7.7189,7.7189,7.6007,7.6007,731600
1994-03-04,7.6007,7.6251,7.5068,7.5538,1008400
1994-03-07,7.5538,7.5538,7.5312,7.5312,600000
1994-03-08,7.5312,7.5538,7.5068,7.5312,1083600
1994-03-09,7.5115,7.6063,7.5115,7.6063,268400
1994-03-10,7.5817,7.6291,7.5115,7.5343,1073200
1994-03-11,7.5343,7.7238,7.5343,7.7011,297400
1994-03-14,7.7485,7.7485,7.6764,7.7238,343400
1994-03-15,7.7238,7.7959,7.7011,7.7712,630600
1994-03-16,7.7712,7.7959,7.6537,7.6764,474000
1994-03-17,7.6537,7.7712,7.6537,7.7238,672600
1994-03-18,7.7238,7.7238,7.5817,7.6063,991400
1994-03-21,7.6063,7.6537,7.5817,7.6063,422000
1994-03-22,7.6063,7.6291,7.5343,7.6291,550200
1994-03-23,7.6537,7.7485,7.6291,7.7485,512000
1994-03-24,7.7011,7.8186,7.7011,7.7712,419600
1994-03-25,7.8186,7.8186,7.7712,7.7712,231600
1994-03-28,7.7959,7.8432,7.7011,7.8432,484600
1994-03-29,7.8186,7.8906,7.8186,7.8432,313200
1994-03-30,7.7959,7.8432,7.7011,7.7238,595000
1994-03-31,7.7011,7.7238,7.6063,7.6291,674200
1994-04-04,7.5115,7.5817,7.4869,7.5343,944200
1994-04-05,7.5817,7.6764,7.5817,7.6537,1030000
1994-04-06,7.8660,7.9608,7.8186,7.9134,834000
1994-04-07,7.9134,7.9380,7.8432,7.9380,1355400
1994-04-08,7.9134,8.1749,7.9134,8.1276,897400
1994-04-11,8.1029,8.1276,8.0081,8.0802,469200
1994-04-12,8.1029,8.1029,7.8906,7.8906,437600
1994-04-13,7.9608,8.0802,7.9380,8.0802,1111000
1994-04-14,8.0328,8.0555,8.0081,8.0328,703000
1994-04-15,8.1029,8.1977,8.0555,8.0802,590600
1994-04-18,8.0802,8.1276,8.0081,8.0328,499200
