Date,Open,High,Low,Close,Volume
1972-06-01,1.2796,1.2860,1.2730,1.2767,314400
1972-06-02,1.2767,1.2805,1.2730,1.2767,1396800
1972-06-05,1.2767,1.2785,1.2692,1.2712,372000
1972-06-06,1.2730,1.2805,1.2730,1.2730,177600
1972-06-07,1.2673,1.2673,1.2505,1.2505,379200
1972-06-08,1.2505,1.2617,1.2505,1.2542,552000
1972-06-09,1.2542,1.2580,1.2468,1.2580,177600
1972-06-12,1.2580,1.2617,1.2468,1.2580,506400
1972-06-13,1.2580,1.2617,1.2505,1.2580,288000
1972-06-14,1.2580,1.2635,1.2542,1.2542,789600
1972-06-15,1.2542,1.2673,1.2542,1.2617,220800
1972-06-16,1.2617,1.2655,1.2430,1.2448,96000
1972-06-19,1.2448,1.2635,1.2393,1.2635,124800
1972-06-20,1.2655,1.2730,1.2655,1.2673,206400
1972-06-21,1.2692,1.2842,1.2692,1.2842,232800
1972-06-22,1.2842,1.2842,1.2767,1.2805,336000
1972-06-23,1.2805,1.2879,1.2692,1.2712,242400
1972-06-26,1.2712,1.2712,1.2655,1.2655,237600
1972-06-27,1.2692,1.2805,1.2692,1.2749,285600
1972-06-28,1.2730,1.2730,1.2655,1.2692,139200
1972-06-29,1.2692,1.2805,1.2542,1.2805,11592
1972-06-30,1.2824,1.2936,1.2749,1.2749,153600
1972-07-03,1.2749,1.2767,1.2712,1.2730,134400
1972-07-05,1.2767,1.3104,1.2767,1.3067,148800
1972-07-06,1.3141,1.3291,1.3141,1.3216,391200
1972-07-07,1.3216,1.3234,1.3104,1.3104,175200
1972-07-10,1.3085,1.3085,1.2992,1.2992,201600
1972-07-11,1.2917,1.2917,1.2785,1.2860,117600
1972-07-12,1.2860,1.2936,1.2842,1.2842,242400
1972-07-13,1.2842,1.2842,1.2749,1.2842,120000
1972-07-14,1.2842,1.2917,1.2805,1.2860,182400
1972-07-17,1.2860,1.2897,1.2824,1.2879,170400
1972-07-18,1.2879,1.2954,1.2805,1.2954,158400
1972-07-19,1.2954,1.3104,1.2936,1.2992,307200
1972-07-20,1.3010,1.3179,1.3010,1.3179,76800
1972-07-21,1.3179,1.3254,1.3104,1.3216,184800
1972-07-24,1.3216,1.3498,1.3179,1.3498,194400
1972-07-25,1.3498,1.3815,1.3441,1.3441,391200
1972-07-26,1.3441,1.3478,1.3386,1.3423,196800
1972-07-27,1.3423,1.3478,1.3366,1.3478,446400
1972-07-28,1.3478,1.3478,1.3273,1.3366,218400
1972-07-31,1.3366,1.3366,1.3309,1.3366,144000
1972-08-01,1.3404,1.3516,1.3404,1.3441,206400
1972-08-02,1.3441,1.3459,1.3404,1.3404,1514400
1972-08-03,1.3404,1.3459,1.3404,1.3459,350400
1972-08-04,1.3459,1.3459,1.3386,1.3441,148800
1972-08-07,1.3441,1.3459,1.3329,1.3347,216000
1972-08-08,1.3404,1.3459,1.3404,1.3459,100800
1972-08-09,1.3459,1.3553,1.3459,1.3553,741600
1972-08-10,1.3553,1.3628,1.3516,1.3591,302400
1972-08-11,1.3628,1.3684,1.3628,1.3628,91200
1972-08-14,1.3628,1.3703,1.3571,1.3648,667200
1972-08-15,1.3648,1.3684,1.3591,1.3666,268800
1972-08-16,1.3666,1.3666,1.3571,1.3591,420000
1972-08-17,1.3571,1.3571,1.3404,1.3404,379200
1972-08-18,1.3404,1.3459,1.3386,1.3423,232800
1972-08-21,1.3423,1.3459,1.3404,1.3441,244800
1972-08-22,1.3441,1.3459,1.3404,1.3459,364800
1972-08-23,1.3441,1.3441,1.3254,1.3291,314400
1972-08-24,1.3291,1.3366,1.3254,1.3254,105600
1972-08-25,1.3254,1.3309,1.3198,1.3198,81600
1972-08-28,1.3198,1.3234,1.3179,1.3216,177600
1972-08-29,1.3216,1.3254,1.3179,1.3254,343200
1972-08-30,1.3254,1.3329,1.3254,1.3254,127200
1972-08-31,1.3254,1.3423,1.3254,1.3423,278400
1972-09-01,1.3423,1.3441,1.3329,1.3386,196800
1972-09-05,1.3386,1.3404,1.3291,1.3404,117600
1972-09-06,1.3404,1.3441,1.3386,1.3404,115200
1972-09-07,1.3366,1.3366,1.3273,1.3366,93600
1972-09-08,1.3366,1.3404,1.3291,1.3329,62400
1972-09-11,1.3309,1.3309,1.3067,1.3067,136800
1972-09-12,1.3067,1.3104,1.3029,1.3104,280800
1972-09-13,1.3104,1.3234,1.3067,1.3179,156000
1972-09-14,1.3179,1.3198,1.3085,1.3141,163200
1972-09-15,1.3067,1.3067,1.2842,1.2842,427200
1972-09-18,1.2842,1.2917,1.2730,1.2842,211200
1972-09-19,1.2842,1.2897,1.2749,1.2805,141600
1972-09-20,1.2785,1.2785,1.2617,1.2785,276000
1972-09-21,1.2785,1.2785,1.2617,1.2785,240000
1972-09-22,1.2785,1.2805,1.2692,1.2730,314400
1972-09-25,1.2730,1.2767,1.2692,1.2767,271200
1972-09-26,1.2767,1.2785,1.2673,1.2730,523200
1972-09-27,1.2730,1.2897,1.2712,1.2897,297600
1972-09-28,1.2897,1.3273,1.2860,1.3273,357600
1972-09-29,1.3309,1.3441,1.3309,1.3441,199200
1972-10-02,1.3366,1.3366,1.3179,1.3216,264000
1972-10-03,1.3216,1.3234,1.3179,1.3198,93600
1972-10-04,1.3198,1.3198,1.3122,1.3141,112800
1972-10-05,1.3141,1.3179,1.3029,1.3141,938400
1972-10-06,1.3141,1.3441,1.3104,1.3404,657600
1972-10-09,1.3329,1.3329,1.3291,1.3329,151200
1972-10-10,1.3329,1.3404,1.3254,1.3254,156000
1972-10-11,1.3254,1.3291,1.3179,1.3234,206400
1972-10-12,1.3234,1.3254,1.3029,1.3067,194400
1972-10-13,1.3029,1.3029,1.2917,1.2954,235200
1972-10-16,1.2954,1.2992,1.2842,1.2992,91200
1972-10-17,1.3029,1.3254,1.3029,1.3254,192000
1972-10-18,1.3254,1.3309,1.3104,1.3309,196800
1972-10-19,1.3309,1.3329,1.3234,1.3291,134400
1972-10-20,1.3291,1.3386,1.3273,1.3329,91200
1972-10-23,1.3329,1.3386,1.3254,1.3273,321600
1972-10-24,1.3273,1.3329,1.3254,1.3291,600000
1972-10-25,1.3291,1.3404,1.3291,1.3347,86400
1972-10-26,1.3441,1.3610,1.3441,1.3478,268800
1972-10-27,1.3478,1.3534,1.3329,1.3423,578400
1972-10-30,1.3423,1.3516,1.3347,1.3347,340800
1972-10-31,1.3366,1.3478,1.3366,1.3478,290400
1972-11-01,1.3478,1.3516,1.3459,1.3516,316800
1972-11-02,1.3591,1.3778,1.3591,1.3628,789600
1972-11-03,1.3648,1.3758,1.3648,1.3758,230400
1972-11-06,1.3758,1.3758,1.3666,1.3741,211200
1972-11-08,1.3778,1.3983,1.3778,1.3965,376800
1972-11-09,1.3965,1.4115,1.3947,1.4115,220800
1972-11-10,1.4152,1.4432,1.4152,1.4208,372000
1972-11-13,1.4152,1.4152,1.4077,1.4133,148800
1972-11-14,1.4133,1.4172,1.4077,1.4097,468000
1972-11-15,1.4097,1.4152,1.3965,1.4021,259200
1972-11-16,1.4021,1.4021,1.3853,1.4003,192000
1972-11-17,1.4003,1.4077,1.3965,1.4077,180000
1972-11-20,1.4077,1.4077,1.3890,1.3928,141600
1972-11-21,1.3928,1.4003,1.3928,1.3928,91200
1972-11-22,1.3928,1.3928,1.3778,1.3778,139200
1972-11-24,1.3703,1.3703,1.3571,1.3571,98400
1972-11-27,1.3571,1.3628,1.3553,1.3553,120000
1972-11-28,1.3553,1.3628,1.3478,1.3553,489600
1972-11-29,1.3553,1.3553,1.3291,1.3291,132000
1972-11-30,1.3291,1.3366,1.3291,1.3329,124800
1972-12-01,1.3329,1.3441,1.3329,1.3404,295200
1972-12-04,1.3366,1.3366,1.3234,1.3291,146400
1972-12-05,1.3291,1.3291,1.3179,1.3291,362400
1972-12-06,1.3291,1.3423,1.3291,1.3404,489600
1972-12-07,1.3478,1.3591,1.3478,1.3534,379200
1972-12-08,1.3628,1.3853,1.3628,1.3628,388800
1972-12-11,1.3628,1.3741,1.3628,1.3741,129600
1972-12-12,1.3741,1.3853,1.3648,1.3853,410400
1972-12-13,1.3853,1.3890,1.3815,1.3853,189600
1972-12-14,1.3853,1.3928,1.3815,1.3908,211200
1972-12-15,1.3908,1.4040,1.3853,1.4003,230400
1972-12-18,1.3965,1.3965,1.3778,1.3815,220800
1972-12-19,1.3815,1.3815,1.3666,1.3666,213600
1972-12-20,1.3666,1.3778,1.3553,1.3684,278400
1972-12-21,1.3684,1.3778,1.3571,1.3571,184800
1972-12-22,1.3571,1.3610,1.3516,1.3591,192000
1972-12-26,1.3591,1.3610,1.3516,1.3553,175200
1972-12-27,1.3553,1.3758,1.3553,1.3553,309600
1972-12-29,1.3610,1.3778,1.3610,1.3666,403200
1973-01-02,1.3666,1.3741,1.3553,1.3553,105600
1973-01-03,1.3553,1.3553,1.3441,1.3478,374400
1973-01-04,1.3478,1.3534,1.3441,1.3478,201600
1973-01-05,1.3498,1.3610,1.3498,1.3553,316800
1973-01-08,1.3628,1.3778,1.3628,1.3778,746400
1973-01-09,1.3778,1.3908,1.3741,1.3853,288000
1973-01-10,1.3853,1.3908,1.3815,1.3853,122400
1973-01-11,1.3853,1.4227,1.3835,1.4133,422400
1973-01-12,1.4133,1.4190,1.3983,1.4115,396000
1973-01-15,1.4115,1.4227,1.3928,1.3928,194400
1973-01-16,1.3928,1.4040,1.3928,1.4003,652800
1973-01-17,1.4003,1.4021,1.3815,1.3815,177600
1973-01-18,1.3815,1.4040,1.3815,1.4021,360000
1973-01-19,1.4021,1.4077,1.3965,1.4077,170400
1973-01-22,1.4077,1.4245,1.4077,1.4245,211200
1973-01-23,1.4245,1.4245,1.4115,1.4190,163200
1973-01-24,1.4190,1.4302,1.4152,1.4152,136800
1973-01-26,1.4152,1.4227,1.3815,1.4077,367200
1973-01-29,1.4077,1.4152,1.3890,1.3928,122400
1973-01-30,1.3928,1.3965,1.3835,1.3928,153600
1973-01-31,1.3928,1.4003,1.3890,1.3890,333600
1973-02-01,1.3890,1.3965,1.3778,1.3778,292800
1973-02-02,1.3778,1.3890,1.3778,1.3778,268800
1973-02-05,1.3778,1.3778,1.3666,1.3703,122400
1973-02-06,1.3703,1.3778,1.3553,1.3666,175200
1973-02-07,1.3666,1.3890,1.3666,1.3890,206400
1973-02-08,1.3890,1.4003,1.3853,1.3908,583200
1973-02-09,1.3908,1.4040,1.3853,1.4003,355200
1973-02-12,1.4003,1.4077,1.4003,1.4021,364800
1973-02-13,1.4059,1.4152,1.4059,1.4133,357600
1973-02-14,1.4133,1.4133,1.3947,1.3983,120000
1973-02-15,1.3983,1.4077,1.3947,1.4003,165600
1973-02-16,1.4059,1.4190,1.4059,1.4077,266400
1973-02-20,1.4115,1.4227,1.4115,1.4190,189600
1973-02-21,1.4190,1.4265,1.4172,1.4172,273600
1973-02-22,1.4152,1.4152,1.4077,1.4152,112800
1973-02-23,1.4152,1.4265,1.4115,1.4115,223200
1973-02-26,1.4115,1.4227,1.4040,1.4040,225600
1973-02-27,1.4003,1.4003,1.3965,1.3965,91200
1973-02-28,1.3965,1.4003,1.3778,1.3778,122400
1973-03-01,1.3778,1.3853,1.3404,1.3404,316800
1973-03-02,1.3404,1.3553,1.3291,1.3553,225600
1973-03-05,1.3534,1.3534,1.3404,1.3478,218400
1973-03-06,1.3516,1.3723,1.3516,1.3723,369600
1973-03-07,1.3723,1.3741,1.3684,1.3703,216000
1973-03-08,1.3703,1.3928,1.3703,1.3890,151200
1973-03-09,1.3890,1.4040,1.3890,1.3965,187200
1973-03-12,1.3965,1.4077,1.3965,1.4021,127200
1973-03-13,1.4021,1.4302,1.3965,1.4227,156000
1973-03-14,1.3928,1.3928,1.3815,1.3928,446400
1973-03-15,1.3928,1.3965,1.3516,1.3516,585600
1973-03-16,1.3516,1.3778,1.3404,1.3591,468000
1973-03-19,1.3516,1.3516,1.3366,1.3404,513600
1973-03-20,1.3404,1.3441,1.3179,1.3254,516000
1973-03-21,1.3254,1.3329,1.2917,1.2954,369600
1973-03-22,1.2954,1.3254,1.2917,1.3254,427200
1973-03-23,1.3254,1.3329,1.3161,1.3291,432000
1973-03-26,1.3291,1.3309,1.3179,1.3216,777600
1973-03-27,1.3216,1.3291,1.3216,1.3254,561600
1973-03-28,1.3254,1.3309,1.3216,1.3216,232800
1973-03-29,1.3179,1.3179,1.3067,1.3141,309600
1973-03-30,1.3141,1.3141,1.3029,1.3049,614400
