Date,Open,High,Low,Close,Volume
1989-10-04,1.6122,1.6636,1.5918,1.6326,20636000
1989-10-05,1.6424,1.7142,1.6326,1.6832,6453600
1989-10-06,1.6938,1.7142,1.6636,1.6636,2755200
1989-10-09,1.6636,1.6636,1.6326,1.6636,1084000
1989-10-10,1.6734,1.6734,1.6326,1.6530,1493600
1989-10-11,1.6326,1.6424,1.6122,1.6424,1260000
1989-10-12,1.6424,1.6636,1.6424,1.6530,602400
1989-10-13,1.6530,1.6530,1.6122,1.6228,3970400
1989-10-16,1.5510,1.6122,1.5510,1.6122,3924800
1989-10-17,1.5918,1.6326,1.5918,1.6326,1843200
1989-10-18,1.6326,1.6734,1.6228,1.6636,1128000
1989-10-19,1.6530,1.6636,1.6530,1.6636,1040000
1989-10-20,1.6530,1.6530,1.6424,1.6530,237600
1989-10-23,1.6636,1.6734,1.6636,1.6636,87200
1989-10-24,1.6636,1.6734,1.6530,1.6734,689600
1989-10-25,1.6636,1.6832,1.6424,1.6636,608000
1989-10-26,1.6636,1.6734,1.6636,1.6636,228800
1989-10-27,1.6636,1.6636,1.6326,1.6424,456000
1989-10-30,1.6424,1.6424,1.6326,1.6326,250400
1989-10-31,1.6326,1.6424,1.6326,1.6326,424800
1989-11-01,1.6424,1.6734,1.6424,1.6734,715200
1989-11-02,1.6938,1.7240,1.6938,1.7240,130400
1989-11-03,1.7142,1.7959,1.7142,1.7861,1118400
1989-11-06,1.7755,1.7755,1.6832,1.6832,264800
1989-11-07,1.6636,1.7551,1.6326,1.7551,727200
1989-11-08,1.7551,1.7755,1.7453,1.7755,236800
1989-11-09,1.7755,1.7755,1.7551,1.7551,60800
1989-11-10,1.7551,1.7551,1.6636,1.6734,210400
1989-11-13,1.6734,1.6734,1.6424,1.6636,92800
1989-11-14,1.6832,1.6832,1.6228,1.6530,428000
1989-11-15,1.6636,1.6832,1.6530,1.6734,176000
1989-11-16,1.6636,1.6938,1.6636,1.6938,301600
1989-11-17,1.6938,1.7240,1.6938,1.7240,249600
1989-11-20,1.7347,1.7347,1.7044,1.7044,43200
1989-11-21,1.6938,1.7453,1.6938,1.7453,108800
1989-11-22,1.7551,1.7959,1.7551,1.7959,255200
1989-11-24,1.8163,1.9281,1.8163,1.9085,572000
1989-11-27,1.8979,1.9183,1.8677,1.8775,253600
1989-11-28,1.8775,1.8775,1.8465,1.8465,560000
1989-11-29,1.8367,1.8367,1.8163,1.8269,60800
1989-11-30,1.8367,1.8979,1.8367,1.8873,712800
1989-12-01,1.8873,1.9281,1.8873,1.8979,356800
1989-12-04,1.9183,1.9493,1.8775,1.9493,172000
1989-12-05,1.9281,1.9493,1.8979,1.8979,93600
1989-12-06,1.8979,1.9591,1.8979,1.9493,668800
1989-12-07,1.9493,1.9493,1.9085,1.9281,215200
1989-12-08,1.9085,1.9281,1.9085,1.9281,122400
1989-12-11,1.9387,1.9795,1.9183,1.9591,306400
1989-12-12,1.9689,1.9795,1.9493,1.9689,1119200
1989-12-13,1.9591,2.0612,1.9493,2.0612,400000
1989-12-14,2.0408,2.0506,2.0310,2.0408,391200
1989-12-15,2.0506,2.0506,2.0204,2.0310,155200
1989-12-18,2.0097,2.0408,1.9795,1.9795,224000
1989-12-19,1.9795,2.0000,1.9795,2.0000,215200
1989-12-20,2.0000,2.0310,1.9902,2.0097,166400
1989-12-21,2.0310,2.0408,2.0000,2.0310,174400
1989-12-22,2.0408,2.0408,2.0310,2.0408,173600
1989-12-26,2.0310,2.0310,2.0097,2.0097,97600
1989-12-27,2.0000,2.0000,1.9795,1.9795,144000
1989-12-28,1.9902,1.9902,1.9795,1.9795,11200
1989-12-29,1.9795,2.0612,1.9689,2.0612,219200
1990-01-02,2.0408,2.0408,1.9795,1.9902,194400
1990-01-03,2.0000,2.0000,1.9795,1.9795,361600
1990-01-04,1.9795,2.0000,1.9281,1.9281,166400
1990-01-05,1.9183,1.9183,1.8677,1.8979,100800
1990-01-08,1.8775,1.8873,1.8571,1.8677,880800
1990-01-09,1.8465,1.8571,1.8367,1.8367,282400
1990-01-10,1.8098,1.8098,1.7591,1.7689,784000
1990-01-11,1.7796,1.8098,1.7689,1.8000,347200
1990-01-12,1.7820,1.7927,1.7615,1.7820,159200
1990-01-15,1.7927,1.7927,1.7820,1.7820,25600
1990-01-16,1.7615,1.7714,1.7206,1.7714,172800
1990-01-17,1.7820,1.8435,1.7820,1.7820,216000
1990-01-18,1.7615,1.7820,1.7615,1.7714,157600
1990-01-19,1.7927,1.8025,1.7927,1.8025,8800
1990-01-22,1.7927,1.8025,1.7820,1.7927,56800
1990-01-23,1.8123,1.8123,1.7927,1.8025,101600
1990-01-24,1.7927,1.7927,1.7615,1.7615,26400
1990-01-25,1.7615,1.7820,1.7517,1.7820,249600
1990-01-26,1.7714,1.7820,1.7517,1.7517,45600
1990-01-29,1.7615,1.7615,1.7206,1.7304,444000
1990-01-30,1.7206,1.7411,1.6894,1.7411,548000
1990-01-31,1.7615,1.8746,1.7615,1.8746,757600
1990-02-01,1.8844,1.8844,1.8640,1.8746,149600
1990-02-02,1.8844,1.9049,1.8844,1.8844,720000
1990-02-05,1.9049,1.9049,1.8844,1.8844,163200
1990-02-06,1.8844,1.9049,1.8640,1.8943,99200
1990-02-07,1.9049,1.9254,1.9049,1.9254,32800
1990-02-08,1.9459,2.0483,1.9459,1.9975,346400
1990-02-09,2.0172,2.0483,1.9459,1.9664,179200
1990-02-12,1.9664,1.9664,1.9049,1.9049,28000
1990-02-13,1.9254,1.9352,1.9254,1.9352,26400
1990-02-14,1.9352,1.9459,1.9254,1.9254,32800
1990-02-15,1.9352,1.9459,1.9352,1.9352,152000
1990-02-16,1.9459,1.9459,1.9459,1.9459,32000
1990-02-20,1.9565,1.9565,1.9352,1.9352,23200
1990-02-21,1.9352,1.9352,1.9049,1.9049,553600
1990-02-22,1.9049,1.9049,1.8640,1.8640,148000
1990-02-23,1.8230,1.8230,1.7615,1.7820,575200
1990-02-26,1.7927,1.8025,1.7927,1.8025,477600
1990-02-27,1.8123,1.8640,1.8123,1.8640,357600
1990-02-28,1.8435,1.8533,1.8336,1.8336,145600
1990-03-01,1.8336,1.8336,1.8025,1.8025,225600
1990-03-02,1.8025,1.8230,1.7615,1.7714,931200
1990-03-05,1.7517,1.7714,1.7411,1.7517,146400
1990-03-06,1.7517,1.7927,1.7206,1.7927,258400
1990-03-07,1.7927,1.8025,1.7714,1.8025,174400
1990-03-08,1.8025,1.8336,1.7927,1.8230,146400
