Date,Open,High,Low,Close,Volume
1995-10-02,7.5429,7.6214,7.5429,7.6214,2400
1995-10-03,7.6214,8.1714,7.6214,8.1714,21300
1995-10-04,8.1714,8.1714,7.5429,7.5429,9600
1995-10-05,8.0929,8.0929,7.8572,8.0929,9900
1995-10-06,8.0929,8.0929,7.5429,8.0929,56700
1995-10-09,7.6214,8.0929,7.5429,8.0143,56100
1995-10-10,8.0929,8.0929,8.0143,8.0536,8400
1995-10-11,8.0929,8.1714,7.8572,7.8572,12000
1995-10-12,8.2500,8.2500,8.2500,8.2500,3900
1995-10-13,8.3286,8.3286,8.3286,8.3286,5100
1995-10-16,8.3286,8.5643,8.3286,8.4857,8100
1995-10-17,8.5643,8.7214,8.4857,8.7214,10800
1995-10-18,8.7214,8.9572,8.6429,8.9572,9600
1995-10-19,9.1143,9.4286,8.4857,8.8000,27900
1995-10-20,9.5857,9.5857,8.4857,9.1143,8100
1995-10-23,9.5857,9.5857,9.5857,9.5857,2700
1995-10-24,9.5857,9.5857,9.2714,9.5857,7200
1995-10-25,9.5857,9.6643,8.6429,9.6643,22800
1995-10-26,9.6643,9.6643,9.4286,9.4286,4500
1995-10-27,9.1143,9.5857,9.1143,9.5857,5100
1995-10-30,9.5857,9.5857,8.6822,9.1143,20700
1995-10-31,9.5857,9.5857,8.6429,9.5857,10800
1995-11-01,9.1143,9.5857,9.1143,9.5857,3300
1995-11-02,9.5857,9.5857,9.1143,9.5464,1500
1995-11-03,9.5857,9.5857,8.4857,9.2714,12000
1995-11-06,9.5072,9.5072,9.5072,9.5072,900
1995-11-07,9.5072,9.5072,9.5072,9.5072,900
1995-11-08,9.5072,9.5072,9.5072,9.5072,1500
1995-11-09,9.5072,9.5072,9.5072,9.5072,2100
1995-11-10,9.5072,9.5072,9.5072,9.5072,2100
1995-11-13,9.5072,9.5072,9.1143,9.1143,3600
1995-11-14,9.5072,9.5072,9.2714,9.2714,6000
1995-11-15,9.5072,9.5072,9.2714,9.5072,3600
1995-11-16,9.5072,9.5072,9.5072,9.5072,1200
1995-11-17,9.5072,9.5072,9.5072,9.5072,0
1995-11-20,9.5072,9.5072,9.2714,9.5072,2700
1995-11-21,9.5072,9.5072,8.7214,9.5072,10800
1995-11-22,9.5072,9.5072,8.8000,9.5072,4200
1995-11-24,9.5072,9.5072,9.5072,9.5072,300
1995-11-27,9.5072,9.5072,9.5072,9.5072,900
1995-11-28,9.5072,9.5072,9.3500,9.5072,3000
1995-11-29,8.4857,9.5072,8.4857,9.5072,8100
1995-11-30,9.5072,9.5072,9.2714,9.5072,2400
1995-12-01,9.5072,9.5072,9.2714,9.5072,3900
1995-12-04,9.5072,9.5072,9.0357,9.5072,3300
1995-12-05,9.5072,9.5857,9.4286,9.5857,6300
1995-12-06,9.2714,9.5857,8.9572,9.2714,30000
1995-12-07,9.2714,9.5857,9.2714,9.5857,7200
1995-12-08,9.5857,9.5857,9.5857,9.5857,2400
1995-12-11,9.5857,9.5857,9.4286,9.5857,5700
1995-12-12,8.5643,9.4286,8.5643,9.4286,3300
1995-12-13,9.4286,9.4286,9.4286,9.4286,0
1995-12-14,9.4286,9.4286,9.4286,9.4286,0
1995-12-15,9.5857,9.5857,9.0357,9.5857,4200
1995-12-18,9.5857,9.5857,9.1143,9.5857,1200
1995-12-19,9.5857,9.5857,9.5857,9.5857,0
1995-12-20,9.5857,9.5857,9.5857,9.5857,300
1995-12-21,9.5072,9.5857,9.2714,9.5857,15000
1995-12-22,9.5857,9.5857,9.4286,9.5857,3900
1995-12-26,9.1929,9.5857,9.1929,9.5857,58500
1995-12-27,9.5857,9.5857,9.2714,9.5857,5100
1995-12-28,9.5857,9.5857,9.2322,9.3893,43500
1995-12-29,8.9572,9.5857,8.9572,9.5857,2400
1996-01-02,9.1143,9.3893,9.1143,9.1143,24600
1996-01-03,9.7822,9.7822,9.7822,9.7822,300
1996-01-04,9.2299,9.7822,9.2299,9.6149,70200
1996-01-05,9.6054,9.6054,9.3088,9.6054,7200
1996-01-08,9.6244,9.6244,9.1510,9.6054,4500
1996-01-09,8.9933,9.6244,8.9933,9.5455,3000
1996-01-10,9.5455,9.5455,9.5455,9.5455,0
1996-01-11,9.6054,9.6244,9.3877,9.4666,16200
1996-01-12,9.6244,9.6244,9.4666,9.6054,8400
1996-01-15,9.1510,9.3088,9.1510,9.3088,1800
1996-01-16,9.7033,9.7822,9.1510,9.1510,3000
1996-01-17,9.5849,9.5849,9.3877,9.3877,1200
1996-01-18,9.6244,9.6244,9.6244,9.6244,600
1996-01-19,9.6244,9.6244,9.6244,9.6244,0
1996-01-22,9.6244,9.6244,9.6244,9.6244,0
1996-01-23,9.6244,9.6244,9.1510,9.1510,1200
1996-01-24,9.7033,9.7033,9.3877,9.5849,10200
1996-01-25,9.4666,9.7822,9.1510,9.5849,6600
1996-01-26,9.7822,9.7822,9.3088,9.5849,18900
1996-01-29,9.9399,9.9399,9.3877,9.3877,3300
1996-01-30,9.9399,9.9399,9.3088,9.3088,900
1996-01-31,9.3088,9.3088,9.3088,9.3088,300
1996-02-01,9.8610,9.8610,9.8610,9.8610,300
1996-02-02,9.7632,9.7632,9.3088,9.3088,1200
1996-02-05,9.3088,9.3088,9.3088,9.3088,0
1996-02-06,9.6244,9.6244,9.3088,9.3088,1800
1996-02-07,9.3088,9.8610,9.3088,9.8610,600
1996-02-08,9.8610,9.8610,9.8610,9.8610,0
1996-02-09,9.3088,9.7427,9.3088,9.7427,900
1996-02-12,9.8610,9.8610,9.6244,9.6244,1500
1996-02-13,9.7822,9.7822,9.7822,9.7822,2400
1996-02-14,9.7822,9.7822,9.3088,9.7632,2400
1996-02-15,9.7632,9.7822,9.3088,9.7822,900
1996-02-16,9.7632,9.7632,9.3088,9.7427,7200
1996-02-20,9.2299,9.7822,9.2299,9.6638,18600
