Date,Open,High,Low,Close,Volume
2015-02-19,38.7148,39.0057,37.8639,38.1839,1119730
2015-02-20,38.0821,38.2712,37.5366,38.2130,1880592
2015-02-23,38.1402,38.5039,37.9003,38.3293,1164216
2015-02-24,38.2348,38.9236,38.0893,38.7948,1251185
2015-02-25,38.6930,38.9039,38.1184,38.2639,1479772
2015-02-26,38.5061,38.5281,37.8682,38.0075,1204365
2015-02-27,38.0295,38.1248,37.7142,37.9415,1176643
2015-03-02,37.7582,38.0222,36.6145,36.8418,1904298
2015-03-03,36.7098,37.1130,36.5632,37.0984,1266495
2015-03-04,36.8858,37.0397,36.4019,36.5998,1119335
2015-03-05,36.8051,37.2157,36.6218,37.0617,867795
2015-03-06,36.3652,36.5998,35.5880,35.7493,1293923
2015-03-09,36.0939,36.1672,35.6980,35.8227,965002
2015-03-10,35.8153,36.5338,35.6980,36.0059,1287610
2015-03-11,35.8886,36.0719,35.5880,35.7933,1103184
2015-03-12,35.9106,36.7904,35.8637,36.4165,1187725
2015-03-13,36.3799,36.3799,35.7677,36.0206,969979
2015-03-16,36.2186,36.7978,36.1233,36.4825,1179953
2015-03-17,36.4239,36.7391,36.1306,36.3139,1938232
2015-03-18,36.3652,37.5309,36.1453,37.2670,2351696
2015-03-19,37.1790,37.7582,36.9297,37.1937,1261463
2015-03-20,37.3330,37.7582,37.0324,37.3990,2288305
2015-03-23,37.4723,37.8389,37.4136,37.7362,1197822
2015-03-24,37.5896,37.8132,37.1387,37.2523,1961354
2015-03-25,37.3330,37.6702,36.7465,36.7465,1251940
2015-03-26,36.7611,37.0945,36.3203,36.5925,930197
2015-03-27,36.5045,37.0324,36.4825,36.7465,1063469
2015-03-30,36.8198,37.2817,36.7098,37.1277,622648
2015-03-31,37.1717,37.4796,36.8198,37.0397,1192264
2015-04-01,36.7758,37.3110,36.5558,37.1937,1060779
2015-04-02,37.1644,37.4576,37.0910,37.1277,978506
2015-04-06,37.1937,37.6996,37.0764,37.4283,1318806
2015-04-07,37.3696,37.6116,36.8418,36.8858,1135479
2015-04-08,36.7758,37.0324,36.6291,36.9371,823348
2015-04-09,36.9444,36.9737,36.4807,36.6291,708138
2015-04-10,36.7465,37.2670,36.6951,37.0251,679856
2015-04-13,36.8858,36.9613,36.3725,36.4239,1003331
2015-04-14,36.6438,36.9004,36.4312,36.8271,940811
2015-04-15,36.8858,37.3403,36.7831,36.8344,1172037
2015-04-16,36.7611,36.9591,36.2626,36.9151,1848020
2015-04-17,36.7758,37.2366,36.6218,36.6951,1946419
2015-04-20,36.7758,37.3476,36.5632,37.0251,1341300
2015-04-21,36.4898,37.2817,36.1966,36.3725,2150354
2015-04-22,36.6805,36.6805,36.1672,36.2626,1615022
2015-04-23,36.3359,36.5485,36.1966,36.3799,1611343
2015-04-24,36.3359,36.9957,36.2039,36.8711,1634685
2015-04-27,36.9371,37.0764,36.4385,36.5265,1224889
2015-04-28,36.3652,36.9811,36.2406,36.9444,1119881
2015-04-29,36.6218,36.8931,36.3432,36.6658,996286
2015-04-30,36.2259,36.5852,35.4854,35.7493,2363800
2015-05-01,35.7493,35.9546,35.4267,35.8447,1328709
2015-05-04,36.1159,36.5925,35.9033,36.1892,1102163
2015-05-05,36.2259,36.2904,35.2581,35.3534,1256950
2015-05-06,35.3534,35.6174,34.6936,35.0308,1612334
2015-05-07,35.1775,35.4414,35.0822,35.1335,1823641
2015-05-08,35.3828,35.7053,35.2141,35.5294,2324965
2015-05-11,35.5880,35.9839,35.4927,35.5660,1448217
2015-05-12,35.3314,35.7787,35.1492,35.7127,1871459
2015-05-13,35.8960,35.9693,35.0602,35.1481,1684895
2015-05-14,35.3754,35.7347,35.1775,35.5880,1831260
2015-05-15,35.6760,36.0646,35.5587,36.0499,2902320
2015-05-18,35.9473,36.3359,35.8520,36.2479,1186839
2015-05-19,36.0793,36.3872,35.9400,36.1599,1116085
2015-05-20,36.0939,36.5558,36.0133,36.2699,1569965
2015-05-21,36.2186,36.3652,35.9986,36.2406,977323
2015-05-22,36.1453,36.2332,35.8300,36.1379,827946
2015-05-26,36.0719,36.1423,35.7420,35.9253,1384006
2015-05-27,35.9888,36.1589,35.8927,36.0628,756566
2015-05-28,35.9962,36.4843,35.9001,36.4177,1242510
2015-05-29,36.4251,36.6174,36.2402,36.4177,1629127
2015-06-01,36.4251,36.6174,36.2550,36.3733,1122755
2015-06-02,36.1515,36.2254,35.5747,35.8557,1531430
2015-06-03,35.8188,35.9001,35.0349,35.2568,1667456
2015-06-04,35.0497,35.3973,34.9906,35.0793,734948
2015-06-05,34.6356,34.7522,34.2733,34.5247,1560057
2015-06-08,34.4730,34.5247,34.2437,34.2585,1054533
2015-06-09,34.2215,34.4582,34.0515,34.2585,873771
2015-06-10,34.3768,34.5987,34.1254,34.1476,1282372
2015-06-11,34.4064,34.6467,34.2881,34.5025,989055
2015-06-12,34.3547,34.4138,34.0884,34.0884,592968
2015-06-15,34.0219,34.1698,33.8592,34.0293,830179
2015-06-16,33.9775,34.5395,33.8149,34.5173,1431895
2015-06-17,34.4360,34.7540,34.2437,34.7170,1111729
2015-06-18,34.7022,35.2790,34.6319,34.9684,1518946
2015-06-19,34.9536,35.1311,34.5617,34.5617,1819897
2015-06-22,34.4212,34.7170,34.3694,34.4286,1230555
2015-06-23,34.3399,34.4212,33.8518,33.9036,1153558
2015-06-24,33.9332,34.1106,33.6891,33.6965,835568
2015-06-25,33.7853,33.9109,33.6004,33.6522,1654887
2015-06-26,33.6004,34.1254,33.4229,34.0071,2279549
2015-06-29,34.1254,34.3916,33.6226,33.6448,1444931
2015-06-30,33.7779,33.8518,33.5043,33.5782,1995324
2015-07-01,33.6670,33.8149,33.5265,33.6965,1799120
2015-07-02,33.9923,34.4286,33.8592,34.3916,1839746
2015-07-06,33.1863,34.4212,33.0089,34.2437,7597457
2015-07-07,34.4212,35.3085,34.4064,35.0349,3802841
2015-07-08,34.9610,35.3233,34.6726,34.8501,3002680
2015-07-09,34.9388,35.0127,34.1920,34.5543,2986068
