Date,Open,High,Low,Close,Volume
1994-06-07,5.0627,5.1951,5.0627,5.1316,1595400
1994-06-08,5.1316,5.1316,5.0627,5.0972,162400
1994-06-09,5.0972,5.0972,5.0627,5.0972,76200
1994-06-10,5.0972,5.0972,5.0310,5.0627,110500
1994-06-13,5.0627,5.0627,5.0310,5.0627,51200
1994-06-14,5.0627,5.0972,5.0627,5.0972,28100
1994-06-15,5.0972,5.1634,5.0627,5.0972,96700
1994-06-16,5.0972,5.0972,5.0627,5.0627,19800
1994-06-17,5.0627,5.0972,5.0310,5.0310,56000
1994-06-20,5.0310,5.0627,5.0310,5.0627,43500
1994-06-21,5.0627,5.0627,5.0310,5.0310,34700
1994-06-22,5.0310,5.0627,5.0310,5.0310,29500
1994-06-23,5.0310,5.0627,4.9648,4.9648,67900
1994-06-24,4.9518,4.9518,4.8188,4.8880,72500
1994-06-27,4.8880,4.8880,4.5875,4.7550,70100
1994-06-28,4.7550,4.8188,4.6540,4.6859,64700
1994-06-29,4.7204,4.8188,4.7204,4.7550,25100
1994-06-30,4.7550,4.7869,4.6859,4.6859,26100
1994-07-01,4.6859,4.7204,4.6220,4.7204,25500
1994-07-05,4.7204,4.7550,4.7204,4.7550,2900
1994-07-06,4.7550,4.7550,4.6540,4.6859,33600
1994-07-07,4.6859,4.7550,4.6859,4.6859,30500
1994-07-08,4.6859,4.7550,4.6859,4.6859,30200
1994-07-11,4.6859,4.7550,4.6540,4.7204,29300
1994-07-12,4.7204,4.7550,4.6859,4.7204,11700
1994-07-13,4.7204,4.7550,4.6859,4.7204,37800
1994-07-14,4.7204,4.7550,4.6859,4.7550,24600
1994-07-15,4.7550,4.7869,4.7550,4.7869,15000
1994-07-18,4.7869,4.7869,4.7550,4.7869,22900
1994-07-19,4.7869,4.9199,4.7869,4.9199,25700
1994-07-20,4.9199,4.9199,4.8188,4.8534,15900
1994-07-21,4.8534,4.8534,4.7869,4.8534,16000
1994-07-22,4.8534,4.9199,4.8534,4.8880,18800
1994-07-25,4.8880,4.9199,4.8534,4.9199,20100
1994-07-26,4.9199,4.9518,4.8880,4.9199,14200
1994-07-27,4.8880,4.8880,4.8188,4.8534,10100
1994-07-28,4.8188,4.8188,4.7550,4.7550,9200
1994-07-29,4.7550,4.7550,4.6859,4.7204,71400
1994-08-01,4.7204,4.7204,4.6859,4.6859,23500
1994-08-02,4.6859,4.8188,4.6859,4.8188,36700
1994-08-03,4.8188,4.8880,4.7550,4.8880,16300
1994-08-04,4.8880,4.8880,4.7550,4.7869,19800
1994-08-05,4.7869,4.7869,4.7550,4.7869,9100
1994-08-08,4.7869,4.8188,4.7550,4.7869,20100
1994-08-09,4.7550,4.7550,4.7204,4.7204,26700
1994-08-10,4.7204,4.8188,4.7204,4.8188,52600
1994-08-11,4.8188,4.8534,4.7550,4.7550,15800
1994-08-12,4.7550,4.8188,4.7550,4.7869,6100
1994-08-15,4.7869,4.7869,4.7550,4.7550,14400
1994-08-16,4.7550,4.8188,4.7550,4.8188,16800
1994-08-17,4.8188,4.8188,4.7869,4.8188,14500
1994-08-18,4.7869,4.7869,4.7550,4.7869,11500
1994-08-19,4.7869,4.8188,4.7550,4.7869,10300
1994-08-22,4.7869,4.8188,4.7869,4.8188,6500
1994-08-23,4.8188,4.8188,4.7869,4.8188,9600
1994-08-24,4.8188,4.8188,4.7869,4.8188,18300
1994-08-25,4.8188,4.8188,4.7204,4.7204,12800
1994-08-26,4.7204,4.7869,4.7204,4.7869,13400
1994-08-29,4.7869,4.8188,4.7550,4.8188,11900
1994-08-30,4.8188,4.8534,4.7869,4.8534,39400
1994-08-31,4.8534,4.9199,4.8534,4.8880,23900
1994-09-01,4.8880,4.9199,4.8534,4.9199,31400
1994-09-02,4.9199,5.0529,4.8880,5.0529,27800
1994-09-06,5.0210,5.0210,4.9518,4.9864,8800
1994-09-07,4.9864,5.0210,4.9518,4.9864,10800
1994-09-08,4.9864,5.0210,4.9518,4.9518,7100
1994-09-09,4.9518,4.9864,4.8534,4.9518,17800
1994-09-12,4.9518,4.9864,4.9518,4.9864,9300
1994-09-13,4.9864,4.9864,4.9199,4.9199,11400
1994-09-14,4.9199,4.9518,4.8880,4.8880,7800
1994-09-15,4.8880,4.9518,4.8534,4.9518,8700
1994-09-16,4.9518,4.9518,4.8534,4.8534,10700
1994-09-19,4.8534,4.9199,4.8188,4.9199,7200
1994-09-20,4.9199,4.9864,4.9199,4.9518,11700
1994-09-21,4.9518,4.9518,4.8188,4.8880,12800
1994-09-22,4.8880,4.8880,4.7550,4.7869,20400
1994-09-23,4.7869,4.7869,4.6859,4.7550,5500
1994-09-26,4.8653,4.8980,4.6585,4.8980,18000
1994-09-27,4.8980,4.9306,4.8653,4.8980,5300
1994-09-28,4.8980,4.8980,4.7292,4.7292,9200
1994-09-29,4.7619,4.8653,4.7619,4.8653,6300
1994-09-30,4.8653,4.8980,4.8299,4.8980,6400
1994-10-03,4.8980,4.8980,4.8299,4.8299,5900
1994-10-04,4.8299,4.8980,4.8299,4.8299,5500
1994-10-05,4.8299,4.8299,4.5932,4.6258,15300
1994-10-06,4.6258,4.6585,4.5578,4.5578,35900
1994-10-07,4.5932,4.6258,4.5932,4.6258,36500
1994-10-10,4.6258,4.7292,4.6258,4.6258,23700
