Date,Open,High,Low,Close,Volume
1972-06-01,0.9606,0.9614,0.9486,0.9563,82800
1972-06-02,0.9537,0.9537,0.9435,0.9460,119592
1972-06-05,0.9409,0.9409,0.9259,0.9283,107604
1972-06-06,0.9283,0.9334,0.9182,0.9232,327204
1972-06-07,0.9208,0.9208,0.9157,0.9157,42408
1972-06-08,0.9157,0.9208,0.9157,0.9157,86400
1972-06-09,0.9157,0.9157,0.9080,0.9080,497592
1972-06-12,0.9080,0.9104,0.8979,0.8979,108396
1972-06-13,0.8979,0.9131,0.8877,0.9131,103194
1972-06-14,0.9131,0.9182,0.9080,0.9182,34002
1972-06-15,0.9232,0.9283,0.9232,0.9283,61596
1972-06-16,0.9334,0.9486,0.9334,0.9460,50400
1972-06-19,0.9409,0.9409,0.9384,0.9384,46800
1972-06-20,0.9384,0.9537,0.9334,0.9486,190800
1972-06-21,0.9587,0.9740,0.9587,0.9614,136404
1972-06-22,0.9614,0.9614,0.9614,0.9614,53208
1972-06-23,0.9614,0.9689,0.9614,0.9614,94806
1972-06-26,0.9614,0.9614,0.9358,0.9358,700398
1972-06-27,0.9384,0.9512,0.9384,0.9409,349200
1972-06-28,0.9358,0.9358,0.9259,0.9259,83592
1972-06-29,0.9259,0.9283,0.9080,0.9131,104796
1972-06-30,0.9131,0.9259,0.9080,0.9208,108396
1972-07-03,0.9208,0.9259,0.9182,0.9232,46800
1972-07-05,0.9232,0.9334,0.9232,0.9259,42408
1972-07-06,0.9334,0.9486,0.9334,0.9460,140796
1972-07-07,0.9409,0.9409,0.9232,0.9309,133596
1972-07-10,0.9309,0.9334,0.9232,0.9309,83592
1972-07-11,0.9232,0.9232,0.9157,0.9157,19998
1972-07-12,0.9157,0.9283,0.9104,0.9283,46800
1972-07-13,0.9232,0.9232,0.9131,0.9131,514404
1972-07-14,0.9131,0.9232,0.9131,0.9232,49608
1972-07-17,0.9232,0.9283,0.9208,0.9208,138006
1972-07-18,0.9208,0.9208,0.9131,0.9131,132408
1972-07-19,0.9131,0.9283,0.9131,0.9283,99198
1972-07-20,0.9259,0.9259,0.9157,0.9157,91206
1972-07-21,0.9131,0.9131,0.9080,0.9131,61596
1972-07-24,0.9182,0.9309,0.9182,0.9232,368406
1972-07-25,0.9232,0.9283,0.9131,0.9131,399204
1972-07-26,0.9157,0.9259,0.9157,0.9157,162792
1972-07-27,0.9157,0.9182,0.8954,0.9054,212796
1972-07-28,0.8979,0.8979,0.8826,0.8826,162792
1972-07-31,0.8776,0.8776,0.8597,0.8648,182394
1972-08-01,0.8548,0.8548,0.8319,0.8548,368406
1972-08-02,0.8573,0.8749,0.8573,0.8749,204408
1972-08-03,0.8802,0.8904,0.8802,0.8826,115992
1972-08-04,0.8776,0.8776,0.8648,0.8725,88398
1972-08-07,0.8776,0.8904,0.8776,0.8802,86400
1972-08-08,0.8802,0.8877,0.8749,0.8877,182394
1972-08-09,0.8877,0.8877,0.8725,0.8776,141606
1972-08-10,0.8776,0.8853,0.8548,0.8548,77994
1972-08-11,0.8548,0.8624,0.8421,0.8624,356796
1972-08-14,0.8624,0.8699,0.8573,0.8699,138006
1972-08-15,0.8699,0.8749,0.8648,0.8648,1567998
1972-08-16,0.8648,0.8699,0.8624,0.8648,121608
1972-08-17,0.8648,0.8699,0.8522,0.8522,49608
1972-08-18,0.8522,0.8699,0.8471,0.8674,179604
1972-08-21,0.8674,0.8853,0.8674,0.8776,270792
1972-08-22,0.8776,0.8877,0.8776,0.8877,74394
1972-08-23,0.8877,0.8979,0.8826,0.8979,121608
1972-08-24,0.8979,0.9131,0.8954,0.9080,207198
1972-08-25,0.9080,0.9131,0.9054,0.9054,77994
1972-08-28,0.9054,0.9104,0.9054,0.9054,74394
1972-08-29,0.9054,0.9182,0.9054,0.9131,262404
1972-08-30,0.9131,0.9232,0.9131,0.9131,207198
1972-08-31,0.9131,0.9182,0.9104,0.9131,265194
1972-09-01,0.9131,0.9131,0.9080,0.9131,66006
1972-09-05,0.9131,0.9182,0.9131,0.9131,104796
1972-09-06,0.9131,0.9208,0.9131,0.9131,254394
