Date,Open,High,Low,Close,Volume
1972-06-01,2.1086,2.1086,2.0619,2.0748,84000
1972-06-02,2.0748,2.0986,2.0619,2.0867,35200
1972-06-05,2.0867,2.1116,2.0748,2.0748,26400
1972-06-06,2.0619,2.0619,2.0370,2.0490,31400
1972-06-07,2.0490,2.0619,2.0490,2.0490,10000
1972-06-08,2.0490,2.0748,2.0251,2.0251,65800
1972-06-09,2.0251,2.0370,2.0122,2.0122,37000
1972-06-12,2.0122,2.0490,2.0122,2.0370,21200
1972-06-13,2.0370,2.0370,1.9873,2.0122,76800
1972-06-14,1.9993,1.9993,1.9625,1.9625,253600
1972-06-15,1.9625,1.9754,1.9625,1.9754,28200
1972-06-16,1.9754,1.9754,1.9496,1.9754,18000
1972-06-19,1.9754,1.9873,1.9625,1.9754,17000
1972-06-20,1.9754,1.9754,1.9496,1.9496,81200
1972-06-21,1.9496,1.9754,1.9257,1.9257,114000
1972-06-22,1.9257,1.9496,1.9257,1.9496,47400
1972-06-23,1.9496,1.9496,1.9257,1.9496,106000
1972-06-26,1.9496,1.9625,1.9257,1.9377,28800
1972-06-27,1.9377,1.9377,1.9257,1.9377,28400
1972-06-28,1.9377,1.9754,1.9257,1.9754,42000
1972-06-29,1.9754,1.9873,1.9496,1.9754,26600
1972-06-30,1.9754,2.0251,1.9754,2.0122,94200
1972-07-03,2.0122,2.0370,1.9873,2.0122,14600
1972-07-05,2.0370,2.0867,2.0370,2.0748,44800
1972-07-06,2.0748,2.1245,2.0748,2.1245,30600
1972-07-07,2.1245,2.1483,2.1116,2.1483,47800
1972-07-10,2.1483,2.1742,2.1245,2.1612,51200
1972-07-11,2.1364,2.1364,2.0986,2.0986,28800
1972-07-12,2.0986,2.1483,2.0986,2.1245,9600
1972-07-13,2.1245,2.1483,2.0986,2.0986,12000
1972-07-14,2.0986,2.1364,2.0867,2.1116,21200
1972-07-17,2.1116,2.1245,2.0867,2.0986,24600
1972-07-18,2.0748,2.0748,2.0490,2.0490,8800
1972-07-19,2.0490,2.0619,2.0370,2.0370,18600
1972-07-20,2.0370,2.0619,2.0370,2.0490,15000
1972-07-21,2.0490,2.0748,2.0370,2.0748,11000
1972-07-24,2.0748,2.0867,2.0490,2.0748,25200
1972-07-25,2.0748,2.0986,2.0370,2.0619,135200
1972-07-26,2.0619,2.0867,2.0490,2.0490,27600
1972-07-27,2.0490,2.0619,2.0251,2.0251,19800
1972-07-28,2.0490,2.0619,2.0490,2.0490,28600
1972-07-31,2.0490,2.0490,2.0122,2.0251,5600
1972-08-01,2.0251,2.0251,2.0122,2.0251,18000
1972-08-02,2.0251,2.0619,2.0122,2.0122,64200
1972-08-03,2.0122,2.0251,1.9873,1.9873,21400
1972-08-04,1.9873,1.9993,1.9873,1.9873,21000
1972-08-07,1.9873,1.9993,1.9496,1.9496,174200
1972-08-08,1.9496,1.9625,1.9377,1.9625,81200
1972-08-09,1.9625,1.9754,1.9377,1.9496,34200
1972-08-10,1.9496,1.9625,1.9257,1.9496,34400
1972-08-11,1.9496,1.9754,1.9496,1.9625,39200
1972-08-14,1.9625,1.9754,1.9496,1.9754,22400
1972-08-15,1.9754,1.9873,1.9754,1.9754,50200
1972-08-16,1.9754,1.9873,1.9754,1.9873,75600
1972-08-17,1.9873,2.0122,1.9873,1.9993,35000
1972-08-18,1.9993,2.0748,1.9993,2.0619,103600
1972-08-21,2.0867,2.1245,2.0867,2.1116,25600
1972-08-22,2.1245,2.1742,2.1245,2.1483,80800
1972-08-23,2.1612,2.1861,2.1612,2.1612,35200
1972-08-24,2.1742,2.2606,2.1742,2.2358,128800
1972-08-25,2.2358,2.2606,2.2109,2.2238,37000
1972-08-28,2.2238,2.2477,2.2109,2.2358,56600
1972-08-29,2.2358,2.2358,2.2238,2.2358,15400
1972-08-30,2.2477,2.2735,2.2477,2.2606,39000
1972-08-31,2.2606,2.2606,2.2238,2.2238,24200
1972-09-01,2.2238,2.2358,2.1980,2.2238,13200
1972-09-05,2.2238,2.2238,2.1861,2.1861,39600
1972-09-06,2.1861,2.2238,2.1861,2.1980,16400
1972-09-07,2.1980,2.1980,2.1861,2.1861,25400
1972-09-08,2.1861,2.1861,2.1612,2.1861,18800
1972-09-11,2.1861,2.1861,2.1364,2.1364,39200
1972-09-12,2.1364,2.1861,2.1364,2.1742,31800
1972-09-13,2.1742,2.1980,2.1742,2.1861,65000
1972-09-14,2.1861,2.2109,2.1861,2.1980,7200
1972-09-15,2.1980,2.2109,2.1861,2.2109,12800
1972-09-18,2.2109,2.2109,2.1980,2.1980,26000
1972-09-19,2.1980,2.2109,2.1742,2.1742,16200
1972-09-20,2.1742,2.1980,2.1742,2.1861,4800
1972-09-21,2.1861,2.1980,2.1483,2.1483,17200
1972-09-22,2.1483,2.1742,2.1364,2.1364,20400
1972-09-25,2.1364,2.1483,2.1245,2.1364,23600
1972-09-26,2.1364,2.1483,2.1116,2.1245,244600
1972-09-27,2.1245,2.1861,2.1245,2.1742,19200
1972-09-28,2.1742,2.1980,2.1742,2.1861,17400
1972-09-29,2.1980,2.2358,2.1980,2.1980,45400
1972-10-02,2.1980,2.2109,2.1742,2.1742,13400
1972-10-03,2.1861,2.2109,2.1861,2.1861,35600
1972-10-04,2.1980,2.2238,2.1980,2.2238,51600
1972-10-05,2.2238,2.2358,2.1980,2.1980,31000
1972-10-06,2.1980,2.2477,2.1980,2.2358,44600
1972-10-09,2.2477,2.2735,2.2477,2.2606,13800
1972-10-10,2.2606,2.2735,2.2477,2.2606,10800
1972-10-11,2.2606,2.2606,2.2477,2.2477,5800
1972-10-12,2.2477,2.2735,2.2358,2.2606,23800
1972-10-13,2.2606,2.2606,2.2358,2.2477,20400
1972-10-16,2.2477,2.2854,2.2358,2.2606,121400
