Date,Open,High,Low,Close,Volume
1987-08-25,3.3543,3.4031,3.3543,3.3710,2027000
1987-08-26,3.3761,3.4074,3.3591,3.3761,145000
1987-08-27,3.3761,3.3918,3.3109,3.3761,88500
1987-08-28,3.3761,3.3918,3.3265,3.3918,13200
1987-08-31,3.3265,3.3918,3.3265,3.3918,13200
1987-09-01,3.3918,3.4413,3.1961,3.2287,29700
1987-09-02,3.2287,3.2456,3.1635,3.1961,28400
1987-09-03,3.1961,3.2613,3.1308,3.2613,30600
1987-09-04,3.2613,3.2770,3.1961,3.1961,30900
1987-09-08,3.1961,3.2287,3.1465,3.1961,40800
1987-09-09,3.1961,3.3109,3.1961,3.2117,63300
1987-09-10,3.2117,3.2939,3.2117,3.2456,51700
1987-09-11,3.2456,3.2456,3.1635,3.2117,14100
1987-09-14,3.2117,3.2456,3.1635,3.2117,11500
1987-09-15,3.1804,3.2117,3.1465,3.1804,21700
1987-09-16,3.1635,3.1961,3.1308,3.1961,17000
1987-09-17,3.1635,3.1804,3.0982,3.1635,44200
1987-09-18,3.1961,3.2613,3.1961,3.2456,57900
1987-09-21,3.2456,3.2613,3.2287,3.2287,29000
1987-09-22,3.2117,3.2770,3.2117,3.2770,22900
1987-09-23,3.4896,3.6200,3.4896,3.5874,23300
1987-09-24,3.1961,3.2456,3.1804,3.1961,52300
1987-09-25,3.2287,3.2287,3.1635,3.1635,16400
1987-09-28,3.1804,3.2117,3.1635,3.1961,34800
1987-09-29,3.1961,3.2456,3.1465,3.2456,23200
1987-09-30,3.2287,3.2456,3.1804,3.2287,11800
1987-10-01,3.2456,3.2456,3.1804,3.2456,39800
1987-10-02,3.2770,3.2770,3.2287,3.2770,19500
1987-10-05,3.2456,3.3265,3.2456,3.3109,13500
1987-10-06,3.2770,3.3422,3.2613,3.2939,30000
1987-10-07,3.2770,3.3591,3.2613,3.3422,62300
1987-10-08,3.3591,3.3591,3.3265,3.3422,41600
1987-10-09,3.3109,3.3422,3.2939,3.3109,58600
1987-10-12,3.3109,3.3422,3.1961,3.2456,120600
1987-10-13,3.3265,3.3265,3.2613,3.3265,41400
1987-10-14,3.3265,3.3422,3.2939,3.3109,15900
1987-10-15,3.2287,3.3265,3.2287,3.2939,71800
1987-10-16,3.3109,3.3265,3.1804,3.1804,66500
1987-10-19,3.0004,3.0161,2.6090,2.6586,169100
1987-10-20,2.6899,3.2287,2.6586,2.8699,111700
1987-10-21,2.9847,3.3761,2.9508,3.0330,63500
1987-10-22,3.1635,3.1635,2.8856,3.0330,156000
1987-10-23,3.0330,3.2287,2.9352,3.2287,43100
1987-10-26,3.1465,3.1635,3.0982,3.1152,37500
1987-10-27,3.0813,3.1635,3.0656,3.0656,52700
1987-10-28,3.0656,3.1465,2.9847,3.1308,62100
1987-10-29,3.1635,3.1804,3.0656,3.0813,24300
1987-10-30,3.0500,3.1152,3.0161,3.1152,109400
1987-11-02,3.1152,3.1152,2.9678,3.0656,85500
1987-11-03,3.0656,3.0813,3.0004,3.0330,24600
1987-11-04,3.0330,3.1308,3.0330,3.1152,42000
1987-11-05,3.0656,3.1961,3.0656,3.1961,30400
1987-11-06,3.1961,3.2770,3.1961,3.2287,103900
1987-11-09,3.2287,3.2287,3.1465,3.1961,39600
1987-11-10,3.1635,3.1804,3.1308,3.1635,60400
1987-11-11,3.1804,3.1804,3.1152,3.1308,19700
1987-11-12,3.1635,3.1635,3.1152,3.1465,106600
1987-11-13,3.1465,3.1804,3.1308,3.1308,145000
1987-11-16,3.1152,3.1961,3.1152,3.1804,22300
1987-11-17,3.2117,3.2117,3.1152,3.1465,29500
1987-11-18,3.1635,3.2456,3.1308,3.2117,53800
1987-11-19,3.2117,3.2117,3.1465,3.1465,25100
1987-11-20,3.1152,3.2287,3.0982,3.1961,33100
1987-11-23,3.2456,3.2456,3.1465,3.1961,62500
1987-11-24,3.2287,3.2456,3.1465,3.1465,87300
1987-11-25,3.1804,3.1961,3.1465,3.1804,21300
1987-11-27,3.1465,3.1804,3.1308,3.1465,121600
1987-11-30,3.1152,3.1152,2.9508,3.0004,34300
1987-12-01,3.0204,3.0695,3.0204,3.0695,132300
1987-12-02,3.0536,3.0868,3.0204,3.0536,94900
1987-12-03,3.0695,3.0868,3.0204,3.0377,63600
1987-12-04,3.0536,3.0536,2.9872,3.0536,15700
1987-12-07,3.0377,3.0377,2.9872,2.9872,21400
1987-12-08,3.0204,3.0695,2.9540,3.0032,54500
1987-12-09,3.0204,3.0695,2.9713,3.0377,21900
1987-12-10,3.0032,3.0377,2.9872,3.0204,72300
1987-12-11,3.0536,3.1041,3.0032,3.0032,26500
1987-12-14,2.9872,3.0204,2.9872,2.9872,41300
1987-12-15,3.0204,3.0868,2.9872,3.0204,272100
1987-12-16,3.0377,3.0377,2.9872,3.0377,23300
1987-12-17,3.0536,3.0695,3.0204,3.0536,27300
1987-12-18,3.0377,3.1704,3.0204,3.1704,34000
1987-12-21,3.1359,3.1704,3.0377,3.0536,24600
1987-12-22,3.0377,3.0695,2.9713,2.9872,42100
1987-12-23,3.0377,3.0377,3.0032,3.0204,20500
1987-12-24,3.0204,3.0536,3.0204,3.0377,4200
1987-12-28,3.0204,3.0536,3.0204,3.0377,31900
1987-12-29,3.0204,3.0377,3.0204,3.0204,13600
1987-12-30,3.0536,3.0536,3.0032,3.0032,110100
1987-12-31,2.9872,3.0536,2.9540,3.0032,70100
1988-01-04,2.9872,3.1532,2.9872,3.1532,38200
1988-01-05,3.1864,3.2368,3.1532,3.1532,62200
1988-01-06,3.1864,3.2196,3.1200,3.1532,67200
1988-01-07,3.1532,3.2023,3.1359,3.2023,24300
1988-01-08,3.1704,3.2023,3.1200,3.1200,9900
1988-01-11,3.0868,3.1532,3.0695,3.1200,13000
1988-01-12,3.1532,3.1704,3.1041,3.1041,9300
1988-01-13,3.0868,3.1704,3.0868,3.1704,9500
1988-01-14,3.1704,3.1864,3.0868,3.1200,15300
1988-01-15,3.2023,3.2196,3.1200,3.1200,44700
1988-01-18,3.1532,3.2023,3.1041,3.1864,14300
1988-01-19,3.1864,3.2023,3.1359,3.1532,36600
1988-01-20,3.1864,3.2368,3.1704,3.2368,10600
1988-01-21,3.2368,3.2368,3.2196,3.2368,6700
1988-01-22,3.2528,3.3696,3.2196,3.3696,40600
1988-01-25,3.3523,3.4014,3.3523,3.3855,29300
1988-01-26,3.3523,3.4187,3.3523,3.4014,24200
1988-01-27,3.4187,3.4187,3.3855,3.4187,22100
1988-01-28,3.4360,3.4851,3.4014,3.4678,74600
1988-01-29,3.4678,3.5847,3.4678,3.4851,42000
1988-02-01,3.5024,3.5183,3.4851,3.4851,16200
1988-02-02,3.4851,3.5024,3.4187,3.5024,20200
1988-02-03,3.4678,3.5024,3.4519,3.4851,23300
1988-02-04,3.4519,3.4851,3.3351,3.4187,31200
1988-02-05,3.4014,3.5024,3.4014,3.4851,50900
1988-02-08,3.4519,3.4851,3.4519,3.4678,15500
1988-02-09,3.5024,3.5183,3.4678,3.4678,32100
1988-02-10,3.4851,3.5024,3.4678,3.4851,21700
1988-02-11,3.4519,3.5024,3.4519,3.5024,11300
1988-02-12,3.4851,3.5024,3.4678,3.4851,14400
1988-02-16,3.4678,3.4851,3.4519,3.4678,21900
1988-02-17,3.4851,3.5024,3.4678,3.4678,32500
1988-02-18,3.4678,3.5024,3.4187,3.5024,20900
1988-02-19,3.4678,3.5024,3.4678,3.5024,17700
1988-02-22,3.5024,3.5183,3.4678,3.5183,13300
1988-02-23,3.5183,3.5183,3.4851,3.4851,8900
1988-02-24,3.5024,3.5183,3.4519,3.4519,74100
1988-02-25,3.4426,3.4588,3.3913,3.4426,33500
1988-02-26,3.4588,3.5263,3.3913,3.4089,26400
1988-02-29,3.3913,3.4089,3.3751,3.3913,19000
1988-03-01,3.3751,3.3913,3.3589,3.3589,9200
1988-03-02,3.3589,3.3913,3.3414,3.3589,16400
1988-03-03,3.3751,3.3751,3.3414,3.3751,26000
1988-03-04,3.3751,3.3751,3.3238,3.3414,22200
1988-03-07,3.3414,3.3589,3.2914,3.2914,17800
1988-03-08,3.2914,3.3414,3.2914,3.3076,24100
1988-03-09,3.3238,3.3238,3.2739,3.3076,12800
1988-03-10,3.3076,3.3076,3.2563,3.2563,22200
1988-03-11,3.2739,3.2739,3.2401,3.2563,39400
1988-03-14,3.2063,3.2563,3.1726,3.2239,135200
1988-03-15,3.2401,3.2914,3.2239,3.2739,29100
1988-03-16,3.2914,3.3076,3.2739,3.2914,19600
1988-03-17,3.3076,3.3238,3.2914,3.3238,31600
1988-03-18,3.3238,3.3414,3.3076,3.3238,50000
1988-03-21,3.3238,3.3238,3.2063,3.2239,20400
1988-03-22,3.2401,3.2739,3.2239,3.2739,84300
