Date,Open,High,Low,Close,Volume
1980-01-02,0.8877,0.8877,0.8718,0.8718,117259
1980-01-03,0.8718,0.8953,0.8718,0.8877,131005
1980-01-04,0.8877,0.9194,0.8877,0.9194,84157
1980-01-07,0.9194,0.9194,0.9035,0.9118,73778
1980-01-08,0.9118,0.9194,0.9035,0.9194,46847
1980-01-09,0.9194,0.9352,0.9194,0.9270,76302
1980-01-10,0.9270,0.9352,0.9270,0.9352,58068
1980-01-11,0.9352,0.9352,0.9270,0.9352,63398
1980-01-14,0.9352,0.9435,0.9270,0.9270,94817
1980-01-15,0.9270,0.9435,0.9035,0.9352,48811
1980-01-16,0.9352,0.9352,0.9270,0.9270,54702
1980-01-17,0.9270,0.9511,0.9194,0.9194,70411
1980-01-18,0.9194,0.9270,0.8636,0.9118,69850
1980-01-21,0.9035,0.9035,0.8877,0.8953,145311
1980-01-22,0.8953,0.9035,0.8877,0.8877,108843
1980-01-23,0.8877,0.9035,0.8877,0.8953,57788
1980-01-24,0.8953,0.9435,0.8877,0.8877,168034
1980-01-25,0.8877,0.8953,0.8801,0.8877,170278
1980-01-28,0.8877,0.8953,0.8801,0.8801,233676
1980-01-29,0.8801,0.8877,0.8801,0.8877,86682
1980-01-30,0.8877,0.8953,0.8801,0.8953,63398
1980-01-31,0.8953,0.9035,0.8877,0.8877,92573
1980-02-01,0.8877,0.9118,0.8877,0.9118,75741
1980-02-04,0.9118,0.9118,0.8953,0.8953,112771
1980-02-05,0.8953,0.9035,0.8877,0.8953,47689
1980-02-06,0.8953,0.9035,0.8953,0.9035,58910
1980-02-07,0.9035,0.9035,0.8877,0.8877,107160
1980-02-08,0.8877,0.9035,0.8877,0.8877,92573
1980-02-11,0.8877,0.8953,0.8877,0.8877,81071
1980-02-12,0.8877,0.8953,0.8877,0.8877,78547
1980-02-13,0.8953,0.9035,0.8953,0.8953,86682
1980-02-14,0.8953,0.9035,0.8953,0.9035,106599
1980-02-15,0.8718,0.8718,0.8560,0.8636,141104
1980-02-19,0.8636,0.8718,0.8560,0.8636,132968
