Date,Open,High,Low,Close,Volume
1990-03-26,0.5922,0.5922,0.5922,0.5922,352000
1990-03-27,0.5893,0.5953,0.5893,0.5893,48000
1990-03-28,0.5953,0.5953,0.5893,0.5893,864000
1990-03-29,0.5893,0.5953,0.5833,0.5953,601600
1990-03-30,0.5833,0.5893,0.5833,0.5833,419200
1990-04-02,0.5893,0.5893,0.5833,0.5862,3363200
1990-04-03,0.5953,0.5953,0.5862,0.5893,1315200
1990-04-04,0.5833,0.5833,0.5833,0.5833,6400
1990-04-05,0.5833,0.5862,0.5774,0.5862,185600
1990-04-06,0.5714,0.5833,0.5714,0.5833,9724800
1990-04-09,0.5774,0.5893,0.5774,0.5893,115200
1990-04-10,0.5714,0.5774,0.5714,0.5714,118400
1990-04-11,0.5893,0.5893,0.5714,0.5714,57600
1990-04-12,0.5833,0.5833,0.5774,0.5774,140800
1990-04-16,0.5714,0.5833,0.5714,0.5833,54400
1990-04-17,0.5833,0.5833,0.5595,0.5714,7772800
1990-04-18,0.5714,0.5833,0.5714,0.5774,281600
1990-04-19,0.5833,0.5833,0.5714,0.5714,537600
1990-04-20,0.5683,0.5683,0.5683,0.5683,25600
1990-04-23,0.5774,0.5774,0.5774,0.5774,3200
1990-04-24,0.5774,0.5774,0.5595,0.5595,272000
1990-04-25,0.5774,0.5774,0.5595,0.5595,204800
1990-04-26,0.5595,0.5595,0.5595,0.5595,0
1990-04-27,0.5595,0.5714,0.5595,0.5595,67200
1990-04-30,0.5655,0.5655,0.5595,0.5595,240000
1990-05-01,0.5714,0.5714,0.5595,0.5655,332800
1990-05-02,0.5774,0.5774,0.5774,0.5774,22400
1990-05-03,0.5774,0.5774,0.5774,0.5774,92800
1990-05-04,0.5774,0.5774,0.5774,0.5774,22400
1990-05-07,0.5774,0.6012,0.5774,0.6012,204800
1990-05-08,0.6072,0.6131,0.5893,0.5893,236800
1990-05-09,0.6012,0.6012,0.5774,0.5774,169600
1990-05-10,0.5774,0.5893,0.5774,0.5862,227200
1990-05-11,0.5893,0.5893,0.5893,0.5893,281600
1990-05-14,0.5774,0.5893,0.5774,0.5833,928000
1990-05-15,0.5774,0.5833,0.5714,0.5833,5849600
1990-05-16,0.5714,0.5774,0.5714,0.5714,902400
1990-05-17,0.5833,0.5833,0.5714,0.5714,163200
1990-05-18,0.5714,0.5833,0.5714,0.5714,60800
1990-05-21,0.5833,0.5893,0.5745,0.5774,2336000
1990-05-22,0.5893,0.5953,0.5774,0.5893,2361600
1990-05-23,0.5893,0.5953,0.5893,0.5922,720000
1990-05-24,0.5833,0.5953,0.5833,0.5893,512000
1990-05-25,0.5833,0.5833,0.5774,0.5774,51200
1990-05-29,0.5774,0.5893,0.5774,0.5893,70400
1990-05-30,0.5774,0.5774,0.5774,0.5774,3200
1990-05-31,0.5953,0.5953,0.5953,0.5953,19200
1990-06-01,0.5953,0.6191,0.5774,0.6191,1792000
1990-06-04,0.6191,0.6310,0.6131,0.6310,179200
1990-06-05,0.6310,0.6369,0.6191,0.6310,294400
1990-06-06,0.6369,0.6369,0.6369,0.6369,80000
1990-06-07,0.6310,0.6429,0.6072,0.6191,1872000
1990-06-08,0.6072,0.6131,0.6012,0.6072,1571200
1990-06-11,0.6131,0.6191,0.6131,0.6191,169600
1990-06-12,0.6191,0.6191,0.6131,0.6191,691200
1990-06-13,0.6131,0.6131,0.6131,0.6131,44800
1990-06-14,0.6131,0.6191,0.6072,0.6072,2092800
1990-06-15,0.6131,0.6131,0.6072,0.6072,240000
1990-06-18,0.6072,0.6072,0.5953,0.5953,777600
1990-06-19,0.5953,0.6072,0.5953,0.5953,435200
1990-06-20,0.6072,0.6072,0.5953,0.5953,1561600
1990-06-21,0.5953,0.6072,0.5953,0.6072,336000
1990-06-22,0.5953,0.6072,0.5953,0.6072,636800
1990-06-25,0.6012,0.6131,0.6012,0.6131,294400
