Date,Open,High,Low,Close,Volume
1972-06-01,0.5020,0.5026,0.4970,0.4980,1089198
1972-06-02,0.4980,0.5026,0.4951,0.4970,1173502
1972-06-05,0.4970,0.5017,0.4951,0.4970,5208101
1972-06-06,0.4970,0.4989,0.4895,0.4914,1421394
1972-06-07,0.4914,0.4942,0.4886,0.4886,671797
1972-06-08,0.4886,0.4924,0.4849,0.4849,1036601
1972-06-09,0.4849,0.4858,0.4726,0.4820,6589198
1972-06-12,0.4820,0.4876,0.4783,0.4820,1430107
1972-06-13,0.4820,0.4867,0.4820,0.4858,931407
1972-06-14,0.4876,0.4980,0.4876,0.4933,2939304
1972-06-15,0.4933,0.4980,0.4905,0.4914,1460700
1972-06-16,0.4914,0.4933,0.4858,0.4933,750392
1972-06-19,0.4933,0.4961,0.4886,0.4905,529293
1972-06-20,0.4905,0.4951,0.4905,0.4924,894097
1972-06-21,0.4924,0.4933,0.4876,0.4876,1608806
1972-06-22,0.4867,0.4867,0.4801,0.4849,1282195
1972-06-23,0.4839,0.4839,0.4792,0.4839,1273305
1972-06-26,0.4839,0.4839,0.4801,0.4820,621303
1972-06-27,0.4820,0.4858,0.4820,0.4858,877696
1972-06-28,0.4858,0.4886,0.4839,0.4849,904101
1972-06-29,0.4849,0.4867,0.4830,0.4830,447994
1972-06-30,0.4801,0.4801,0.4745,0.4792,825099
1972-07-03,0.4792,0.4792,0.4745,0.4774,438203
1972-07-05,0.4774,0.4783,0.4699,0.4745,1395007
1972-07-06,0.4764,0.4849,0.4764,0.4801,1173502
1972-07-07,0.4801,0.4830,0.4745,0.4783,1351105
1972-07-10,0.4783,0.4792,0.4726,0.4726,523709
1972-07-11,0.4726,0.4764,0.4699,0.4699,546596
1972-07-12,0.4699,0.4764,0.4661,0.4661,1801803
1972-07-13,0.4661,0.4670,0.4605,0.4661,680298
1972-07-14,0.4661,0.4689,0.4642,0.4651,941198
1972-07-17,0.4651,0.4689,0.4633,0.4651,583004
1972-07-18,0.4651,0.4708,0.4576,0.4699,1337991
1972-07-19,0.4699,0.4801,0.4689,0.4726,1707408
1972-07-20,0.4726,0.4745,0.4661,0.4661,492903
