Date,Open,High,Low,Close,Volume
1990-03-26,0.1881,0.1930,0.1857,0.1930,5344000
1990-03-27,0.1930,0.2002,0.1905,0.1930,3046400
1990-03-28,0.1857,0.1978,0.1857,0.1930,2515200
1990-03-29,0.1978,0.1978,0.1930,0.1930,6848000
1990-03-30,0.1930,0.1978,0.1905,0.1954,2163200
1990-04-02,0.1930,0.1978,0.1881,0.1978,806400
1990-04-03,0.1978,0.2026,0.1930,0.2026,3040000
1990-04-04,0.2026,0.2074,0.1978,0.1978,5286400
1990-04-05,0.2026,0.2026,0.1978,0.2026,1606400
1990-04-06,0.2026,0.2026,0.1978,0.2002,204800
1990-04-09,0.2026,0.2098,0.2002,0.2050,1875200
1990-04-10,0.2050,0.2074,0.2050,0.2074,1721600
1990-04-11,0.2074,0.2098,0.2050,0.2050,3462400
1990-04-12,0.2074,0.2074,0.2050,0.2074,1721600
1990-04-16,0.2026,0.2195,0.2026,0.2123,3859200
1990-04-17,0.2171,0.2243,0.2123,0.2123,5011200
1990-04-18,0.2123,0.2171,0.2123,0.2147,2336000
1990-04-19,0.2123,0.2171,0.2123,0.2171,640000
1990-04-20,0.2123,0.2171,0.2063,0.2074,11174400
1990-04-23,0.2074,0.2074,0.2002,0.2050,1433600
1990-04-24,0.2050,0.2074,0.2026,0.2050,2163200
1990-04-25,0.2050,0.2123,0.2026,0.2074,3084800
1990-04-26,0.2123,0.2123,0.2074,0.2123,3756800
1990-04-27,0.2123,0.2123,0.2074,0.2098,563200
1990-04-30,0.2098,0.2098,0.2074,0.2098,236800
1990-05-01,0.2098,0.2147,0.2074,0.2098,1964800
1990-05-02,0.2147,0.2147,0.2098,0.2135,3616000
1990-05-03,0.2147,0.2195,0.2123,0.2147,1708800
1990-05-04,0.2147,0.2195,0.2147,0.2195,800000
1990-05-07,0.2195,0.2267,0.2147,0.2219,5324800
1990-05-08,0.2267,0.2315,0.2195,0.2291,7513600
1990-05-09,0.2243,0.2291,0.2219,0.2291,1817600
1990-05-10,0.2291,0.2340,0.2243,0.2279,5792000
1990-05-11,0.2315,0.2460,0.2267,0.2388,6137600
1990-05-14,0.2388,0.2412,0.2364,0.2388,4723200
1990-05-15,0.2412,0.2412,0.2388,0.2412,915200
1990-05-16,0.2388,0.2412,0.2388,0.2412,928000
1990-05-17,0.2388,0.2460,0.2388,0.2412,832000
1990-05-18,0.2460,0.2460,0.2412,0.2436,1043200
1990-05-21,0.2436,0.2436,0.2388,0.2388,1580800
1990-05-22,0.2388,0.2436,0.2388,0.2412,268800
1990-05-23,0.2388,0.2412,0.2364,0.2364,851200
1990-05-24,0.2364,0.2412,0.2291,0.2291,2214400
1990-05-25,0.2291,0.2340,0.2123,0.2195,5318400
1990-05-29,0.2195,0.2219,0.2171,0.2219,4019200
1990-05-30,0.2195,0.2364,0.2195,0.2315,3628800
1990-05-31,0.2364,0.2364,0.2219,0.2219,5817600
1990-06-01,0.2267,0.2267,0.2123,0.2135,5254400
1990-06-04,0.2171,0.2171,0.2074,0.2086,5977600
1990-06-05,0.2074,0.2147,0.2074,0.2147,1472000
1990-06-06,0.2147,0.2147,0.2098,0.2147,1612800
1990-06-07,0.2147,0.2171,0.2123,0.2171,1196800
1990-06-08,0.2195,0.2195,0.2123,0.2147,1318400
1990-06-11,0.2147,0.2171,0.2147,0.2159,4262400
1990-06-12,0.2219,0.2219,0.2147,0.2195,620800
1990-06-13,0.2195,0.2195,0.2147,0.2147,2982400
1990-06-14,0.2171,0.2171,0.2123,0.2147,2803200
1990-06-15,0.2123,0.2123,0.2050,0.2063,1267200
1990-06-18,0.2074,0.2074,0.1978,0.1978,1465600
1990-06-19,0.1978,0.2050,0.1978,0.1978,3590400
1990-06-20,0.1978,0.2002,0.1954,0.1978,6950400
1990-06-21,0.1978,0.2026,0.1978,0.1978,3910400
1990-06-22,0.2026,0.2026,0.1978,0.1978,2694400
1990-06-25,0.1978,0.2002,0.1954,0.2002,2291200
1990-06-26,0.2002,0.2050,0.2002,0.2050,3936000
1990-06-27,0.2050,0.2098,0.2026,0.2098,3686400
1990-06-28,0.2098,0.2219,0.2050,0.2147,1932800
1990-06-29,0.2195,0.2243,0.2147,0.2219,1683200
1990-07-02,0.2243,0.2243,0.2195,0.2243,377600
1990-07-03,0.2243,0.2364,0.2171,0.2315,6355200
1990-07-05,0.2315,0.2340,0.2315,0.2315,2323200
1990-07-06,0.2315,0.2340,0.2291,0.2291,5100800
1990-07-09,0.2340,0.2340,0.2291,0.2340,2208000
1990-07-10,0.2291,0.2364,0.2291,0.2291,3564800
1990-07-11,0.2364,0.2364,0.2291,0.2291,1900800
1990-07-12,0.2364,0.2364,0.2291,0.2291,1196800
1990-07-13,0.2364,0.2412,0.2291,0.2340,3116800
1990-07-16,0.2340,0.2388,0.2340,0.2364,1248000
1990-07-17,0.2364,0.2436,0.2364,0.2364,1465600
1990-07-18,0.2364,0.2412,0.2243,0.2267,1670400
1990-07-19,0.2315,0.2315,0.2195,0.2219,768000
1990-07-20,0.2195,0.2243,0.2171,0.2195,1913600
1990-07-23,0.2171,0.2195,0.2147,0.2147,1856000
1990-07-24,0.2195,0.2195,0.2147,0.2171,1862400
1990-07-25,0.2195,0.2195,0.2123,0.2171,544000
1990-07-26,0.2171,0.2171,0.2098,0.2098,1113600
1990-07-27,0.2098,0.2147,0.2098,0.2147,384000
1990-07-30,0.2074,0.2123,0.2050,0.2098,640000
1990-07-31,0.2110,0.2123,0.2050,0.2123,646400
1990-08-01,0.2123,0.2123,0.2050,0.2050,576000
1990-08-02,0.2074,0.2074,0.2002,0.2050,1196800
1990-08-03,0.2050,0.2050,0.1833,0.1881,4044800
1990-08-06,0.1881,0.1881,0.1809,0.1881,2784000
1990-08-07,0.1857,0.1954,0.1857,0.1954,2681600
1990-08-08,0.1978,0.2026,0.1954,0.1978,4179200
1990-08-09,0.2050,0.2050,0.2014,0.2050,659200
1990-08-10,0.2050,0.2050,0.1978,0.1978,1158400
1990-08-13,0.2002,0.2002,0.1930,0.1930,2521600
1990-08-14,0.1930,0.1954,0.1905,0.1917,896000
1990-08-15,0.1954,0.1954,0.1905,0.1905,83200
1990-08-16,0.1905,0.1905,0.1833,0.1833,780800
1990-08-17,0.1809,0.1833,0.1688,0.1761,4704000
1990-08-20,0.1785,0.1785,0.1688,0.1712,1568000
1990-08-21,0.1712,0.1712,0.1616,0.1664,3545600
1990-08-22,0.1712,0.1785,0.1640,0.1749,5056000
1990-08-23,0.1737,0.1737,0.1688,0.1712,6374400
1990-08-24,0.1761,0.1785,0.1712,0.1785,1440000
