Date,Open,High,Low,Close,Volume
1995-07-10,6.4177,6.6568,6.4177,6.6568,5438000
1995-07-11,6.8253,6.8253,6.7248,6.7927,4907000
1995-07-12,6.7927,7.0970,6.7601,7.0970,1055800
1995-07-13,7.0644,7.1323,7.0318,7.0970,1373600
1995-07-14,7.0644,7.0970,7.0318,7.0644,985600
1995-07-17,7.0644,7.0644,6.9965,7.0318,947600
1995-07-18,7.0318,7.0318,6.8253,6.8606,727400
1995-07-19,6.8253,6.8253,6.3525,6.4530,558200
1995-07-20,6.3851,6.4177,6.3851,6.4177,464600
1995-07-21,6.4530,6.6242,6.4530,6.5536,721200
1995-07-24,6.5536,6.6568,6.5536,6.5536,509000
1995-07-25,6.5889,6.7248,6.5536,6.5889,847000
1995-07-26,6.6568,6.8253,6.6568,6.8253,1584800
1995-07-27,6.7927,6.9965,6.7927,6.9965,2082600
1995-07-28,6.9965,7.4393,6.8959,7.4393,14640800
1995-07-31,7.4040,7.4040,7.2002,7.3361,2544600
1995-08-01,7.3035,7.3035,7.2002,7.2328,1956000
1995-08-02,7.2328,7.2328,6.8606,6.8959,2307600
1995-08-03,6.8253,7.0644,6.8253,7.0644,1762800
1995-08-04,6.9965,7.0318,6.7927,6.8959,903800
1995-08-07,6.8606,6.8606,6.7601,6.8253,837000
1995-08-08,6.7927,6.8253,6.7601,6.7601,729000
1995-08-09,6.7601,6.7601,6.6242,6.6568,586600
1995-08-10,6.6568,6.8253,6.6568,6.7248,1319400
1995-08-11,6.7248,6.8606,6.7248,6.7927,1152000
1995-08-14,6.7927,6.7927,6.5889,6.6568,379800
1995-08-15,6.6568,6.7248,6.6568,6.6894,349600
1995-08-16,6.7601,6.7927,6.6894,6.7248,440200
1995-08-17,6.7248,6.8253,6.6894,6.8253,410600
1995-08-18,6.8253,6.8253,6.6242,6.6568,598800
1995-08-21,6.6894,6.7601,6.5889,6.5889,440400
1995-08-22,6.6242,6.6568,6.4530,6.5210,444200
1995-08-23,6.5536,6.5536,6.2819,6.4177,193200
1995-08-24,6.4177,6.4177,6.2819,6.3172,1284000
1995-08-25,6.3172,6.4884,6.2167,6.4177,733400
1995-08-28,6.4177,6.4177,6.2493,6.3172,447600
1995-08-29,6.3172,6.3172,6.1460,6.2167,368600
1995-08-30,6.1460,6.3851,6.1460,6.2819,398000
1995-08-31,6.3172,6.3525,6.2819,6.3525,417400
1995-09-01,6.3172,6.4177,6.3172,6.3851,594600
1995-09-05,6.4530,6.4884,6.3525,6.4177,487600
1995-09-06,6.4530,6.5210,6.4177,6.4884,476400
1995-09-07,6.4530,6.4530,6.2819,6.3172,618000
1995-09-08,6.3172,6.3525,6.2819,6.3172,1015600
1995-09-11,6.3172,6.5210,6.2819,6.4530,279000
1995-09-12,6.4530,6.5210,6.3525,6.5210,290000
1995-09-13,6.6242,6.7601,6.6242,6.6242,325000
1995-09-14,6.6242,6.6568,6.5536,6.6568,491800
1995-09-15,6.7248,6.7601,6.6568,6.7248,1108600
1995-09-18,6.7248,6.7601,6.6894,6.7601,609400
1995-09-19,6.7248,6.7601,6.6894,6.7601,581600
1995-09-20,6.7248,6.7601,6.6894,6.7248,597600
1995-09-21,6.7248,6.7601,6.6894,6.7248,437400
1995-09-22,6.6568,6.7248,6.6242,6.6894,832200
1995-09-25,6.7248,6.7601,6.6568,6.7248,436400
1995-09-26,6.6894,6.7601,6.6568,6.6894,571000
1995-09-27,6.7248,6.8253,6.6894,6.6894,893200
1995-09-28,6.7248,6.8959,6.7248,6.8959,728200
1995-09-29,6.8959,7.0644,6.8606,6.9611,300800
1995-10-02,6.9965,6.9965,6.9285,6.9965,292800
1995-10-03,6.9611,6.9965,6.8606,6.9611,197600
1995-10-04,6.9611,6.9611,6.7601,6.7927,232000
1995-10-05,6.8606,6.8606,6.7248,6.7601,397000
1995-10-06,6.7601,6.8606,6.7248,6.7927,124400
1995-10-09,6.7601,6.7927,6.6894,6.7927,148600
1995-10-10,6.8253,6.8606,6.7927,6.8253,407600
1995-10-11,6.8606,6.8606,6.7601,6.8253,251400
1995-10-12,6.7927,6.8606,6.7601,6.8606,462800
1995-10-13,6.8606,7.0644,6.8606,6.9611,666400
1995-10-16,6.9965,6.9965,6.8253,6.8606,304400
1995-10-17,6.8606,6.8606,6.7248,6.7927,358600
1995-10-18,6.7927,6.9285,6.7927,6.8959,860000
1995-10-19,6.8959,6.9285,6.8253,6.8959,437600
1995-10-20,6.8606,6.8606,6.7248,6.7248,459600
1995-10-23,6.7248,6.7601,6.6242,6.6568,109800
1995-10-24,6.6894,6.6894,6.5536,6.6894,294200
1995-10-25,6.6568,6.6894,6.4884,6.4884,149800
1995-10-26,6.4884,6.5210,6.3525,6.3851,187600
1995-10-27,6.3525,6.4530,6.2493,6.4530,491200
1995-10-30,6.4530,6.4530,6.3851,6.4177,131600
1995-10-31,6.3851,6.3851,6.1813,6.1813,267000
1995-11-01,6.1460,6.4177,6.1460,6.3851,1125400
1995-11-02,6.3525,6.3525,6.2167,6.2819,1404800
1995-11-03,6.2819,6.3525,6.2493,6.3172,184600
1995-11-06,6.2819,6.3525,6.2493,6.3172,426200
1995-11-07,6.3851,6.4530,6.3525,6.4177,336000
1995-11-08,6.3851,6.4530,6.3851,6.4530,288800
1995-11-09,6.4530,6.4884,6.3851,6.4884,408400
1995-11-10,6.6568,6.7248,6.5889,6.7248,798200
1995-11-13,6.7248,6.8280,6.6921,6.7927,720000
1995-11-14,6.8280,6.8606,6.7927,6.8606,400800
1995-11-15,6.8606,6.8606,6.7601,6.8606,497400
1995-11-16,6.8280,6.8959,6.8280,6.8959,381600
1995-11-17,6.8959,6.8959,6.7601,6.7927,260600
1995-11-20,6.7927,6.9285,6.7601,6.8959,758600
1995-11-21,6.9639,6.9639,6.8959,6.9639,340200
1995-11-22,6.9285,7.2002,6.9285,7.1323,755200
1995-11-24,7.2002,7.3035,7.2002,7.2002,181000
1995-11-27,7.2356,7.3714,7.1676,7.3714,1088000
1995-11-28,7.3714,7.4719,7.2682,7.3714,790800
1995-11-29,7.3361,7.3714,7.2682,7.3035,594000
1995-11-30,7.3035,7.3714,7.3035,7.3714,437800
1995-12-01,7.3361,7.4719,7.2682,7.4719,166000
1995-12-04,7.4719,7.8795,7.4719,7.6757,577000
1995-12-05,7.8795,8.0507,7.8795,8.0154,712200
1995-12-06,8.0833,8.3550,8.0833,8.1186,1098600
1995-12-07,8.0833,8.1186,7.9148,7.9474,708400
1995-12-08,7.9474,7.9828,7.8469,7.9148,863600
1995-12-11,7.9148,7.9474,7.8795,7.8795,466200
1995-12-12,7.8795,8.0507,7.8795,8.0507,435200
1995-12-13,8.0154,8.2191,7.9828,8.1512,614600
1995-12-14,8.1512,8.2191,8.0507,8.1186,573600
1995-12-15,8.1186,8.1186,7.9828,8.0154,1558000
1995-12-18,7.9474,7.9828,7.7790,7.8469,241600
1995-12-19,7.6757,7.7437,7.5073,7.6078,718200
1995-12-20,7.6078,7.6431,7.4040,7.4040,673800
1995-12-21,7.3361,7.4393,7.3361,7.4393,742400
1995-12-22,7.4040,7.6431,7.4040,7.5752,797400
1995-12-26,7.6078,7.6431,7.5399,7.5752,244400
1995-12-27,7.5399,7.5399,7.4393,7.4719,205600
1995-12-28,7.4040,7.5399,7.4040,7.4393,315000
1995-12-29,7.4719,7.7111,7.4719,7.6431,473800
1996-01-02,7.6078,7.6078,7.5046,7.5752,491400
1996-01-03,7.6078,7.6404,7.5399,7.5399,842000
1996-01-04,7.6078,7.6078,7.5059,7.5738,1186600
1996-01-05,7.6078,7.6418,7.5399,7.5399,684600
1996-01-08,7.5752,7.6078,7.5399,7.5752,510800
1996-01-09,7.5752,7.6078,7.5399,7.5752,605200
1996-01-10,7.5738,7.6078,7.5399,7.5738,1014200
1996-01-11,7.6350,7.6692,7.6007,7.6350,1512800
1996-01-12,7.6007,7.9431,7.6007,7.8404,354000
1996-01-15,7.7377,7.7733,7.5323,7.5651,941200
1996-01-16,7.6007,7.7733,7.6007,7.7733,246400
