Date,Open,High,Low,Close,Volume
1996-06-28,3.2491,3.6004,3.2263,3.5126,7850102
1996-07-01,3.4686,3.5565,3.4686,3.5336,663602
1996-07-02,3.4915,3.6443,3.4915,3.6004,1340100
1996-07-03,3.6214,3.6214,3.4915,3.5565,660600
1996-07-05,3.4915,3.4915,3.4037,3.4915,502502
1996-07-08,3.5126,3.5126,3.2491,3.2719,584402
1996-07-09,3.2930,3.3369,3.2491,3.2491,238500
1996-07-10,3.2491,3.2719,3.1174,3.1174,520200
1996-07-11,3.0735,3.0735,2.9189,3.0296,192600
1996-07-12,3.0296,3.0735,3.0296,3.0507,49500
1996-07-15,3.0296,3.1174,3.0296,3.0296,342900
1996-07-16,3.0085,3.0085,2.7222,2.7661,350402
1996-07-17,2.8100,3.0507,2.8100,3.0085,181800
1996-07-18,2.9857,3.0085,2.9857,3.0085,8100
1996-07-19,3.0085,3.0296,3.0085,3.0296,33602
1996-07-22,3.0735,3.1174,3.0507,3.0735,206100
1996-07-23,3.0963,3.0963,2.9857,2.9857,11700
1996-07-24,2.9857,3.0085,2.9418,3.0085,54302
1996-07-25,3.0085,3.0507,3.0085,3.0507,46202
1996-07-26,3.0735,3.0735,3.0735,3.0735,22500
1996-07-29,3.0963,3.2263,3.0963,3.2052,79200
1996-07-30,3.2052,3.3369,3.1841,3.3369,212400
1996-07-31,3.3369,3.5336,3.3369,3.5126,257400
1996-08-01,3.5126,3.5126,3.4458,3.4458,30002
1996-08-02,3.5126,3.5126,3.4037,3.4037,90000
1996-08-05,3.4458,3.4915,3.4458,3.4686,25502
1996-08-06,3.4915,3.4915,3.4458,3.4458,89100
1996-08-07,3.4037,3.4037,3.2491,3.2491,71402
1996-08-08,3.2263,3.2491,3.2052,3.2263,233100
1996-08-09,3.2719,3.3808,3.2719,3.3580,70502
1996-08-12,3.3580,3.3808,3.3580,3.3808,4802
1996-08-13,3.3580,3.3808,3.3369,3.3369,114602
1996-08-14,3.3369,3.3808,3.3369,3.3808,39902
1996-08-15,3.4037,3.4458,3.4037,3.4247,252000
1996-08-16,3.4458,3.4686,3.4247,3.4686,12002
1996-08-19,3.4247,3.4247,3.4037,3.4037,234900
1996-08-20,3.4037,3.4458,3.4037,3.4247,21002
1996-08-21,3.4247,3.4247,3.4247,3.4247,0
1996-08-22,3.4458,3.4458,3.4247,3.4247,12902
1996-08-23,3.4247,3.4458,3.4037,3.4037,71402
1996-08-26,3.4037,3.4037,3.4037,3.4037,0
1996-08-27,3.4037,3.4247,3.4037,3.4247,11102
1996-08-28,3.4458,3.5793,3.4458,3.5793,56700
1996-08-29,3.5793,3.5793,3.4915,3.4915,326102
1996-08-30,3.5126,3.5565,3.5126,3.5565,47700
1996-09-03,3.5126,3.5126,3.4458,3.4686,240602
1996-09-04,3.4247,3.4247,3.4247,3.4247,51300
1996-09-05,3.4458,3.5126,3.4458,3.5126,92700
1996-09-06,3.4686,3.5126,3.4686,3.5126,222602
1996-09-09,3.5126,3.5126,3.4915,3.5126,42602
1996-09-10,3.5126,3.5126,3.5126,3.5126,8100
1996-09-11,3.4915,3.4915,3.4686,3.4686,2102
1996-09-12,3.4458,3.4686,3.4247,3.4458,4802
1996-09-13,3.4458,3.4686,3.4458,3.4458,6602
1996-09-16,3.4247,3.4458,3.4247,3.4458,6602
1996-09-17,3.4247,3.4686,3.4247,3.4458,21902
1996-09-18,3.4247,3.4686,3.4247,3.4686,11700
1996-09-19,3.4458,3.4686,3.4247,3.4247,93600
1996-09-20,3.4458,3.4915,3.4247,3.4247,79502
1996-09-23,3.4247,3.5126,3.4247,3.5126,76500
1996-09-24,3.5126,3.5126,3.4686,3.4686,4802
1996-09-25,3.4458,3.4686,3.4458,3.4686,9302
1996-09-26,3.4458,3.4686,3.4247,3.4247,113702
1996-09-27,3.4458,3.4458,3.3808,3.3808,406202
