Date,Open,High,Low,Close,Volume
1997-11-10,7.4194,7.4194,7.2407,7.2580,947200
1997-11-11,7.2580,7.3301,7.2407,7.2926,514700
1997-11-12,7.2753,7.4568,7.2407,7.3848,344700
1997-11-13,7.3646,7.4741,7.3646,7.4568,1007700
1997-11-14,7.4568,7.4914,7.4021,7.4914,1394900
1997-11-17,7.4741,7.5635,7.4568,7.5289,706600
1997-11-18,7.4914,7.6009,7.4741,7.5087,625800
1997-11-19,7.4914,7.5635,7.4914,7.5635,342400
1997-11-20,7.5462,7.6729,7.5462,7.6355,558800
1997-11-21,7.7075,7.7450,7.6355,7.7450,640800
1997-11-24,7.6729,7.7796,7.6355,7.7796,330800
1997-11-25,7.7248,7.8516,7.7075,7.8170,1021000
1997-11-26,7.8343,7.8343,7.7450,7.7450,488700
1997-11-28,7.7796,7.7796,7.7450,7.7796,244200
1997-12-01,7.7796,7.8890,7.7623,7.8890,836200
1997-12-02,7.8516,7.8890,7.7968,7.8170,437800
1997-12-03,7.8516,7.8516,7.7450,7.8170,338400
1997-12-04,7.8516,7.9784,7.7968,7.8890,1405800
1997-12-05,7.8170,8.0331,7.8170,7.8689,362500
1997-12-08,7.8890,7.9063,7.8170,7.8689,312900
1997-12-09,7.8343,7.8689,7.7623,7.8343,365300
1997-12-10,7.9063,7.9236,7.8343,7.8689,354100
1997-12-11,7.8516,7.8689,7.7623,7.8170,199600
1997-12-12,7.8516,7.8689,7.7796,7.8343,680500
1997-12-15,7.8343,7.9409,7.8343,7.9236,489500
1997-12-16,7.9236,7.9409,7.8890,7.9063,310200
1997-12-17,7.9409,7.9409,7.8689,7.9063,386100
1997-12-18,7.9063,8.0129,7.8890,8.0129,1640900
1997-12-19,8.0129,8.1570,7.9784,8.1570,2164100
1997-12-22,8.1570,8.3011,8.1570,8.2492,851400
1997-12-23,8.1945,8.2838,8.1570,8.2117,493200
1997-12-24,8.2290,8.2665,8.1945,8.2492,92200
1997-12-26,8.2290,8.2492,8.0850,8.1397,215300
1997-12-29,8.1397,8.2838,8.1051,8.2290,280800
1997-12-30,8.2492,8.3011,8.2117,8.3011,268600
1997-12-31,8.2492,8.3558,8.2290,8.3558,482900
1998-01-02,8.2838,8.3385,8.2117,8.3212,317200
1998-01-05,8.2665,8.3299,8.1224,8.1772,734200
1998-01-06,8.1397,8.2290,8.1397,8.2290,1507800
1998-01-07,8.1945,8.1945,8.0850,8.1945,724000
1998-01-08,8.1570,8.1945,8.0850,8.1772,461600
1998-01-09,8.1570,8.2290,8.1051,8.1570,863900
1998-01-12,8.0331,8.2838,8.0331,8.2838,679200
1998-01-13,8.2838,8.2838,8.1772,8.1945,1065600
1998-01-14,8.1945,8.1945,8.1051,8.1945,348700
1998-01-15,8.1570,8.1772,8.1397,8.1397,638200
1998-01-16,8.2117,8.2117,8.1397,8.1772,488700
1998-01-20,8.1772,8.2117,8.0677,8.2117,344700
1998-01-21,8.2117,8.2838,8.1397,8.2117,464300
1998-01-22,8.1945,8.2117,8.1397,8.2117,421800
1998-01-23,8.1945,8.2117,8.1224,8.1570,320800
1998-01-26,8.1397,8.2492,8.1397,8.2492,1019500
1998-01-27,8.2492,8.3212,8.2290,8.2492,415700
1998-01-28,8.2290,8.3558,8.2117,8.3385,325800
1998-01-29,8.3385,8.4999,8.2838,8.4826,1813100
1998-01-30,8.4653,8.4999,8.3558,8.3558,283500
1998-02-02,8.4999,8.5373,8.3212,8.3558,1120100
1998-02-03,8.2838,8.4826,8.2838,8.4826,2424000
1998-02-04,8.4286,8.5366,8.4286,8.4812,544800
1998-02-05,8.4812,8.5921,8.4461,8.5366,854100
1998-02-06,8.5366,8.7205,8.5366,8.6271,415100
1998-02-09,8.6096,8.6271,8.5541,8.5745,553000
1998-02-10,8.5366,8.5921,8.5016,8.5366,329000
1998-02-11,8.5191,8.5541,8.5016,8.5366,407900
1998-02-12,8.5191,8.5921,8.4636,8.5745,436400
