Date,Open,High,Low,Close,Volume
2001-06-20,9.0754,9.2645,9.0376,9.0376,11000
2001-06-21,9.2645,9.6426,9.2645,9.6426,39300
2001-06-22,9.6426,9.6994,9.6426,9.6804,33800
2001-06-25,9.7939,10.0208,9.7939,10.0208,9100
2001-06-26,10.0208,10.0208,9.8884,10.0019,109800
2001-06-27,10.0019,10.0586,9.9981,10.0586,185300
2001-06-28,10.1342,10.3989,10.1342,10.3989,66000
2001-06-29,10.4178,10.6258,10.4178,10.5880,71300
2001-07-02,10.5880,10.7392,10.5880,10.5880,69700
2001-07-03,10.5918,10.6485,10.5918,10.6069,56200
2001-07-05,10.6069,10.6069,10.5653,10.5691,61900
2001-07-06,10.5691,11.3443,10.1720,11.3443,3337400
2001-07-09,11.3443,11.8359,11.2686,11.3102,1674700
2001-07-10,11.3102,11.3481,10.7960,10.7960,1210400
2001-07-11,10.7582,10.9699,10.7317,10.7771,2426400
2001-07-12,10.7808,11.4199,10.7808,11.1363,1294600
2001-07-13,11.0985,11.3518,10.9624,10.9661,709500
2001-07-16,10.9661,11.1968,10.7846,10.8716,593900
2001-07-17,10.8716,11.2497,10.8565,11.1892,837100
2001-07-18,11.1628,11.3443,11.1287,11.1514,396600
2001-07-19,11.1325,11.1590,10.8943,10.9283,303600
2001-07-20,10.8905,11.0229,10.8905,10.9510,519000
2001-07-23,10.9510,10.9699,10.8149,10.9699,206100
2001-07-24,10.9472,11.0796,10.8678,10.9586,268600
2001-07-25,10.9548,11.2649,10.8716,11.1741,385200
2001-07-26,11.1174,11.3254,11.0342,11.3178,208500
2001-07-27,11.3140,11.5523,11.3065,11.5447,274600
2001-07-30,11.5485,12.1573,11.5485,11.9569,289200
2001-07-31,11.9493,12.6678,11.9493,12.4863,357300
2001-08-01,12.5165,12.9627,12.5165,12.8568,759800
2001-08-02,12.8379,12.9325,12.7283,12.7472,365500
2001-08-03,12.6678,12.6867,12.3274,12.3464,139800
2001-08-06,12.4031,12.4409,12.1308,12.1535,161700
2001-08-07,12.1535,12.3653,12.1384,12.2707,186400
2001-08-08,12.2896,12.3274,12.1006,12.2858,322400
2001-08-09,12.2896,12.3274,12.2329,12.2934,169400
2001-08-10,12.2934,12.3842,12.1384,12.1573,328500
2001-08-13,12.1535,12.1535,12.0968,12.1006,396200
