Date,Open,High,Low,Close,Volume
1987-12-30,1.7677,1.8337,1.7551,1.7677,271674
1987-12-31,1.7949,1.7949,1.7551,1.7677,100500
1988-01-04,1.7949,1.8463,1.7813,1.8463,104076
1988-01-05,1.8861,1.8987,1.8725,1.8861,234474
1988-01-06,1.8861,1.8987,1.8861,1.8861,46350
1988-01-07,1.8599,1.8987,1.8599,1.8987,99498
1988-01-08,1.8861,1.8861,1.7813,1.7813,127848
1988-01-11,1.8337,1.8599,1.8337,1.8599,238050
1988-01-12,1.8463,1.8463,1.8075,1.8211,65700
1988-01-13,1.8211,1.8211,1.7813,1.7813,70128
1988-01-14,1.7813,1.7813,1.7813,1.7813,2526
1988-01-15,1.8337,1.8599,1.8337,1.8599,29202
1988-01-18,1.8599,1.8599,1.8463,1.8599,9678
1988-01-19,1.8337,1.8463,1.8337,1.8337,37674
1988-01-20,1.8337,1.8337,1.7949,1.7949,32424
1988-01-21,1.7677,1.7813,1.7551,1.7813,85050
1988-01-22,1.7813,1.7813,1.7813,1.7813,32598
1988-01-25,1.8075,1.8211,1.8075,1.8075,24276
1988-01-26,1.7813,1.7813,1.7813,1.7813,8976
1988-01-27,1.7677,1.7677,1.7551,1.7551,20874
1988-01-28,1.7551,1.7677,1.7289,1.7677,12552
1988-01-29,1.7813,1.7813,1.7415,1.7415,2874
1988-02-01,1.7677,1.7813,1.7677,1.7677,10350
1988-02-02,1.7949,1.7949,1.7813,1.7949,49578
1988-02-03,1.7949,1.8211,1.7677,1.7677,279150
1988-02-04,1.7551,1.7551,1.7289,1.7551,91350
1988-02-05,1.7289,1.7415,1.7289,1.7289,10350
1988-02-08,1.6503,1.6640,1.6241,1.6241,55674
1988-02-09,1.6241,1.6241,1.5592,1.5843,278124
1988-02-10,1.5979,1.5979,1.5717,1.5979,102552
1988-02-11,1.6105,1.6367,1.6105,1.6241,188628
1988-02-12,1.6105,1.6367,1.6105,1.6367,99498
1988-02-16,1.6640,1.6901,1.6640,1.6901,108648
1988-02-17,1.7415,1.7813,1.7415,1.7551,305976
1988-02-18,1.7415,1.7813,1.7415,1.7677,136500
1988-02-19,1.7677,1.7949,1.7677,1.7949,42102
1988-02-22,1.8211,1.8725,1.8211,1.8725,179802
1988-02-23,1.8599,1.8599,1.8211,1.8337,52974
1988-02-24,1.7677,1.7949,1.7551,1.7813,333978
1988-02-25,1.7551,1.7677,1.7289,1.7289,404274
1988-02-26,1.7551,1.7551,1.7289,1.7551,24774
1988-02-29,1.7289,1.7551,1.7153,1.7551,40578
1988-03-01,1.7813,1.7813,1.7551,1.7551,49752
1988-03-02,1.7813,1.8075,1.7813,1.8075,39048
1988-03-03,1.8075,1.8075,1.7677,1.7813,219378
1988-03-04,1.7949,1.8211,1.7949,1.8075,226152
1988-03-07,1.8725,1.9259,1.8599,1.8987,139578
1988-03-08,1.8725,1.8861,1.8463,1.8861,357924
1988-03-09,1.9259,1.9521,1.9123,1.9259,182352
1988-03-10,1.9259,1.9385,1.8987,1.8987,352326
1988-03-11,1.8861,1.9123,1.8861,1.9123,16974
1988-03-14,1.8987,1.9123,1.8987,1.9123,262152
1988-03-15,1.9123,1.9123,1.9123,1.9123,40578
1988-03-16,1.9123,1.9259,1.8987,1.9259,124626
1988-03-17,1.9385,1.9385,1.9259,1.9385,71652
1988-03-18,1.9647,2.0695,1.9647,2.0569,144648
1988-03-21,2.0433,2.0433,2.0034,2.0034,51276
1988-03-22,2.0296,2.1481,2.0171,2.0831,646248
1988-03-23,2.1219,2.2528,2.1082,2.2004,1731948
1988-03-24,2.2004,2.2004,2.1606,2.1742,595974
1988-03-25,2.1481,2.1742,2.1344,2.1606,399024
1988-03-28,2.0831,2.1219,2.0831,2.1219,175728
1988-03-29,2.1344,2.1344,2.1219,2.1344,345702
1988-03-30,2.1481,2.1481,2.1082,2.1082,66552
1988-03-31,2.1175,2.1705,2.1175,2.1705,107802
1988-04-04,2.1705,2.1832,2.1705,2.1832,37350
1988-04-05,2.1567,2.1832,2.1440,2.1567,99828
1988-04-06,2.1440,2.1567,2.1175,2.1567,139902
1988-04-07,2.1567,2.2234,2.1175,2.2107,1024224
1988-04-08,2.2372,2.2626,2.2107,2.2626,607698
1988-04-11,2.2626,2.2764,2.2626,2.2764,188802
1988-04-12,2.2626,2.2626,2.2372,2.2626,32928
1988-04-13,2.2626,2.2626,2.2107,2.2626,249426
1988-04-14,2.2372,2.2372,2.1832,2.1969,261150
1988-04-15,2.2107,2.2626,2.2107,2.2626,353850
1988-04-18,2.2499,2.2499,2.2234,2.2499,135828
1988-04-19,2.2499,2.3155,2.2499,2.2499,441624
1988-04-20,2.2499,2.2626,2.1832,2.2626,413274
1988-04-21,2.2626,2.2891,2.2499,2.2499,204924
1988-04-22,2.2626,2.2626,2.2372,2.2372,97800
1988-04-25,2.2499,2.2626,2.2499,2.2626,28176
1988-04-26,2.2626,2.2626,2.2499,2.2499,127176
1988-04-27,2.2626,2.2626,2.2372,2.2499,38202
1988-04-28,2.2626,2.2891,2.2499,2.2891,366576
1988-04-29,2.2891,2.3155,2.2891,2.2891,52800
1988-05-02,2.2891,2.3028,2.2891,2.2891,43974
1988-05-03,2.3028,2.3028,2.2891,2.2891,86748
1988-05-04,2.3028,2.3028,2.2764,2.2764,173874
1988-05-05,2.2499,2.2499,2.2107,2.2107,139224
1988-05-06,2.2234,2.2234,2.1969,2.1969,46176
1988-05-09,2.1567,2.1567,2.1440,2.1440,129378
1988-05-10,2.1302,2.1302,2.1175,2.1175,137874
1988-05-11,2.0911,2.0911,2.0244,2.0646,140928
1988-05-12,2.0508,2.0508,2.0117,2.0117,124800
1988-05-13,2.0117,2.0244,2.0117,2.0117,180828
1988-05-16,2.0117,2.0244,2.0117,2.0117,69426
1988-05-17,2.0244,2.0244,2.0117,2.0117,113076
1988-05-18,2.0381,2.0381,1.9852,1.9852,141102
