Date,Open,High,Low,Close,Volume
1996-03-11,7.0650,7.1598,7.0212,7.1598,196200
1996-03-12,7.1124,7.2036,6.9775,7.2036,529500
1996-03-13,7.2036,7.2948,7.1598,7.2948,1057700
1996-03-14,7.2474,7.2948,7.2036,7.2474,494900
1996-03-15,7.2474,7.2948,7.2036,7.2474,1549200
1996-03-18,7.2474,7.3860,7.2474,7.3860,289500
1996-03-19,7.3860,7.4334,7.3386,7.3860,842800
1996-03-20,7.3386,7.4334,7.2948,7.3860,416500
1996-03-21,7.4334,7.5683,7.3860,7.5209,806400
1996-03-22,7.5209,7.5683,7.4772,7.5683,585400
1996-03-25,7.5209,7.6595,7.5209,7.6595,745300
1996-03-26,7.6158,7.6158,7.5209,7.5209,350400
1996-03-27,7.5683,7.5683,7.5209,7.5209,711100
1996-03-28,7.4334,7.4334,7.3860,7.4334,761800
1996-03-29,7.3860,7.4334,7.3860,7.3860,349500
1996-04-01,7.4334,7.5683,7.4334,7.5683,112900
1996-04-02,7.5209,7.6158,7.4772,7.5683,12729300
1996-04-03,7.4772,7.5209,7.2948,7.3860,430100
1996-04-04,7.2948,7.3386,7.1598,7.2036,793900
1996-04-08,6.9775,7.0650,6.9300,7.0650,368500
1996-04-09,7.2474,7.2474,7.0650,7.1598,426700
1996-04-10,7.1124,7.1124,6.9300,6.9775,1287900
1996-04-11,7.0650,7.1124,6.9775,7.0212,1647500
1996-04-12,7.0212,7.0212,6.9300,6.9300,1330700
1996-04-15,6.9300,7.0650,6.9300,6.9775,961500
1996-04-16,6.9775,6.9775,6.8826,6.9775,1847600
1996-04-17,7.0212,7.1124,7.0212,7.0650,434900
1996-04-18,7.0650,7.3860,7.0650,7.2036,632700
1996-04-19,7.2474,7.2474,7.1124,7.2036,1018100
1996-04-22,7.2036,7.2474,7.1124,7.1598,420600
1996-04-23,7.2036,7.4772,7.1598,7.3860,1165500
1996-04-24,7.4334,7.4772,7.3860,7.4772,915700
1996-04-25,7.4772,7.5209,7.4772,7.4772,466100
1996-04-26,7.4772,7.5683,7.4772,7.5683,227500
1996-04-29,7.4772,7.5209,7.4334,7.4334,208500
1996-04-30,7.4772,7.4772,7.4334,7.4334,108600
1996-05-01,7.4334,7.4334,7.3860,7.4334,230700
1996-05-02,7.3860,7.3860,7.2948,7.3860,289100
1996-05-03,7.3386,7.3860,7.2474,7.2474,228600
1996-05-06,7.2948,7.3386,7.2474,7.3386,470200
1996-05-07,7.3386,7.3860,7.2036,7.2474,425800
1996-05-08,7.1598,7.1598,6.8826,7.0650,1270500
1996-05-09,7.0212,7.0212,6.9300,6.9775,184000
1996-05-10,7.0212,7.0212,6.9300,6.9300,397300
1996-05-13,6.9775,7.0650,6.9300,7.0650,677100
1996-05-14,7.0650,7.0650,6.9300,6.9775,527000
1996-05-15,6.9300,6.9300,6.7914,6.7914,737100
1996-05-16,6.8389,6.8826,6.7914,6.8389,424000
1996-05-17,6.8389,6.9775,6.7477,6.9775,259600
1996-05-20,6.9300,6.9775,6.8826,6.9300,609000
1996-05-21,6.8826,6.9300,6.8389,6.8389,331900
1996-05-22,6.7914,6.8826,6.7914,6.8826,364700
1996-05-23,6.8389,7.0212,6.8389,6.9300,1059300
1996-05-24,6.9300,6.9775,6.8826,6.9775,285400
1996-05-28,6.9775,7.0212,6.9300,6.9775,329800
1996-05-29,6.9775,7.0650,6.9775,7.0650,1033000
1996-05-30,7.0650,7.0650,6.9775,7.0650,222500
1996-05-31,7.0650,7.1124,7.0212,7.0650,490100
1996-06-03,6.9775,6.9775,6.8826,6.9775,895100
1996-06-04,6.9775,7.0212,6.9300,6.9300,508900
1996-06-05,6.9300,7.0212,6.8826,6.9775,328900
1996-06-06,6.9300,6.9300,6.8826,6.8826,1146700
1996-06-07,6.8389,6.8826,6.7914,6.8389,350200
1996-06-10,6.8389,6.8826,6.8389,6.8389,971200
1996-06-11,6.7914,6.8389,6.6565,6.6565,700900
1996-06-12,6.7039,6.8389,6.7039,6.7477,2038700
1996-06-13,6.7477,6.7914,6.7039,6.7477,450000
1996-06-14,6.7914,6.8389,6.7477,6.8389,1034100
1996-06-17,6.8389,7.0212,6.8389,7.0212,2212600
1996-06-18,7.0650,7.2036,7.0650,7.1598,3163000
1996-06-19,7.1598,7.2036,7.1124,7.2036,401800
1996-06-20,7.2036,7.2036,7.1124,7.2036,216200
1996-06-21,7.1598,7.2036,7.1124,7.1598,163900
1996-06-24,7.1124,7.2036,7.1124,7.2036,592200
1996-06-25,7.2036,7.2474,7.1598,7.2036,159800
1996-06-26,7.2036,7.2036,7.1124,7.1124,273400
1996-06-27,7.1124,7.1598,7.0650,7.1598,920000
1996-06-28,7.1598,7.3386,7.1598,7.3386,1016000
1996-07-01,7.2948,7.3386,7.1598,7.2036,990200
1996-07-02,7.2474,7.2474,7.1598,7.2255,468400
1996-07-03,7.1598,7.1598,7.0650,7.1598,675800
1996-07-05,7.2036,7.2474,7.1598,7.2036,211000
1996-07-08,7.0650,7.1598,7.0212,7.1124,1232900
1996-07-09,7.1598,7.1598,7.0650,7.1124,336200
1996-07-10,7.0650,7.0650,6.9775,7.0650,257100
1996-07-11,7.0212,7.0212,6.8826,6.9300,507300
1996-07-12,6.9300,7.0212,6.8826,7.0212,109100
