Date,Open,High,Low,Close,Volume
1973-05-03,0.5642,0.5851,0.5571,0.5571,300
1973-05-04,0.5642,0.5917,0.5642,0.5642,600
1973-05-07,0.5642,0.5917,0.5642,0.5642,1500
1973-05-08,0.5708,0.5989,0.5708,0.5708,300
1973-05-09,0.5708,0.5989,0.5708,0.5708,9300
1973-05-10,0.5708,0.5989,0.5708,0.5708,600
1973-05-11,0.5708,0.5917,0.5642,0.5642,300
1973-05-14,0.5642,0.5780,0.5504,0.5504,600
1973-05-15,0.5504,0.5780,0.5504,0.5504,300
1973-05-16,0.5571,0.5851,0.5571,0.5571,300
1973-05-17,0.5642,0.5917,0.5642,0.5642,600
1973-05-18,0.5642,0.5917,0.5642,0.5642,1500
1973-05-21,0.5642,0.5917,0.5642,0.5642,300
1973-05-22,0.5642,0.5917,0.5642,0.5642,3300
1973-05-23,0.5642,0.5917,0.5642,0.5642,7500
1973-05-24,0.5642,0.5917,0.5642,0.5642,300
1973-05-25,0.5642,0.5917,0.5642,0.5642,2400
1973-05-29,0.5642,0.5917,0.5642,0.5642,300
1973-05-30,0.5708,0.5989,0.5708,0.5708,300
1973-05-31,0.5708,0.5989,0.5708,0.5708,300
1973-06-01,0.5708,0.5989,0.5708,0.5708,3000
1973-06-04,0.5708,0.5917,0.5642,0.5642,300
1973-06-05,0.5642,0.5917,0.5642,0.5642,300
1973-06-06,0.5642,0.5917,0.5642,0.5642,1500
1973-06-07,0.5642,0.5917,0.5642,0.5642,300
1973-06-08,0.5708,0.5989,0.5708,0.5708,300
1973-06-11,0.5708,0.5989,0.5708,0.5708,300
1973-06-12,0.5708,0.5989,0.5708,0.5708,300
1973-06-13,0.5708,0.5989,0.5708,0.5708,900
1973-06-14,0.5708,0.5989,0.5708,0.5708,1500
1973-06-15,0.5780,0.6055,0.5780,0.5780,3300
1973-06-18,0.5780,0.5989,0.5708,0.5708,600
1973-06-19,0.5708,0.5917,0.5642,0.5642,300
1973-06-20,0.5642,0.5851,0.5571,0.5571,3600
1973-06-21,0.5571,0.5851,0.5571,0.5571,300
1973-06-22,0.5571,0.5780,0.5504,0.5504,3300
1973-06-25,0.5571,0.5851,0.5571,0.5571,4800
1973-06-26,0.5642,0.5917,0.5642,0.5642,300
1973-06-27,0.5642,0.5917,0.5642,0.5642,600
1973-06-28,0.5708,0.5989,0.5708,0.5708,300
1973-06-29,0.5708,0.5989,0.5708,0.5708,2100
1973-07-02,0.5708,0.5989,0.5708,0.5708,900
1973-07-03,0.5708,0.5989,0.5708,0.5708,300
1973-07-05,0.5708,0.5989,0.5708,0.5708,300
1973-07-06,0.5780,0.6055,0.5780,0.5780,3900
1973-07-09,0.5780,0.6055,0.5780,0.5780,300
1973-07-10,0.5780,0.5851,0.5571,0.5571,6300
1973-07-11,0.5708,0.5989,0.5708,0.5708,2100
1973-07-12,0.5708,0.5917,0.5642,0.5642,3000
1973-07-13,0.5642,0.5917,0.5642,0.5642,300
1973-07-16,0.5642,0.5917,0.5642,0.5642,300
1973-07-17,0.5642,0.5851,0.5571,0.5571,300
1973-07-18,0.5571,0.5851,0.5571,0.5571,300
1973-07-19,0.5642,0.5917,0.5642,0.5642,1200
1973-07-20,0.5642,0.5917,0.5642,0.5642,300
1973-07-23,0.5642,0.5851,0.5571,0.5571,1800
1973-07-24,0.5571,0.5851,0.5571,0.5571,300
1973-07-25,0.5571,0.5851,0.5571,0.5571,2100
1973-07-26,0.5571,0.5851,0.5571,0.5571,300
1973-07-27,0.5571,0.5780,0.5504,0.5504,1500
1973-07-30,0.5504,0.5780,0.5504,0.5504,300
1973-07-31,0.5504,0.5780,0.5504,0.5504,300
1973-08-01,0.5504,0.5780,0.5504,0.5504,300
1973-08-02,0.5504,0.5780,0.5367,0.5367,2700
1973-08-03,0.5367,0.5780,0.5367,0.5367,2100
1973-08-06,0.5367,0.5780,0.5367,0.5367,300
1973-08-07,0.5367,0.5642,0.5229,0.5229,1500
1973-08-08,0.5229,0.5504,0.5092,0.5092,3000
1973-08-09,0.5092,0.5504,0.5092,0.5092,300
1973-08-10,0.5092,0.5504,0.5092,0.5092,300
1973-08-13,0.5092,0.5438,0.5092,0.5092,300
1973-08-14,0.5092,0.5504,0.5092,0.5092,300
1973-08-15,0.5092,0.5504,0.5092,0.5092,900
1973-08-16,0.5092,0.5504,0.5092,0.5092,1200
1973-08-17,0.5092,0.5504,0.5092,0.5092,600
1973-08-20,0.5092,0.5504,0.5092,0.5092,300
1973-08-21,0.5092,0.5504,0.5092,0.5092,300
1973-08-22,0.5092,0.5504,0.5092,0.5092,300
1973-08-23,0.5163,0.5571,0.5163,0.5163,300
1973-08-24,0.5163,0.5504,0.5092,0.5092,1800
1973-08-27,0.5092,0.5504,0.5092,0.5092,300
1973-08-28,0.5092,0.5504,0.5092,0.5092,300
1973-08-29,0.5229,0.5642,0.5229,0.5229,300
1973-08-30,0.5229,0.5642,0.5229,0.5229,300
1973-08-31,0.5229,0.5642,0.5229,0.5229,300
1973-09-04,0.5367,0.5780,0.5367,0.5367,600
1973-09-05,0.5504,0.5917,0.5504,0.5504,300
1973-09-06,0.5504,0.5780,0.5367,0.5367,3000
1973-09-07,0.5367,0.5642,0.5229,0.5229,600
1973-09-10,0.5229,0.5642,0.5229,0.5229,900
1973-09-11,0.5229,0.5642,0.5229,0.5229,900
1973-09-12,0.5229,0.5504,0.5092,0.5092,1800
1973-09-13,0.5504,0.5917,0.5504,0.5504,5100
1973-09-14,0.5504,0.5917,0.5504,0.5504,3000
1973-09-17,0.5642,0.6055,0.5642,0.5642,300
1973-09-18,0.5642,0.6055,0.5642,0.5642,300
