Date,Open,High,Low,Close,Volume
1977-01-03,0.2924,0.2964,0.2924,0.2951,1715183
1977-01-04,0.2951,0.2964,0.2903,0.2910,411210
1977-01-05,0.2910,0.2917,0.2870,0.2870,320024
1977-01-06,0.2870,0.2897,0.2870,0.2876,592010
1977-01-07,0.2870,0.2870,0.2816,0.2850,387220
1977-01-10,0.2836,0.2836,0.2816,0.2823,167990
1977-01-11,0.2816,0.2816,0.2748,0.2748,387220
1977-01-12,0.2748,0.2748,0.2667,0.2694,1211213
1977-01-13,0.2694,0.2694,0.2653,0.2674,623979
1977-01-14,0.2674,0.2829,0.2667,0.2829,1104014
1977-01-17,0.2823,0.2823,0.2802,0.2816,280021
1977-01-18,0.2816,0.2910,0.2802,0.2910,592010
1977-01-19,0.2937,0.3059,0.2937,0.3059,2563223
1977-01-20,0.3059,0.3133,0.3046,0.3086,3819214
1977-01-21,0.3086,0.3140,0.3059,0.3059,2303990
1977-01-24,0.3059,0.3059,0.3019,0.3032,896021
1977-01-25,0.3046,0.3100,0.3046,0.3046,1067214
1977-01-26,0.3046,0.3059,0.3019,0.3032,1871992
1977-01-27,0.3032,0.3046,0.3005,0.3019,619203
1977-01-28,0.3019,0.3046,0.3019,0.3032,435201
1977-01-31,0.3059,0.3133,0.3059,0.3133,1631974
1977-02-01,0.3133,0.3201,0.3133,0.3174,1139185
1977-02-02,0.3181,0.3262,0.3181,0.3229,1755186
1977-02-03,0.3229,0.3229,0.3181,0.3229,771180
1977-02-04,0.3242,0.3303,0.3242,0.3262,1447972
1977-02-07,0.3262,0.3289,0.3208,0.3242,715221
1977-02-08,0.3242,0.3242,0.3167,0.3222,663982
1977-02-09,0.3201,0.3201,0.3073,0.3147,1328019
1977-02-10,0.3147,0.3154,0.3100,0.3127,1576015
1977-02-11,0.3127,0.3127,0.3053,0.3066,1248013
1977-02-14,0.3066,0.3106,0.3032,0.3093,691175
1977-02-15,0.3100,0.3133,0.3100,0.3100,411210
1977-02-16,0.3113,0.3195,0.3113,0.3167,991983
1977-02-17,0.3174,0.3195,0.3174,0.3174,1283185
1977-02-18,0.3167,0.3167,0.3140,0.3167,899224
1977-02-22,0.3167,0.3167,0.3140,0.3167,979173
1977-02-23,0.3161,0.3161,0.3100,0.3100,464023
1977-02-24,0.3100,0.3100,0.3026,0.3026,1000018
1977-02-25,0.3026,0.3032,0.2978,0.3019,1848001
1977-02-28,0.3019,0.3059,0.3019,0.3059,328002
1977-03-01,0.3073,0.3154,0.3073,0.3140,1151995
1977-03-02,0.3140,0.3154,0.3133,0.3140,379185
1977-03-03,0.3140,0.3222,0.3140,0.3140,987208
1977-03-04,0.3127,0.3127,0.3100,0.3100,448011
1977-03-07,0.3100,0.3113,0.3080,0.3086,632013
1977-03-08,0.3086,0.3100,0.3073,0.3073,743987
1977-03-09,0.3046,0.3046,0.3019,0.3039,579200
1977-03-10,0.3039,0.3059,0.3019,0.3046,927990
1977-03-11,0.3046,0.3073,0.3046,0.3073,163214
1977-03-14,0.3086,0.3147,0.3086,0.3140,807981
1977-03-15,0.3140,0.3140,0.3120,0.3140,264008
1977-03-16,0.3140,0.3140,0.3127,0.3140,792025
1977-03-17,0.3140,0.3140,0.3113,0.3113,200015
1977-03-18,0.3113,0.3127,0.3106,0.3127,499194
1977-03-21,0.3127,0.3127,0.3100,0.3127,499194
1977-03-22,0.3127,0.3195,0.3113,0.3195,923214
1977-03-23,0.3195,0.3195,0.3113,0.3133,435201
1977-03-24,0.3127,0.3127,0.3100,0.3113,707187
1977-03-25,0.3113,0.3127,0.3066,0.3066,320024
1977-03-28,0.3053,0.3053,0.3032,0.3053,504026
1977-03-29,0.3053,0.3066,0.3046,0.3066,391995
1977-03-30,0.3066,0.3066,0.3019,0.3026,495992
1977-03-31,0.3026,0.3100,0.3026,0.3073,800003
1977-04-01,0.3073,0.3113,0.3059,0.3113,651228
1977-04-04,0.3113,0.3127,0.3100,0.3113,1352010
1977-04-05,0.3106,0.3106,0.2910,0.2951,6443172
1977-04-06,0.2951,0.2958,0.2775,0.2843,1775974
1977-04-07,0.2843,0.2951,0.2816,0.2937,2059197
1977-04-11,0.2937,0.2937,0.2924,0.2937,779215
1977-04-12,0.2937,0.3053,0.2924,0.3039,2011216
1977-04-13,0.3032,0.3032,0.2856,0.2951,1675180
1977-04-14,0.2951,0.2978,0.2870,0.2883,2067175
1977-04-15,0.2883,0.2937,0.2876,0.2937,531219
1977-04-18,0.2924,0.2924,0.2897,0.2897,499194
1977-04-19,0.2897,0.2917,0.2883,0.2883,167990
1977-04-20,0.2883,0.2890,0.2856,0.2856,424020
1977-04-21,0.2843,0.2843,0.2816,0.2816,515207
1977-04-22,0.2816,0.2823,0.2748,0.2768,347217
1977-04-25,0.2748,0.2748,0.2721,0.2727,623979
1977-04-26,0.2734,0.2775,0.2734,0.2741,696006
1977-04-27,0.2755,0.2829,0.2755,0.2802,1091204
1977-04-28,0.2802,0.2829,0.2775,0.2795,915180
1977-04-29,0.2795,0.2816,0.2775,0.2816,283223
1977-05-02,0.2816,0.2836,0.2782,0.2802,984005
1977-05-03,0.2816,0.2883,0.2816,0.2883,1451174
1977-05-04,0.2903,0.2992,0.2903,0.2978,1195201
1977-05-05,0.2978,0.3046,0.2958,0.2985,1211213
1977-05-06,0.2985,0.3019,0.2971,0.3005,779215
1977-05-09,0.3005,0.3005,0.2992,0.2992,259176
1977-05-10,0.2992,0.3026,0.2978,0.2998,1299197
1977-05-11,0.2998,0.3005,0.2951,0.2951,459191
1977-05-12,0.2937,0.2937,0.2910,0.2924,395198
1977-05-13,0.2924,0.2937,0.2897,0.2937,203217
1977-05-16,0.2958,0.2992,0.2958,0.2992,703985
1977-05-17,0.2992,0.3005,0.2937,0.2951,335980
1977-05-18,0.2951,0.3005,0.2951,0.2971,683196
1977-05-19,0.2971,0.3005,0.2958,0.2964,568019
1977-05-20,0.2964,0.2971,0.2917,0.2937,504026
1977-05-23,0.2924,0.2924,0.2876,0.2876,431998
1977-05-24,0.2870,0.2870,0.2843,0.2856,515207
1977-05-25,0.2856,0.2897,0.2843,0.2870,443179
1977-05-26,0.2870,0.2924,0.2870,0.2924,371207
1977-05-27,0.2924,0.2944,0.2883,0.2883,731178
1977-05-31,0.2870,0.2870,0.2843,0.2856,648025
1977-06-01,0.2856,0.2910,0.2850,0.2903,275189
1977-06-02,0.2910,0.2937,0.2910,0.2910,752022
1977-06-03,0.2910,0.2951,0.2910,0.2910,643194
1977-06-06,0.2924,0.2944,0.2924,0.2930,656003
1977-06-07,0.2930,0.2978,0.2924,0.2971,415986
1977-06-08,0.2971,0.2998,0.2951,0.2951,1915197
1977-06-09,0.2958,0.2985,0.2958,0.2978,1319985
1977-06-10,0.2978,0.3032,0.2971,0.3032,792025
1977-06-13,0.3032,0.3140,0.3032,0.3053,2959994
1977-06-14,0.3053,0.3086,0.3046,0.3046,1576015
1977-06-15,0.3039,0.3039,0.2978,0.2985,1055977
1977-06-16,0.2985,0.3059,0.2985,0.3046,2447990
1977-06-17,0.3046,0.3046,0.3019,0.3032,1135983
1977-06-20,0.3032,0.3080,0.3026,0.3059,675218
1977-06-21,0.3073,0.3086,0.3073,0.3080,1163176
1977-06-22,0.3080,0.3086,0.3066,0.3073,512004
1977-06-23,0.3073,0.3181,0.3073,0.3181,1727993
1977-06-24,0.3181,0.3215,0.3174,0.3188,2595191
1977-06-27,0.3188,0.3229,0.3181,0.3229,1771198
1977-06-28,0.3215,0.3215,0.3167,0.3167,712019
1977-06-29,0.3167,0.3195,0.3127,0.3195,395198
1977-06-30,0.3195,0.3276,0.3140,0.3242,2695985
1977-07-01,0.3242,0.3249,0.3181,0.3208,1623996
1977-07-05,0.3208,0.3262,0.3181,0.3235,1739173
1977-07-06,0.3235,0.3269,0.3229,0.3229,1447972
1977-07-07,0.3229,0.3282,0.3222,0.3282,1475221
1977-07-08,0.3282,0.3343,0.3249,0.3249,2640026
1977-07-11,0.3249,0.3282,0.3249,0.3262,819218
1977-07-12,0.3256,0.3256,0.3222,0.3242,675218
