Date,Open,High,Low,Close,Volume
1962-01-02,1.9099,1.9418,1.8908,1.9036,259200
1962-01-03,1.8942,1.8942,1.8781,1.8845,177600
1962-01-04,1.8845,1.9003,1.8463,1.8623,220800
1962-01-05,1.8623,1.8654,1.7826,1.8145,327600
1962-01-08,1.8145,1.8145,1.7572,1.8114,372000
1962-01-09,1.8114,1.8366,1.7987,1.8208,279600
1962-01-10,1.8208,1.8399,1.8145,1.8305,235200
1962-01-11,1.8305,1.8335,1.7987,1.8335,195600
1962-01-12,1.8335,1.8366,1.8017,1.8081,202800
1962-01-15,1.8114,1.8335,1.8114,1.8272,254400
1962-01-16,1.8272,1.8493,1.8145,1.8432,166800
1962-01-17,1.8399,1.8399,1.7890,1.8017,256800
1962-01-18,1.8017,1.8208,1.7987,1.8208,177600
1962-01-19,1.8208,1.8366,1.8208,1.8366,159600
1962-01-22,1.8399,1.8654,1.8399,1.8432,170400
1962-01-23,1.8366,1.8366,1.8017,1.8081,273600
1962-01-24,1.8081,1.8493,1.8017,1.8432,192000
1962-01-25,1.8432,1.8557,1.8114,1.8239,190800
1962-01-26,1.8239,1.8272,1.8114,1.8178,121200
1962-01-29,1.8178,1.8272,1.8145,1.8208,122400
1962-01-30,1.8432,1.8717,1.8432,1.8526,213600
1962-01-31,1.8526,1.9099,1.8493,1.9099,225600
1962-02-01,1.9099,1.9196,1.8781,1.8972,308400
1962-02-02,1.8972,1.9069,1.8845,1.9069,177600
1962-02-05,1.9036,1.9036,1.8717,1.8717,169200
1962-02-06,1.8781,1.8972,1.8781,1.8908,124800
1962-02-07,1.8908,1.9099,1.8845,1.9099,202800
1962-02-08,1.9099,1.9227,1.9069,1.9227,211200
1962-02-09,1.9227,1.9227,1.8878,1.9130,181200
1962-02-12,1.9130,1.9196,1.9036,1.9130,98400
1962-02-13,1.9163,1.9354,1.9163,1.9354,145200
1962-02-14,1.9354,1.9576,1.9321,1.9515,194400
1962-02-15,1.9545,1.9863,1.9545,1.9800,224400
1962-02-16,1.9800,1.9833,1.9515,1.9672,280800
1962-02-19,1.9672,1.9767,1.9418,1.9515,187200
1962-02-20,1.9515,1.9515,1.9227,1.9481,128400
1962-02-21,1.9481,1.9576,1.9290,1.9418,129600
1962-02-23,1.9418,1.9448,1.9196,1.9227,195600
1962-02-26,1.9227,1.9290,1.8812,1.8972,151200
1962-02-27,1.8972,1.9099,1.8942,1.9099,111600
1962-02-28,1.9099,1.9163,1.8942,1.9003,199200
1962-03-01,1.9099,1.9354,1.9099,1.9354,109200
1962-03-02,1.9387,1.9609,1.9387,1.9481,151200
1962-03-05,1.9515,1.9672,1.9515,1.9515,166800
1962-03-06,1.9515,1.9545,1.9163,1.9227,112800
1962-03-07,1.9227,1.9448,1.9227,1.9354,121200
1962-03-08,1.9354,1.9706,1.9290,1.9642,212400
1962-03-09,1.9736,1.9960,1.9736,1.9927,237600
1962-03-12,1.9927,1.9991,1.9863,1.9960,253200
1962-03-13,1.9960,1.9960,1.9736,1.9863,154800
1962-03-14,1.9863,1.9894,1.9642,1.9767,130800
1962-03-15,1.9767,1.9991,1.9672,1.9833,226800
1962-03-16,1.9863,1.9991,1.9863,1.9960,124800
1962-03-19,1.9960,1.9960,1.9736,1.9736,133200
1962-03-20,1.9736,1.9800,1.9672,1.9736,102000
1962-03-21,1.9736,1.9800,1.9672,1.9706,193200
1962-03-22,1.9706,1.9767,1.9609,1.9609,122400
1962-03-23,1.9642,1.9863,1.9642,1.9863,153600
1962-03-26,1.9833,1.9833,1.9545,1.9545,139200
1962-03-27,1.9545,1.9706,1.9481,1.9706,150000
1962-03-28,1.9736,1.9960,1.9736,1.9833,159600
1962-03-29,1.9833,1.9991,1.9706,1.9800,140400
1962-03-30,1.9800,1.9833,1.9448,1.9576,176400
1962-04-02,1.9545,1.9545,1.9418,1.9481,136800
1962-04-03,1.9481,1.9481,1.9130,1.9257,204000
1962-04-04,1.9257,1.9448,1.9227,1.9290,164400
1962-04-05,1.9290,1.9448,1.9130,1.9448,212400
1962-04-06,1.9448,1.9545,1.9290,1.9321,169200
1962-04-09,1.9321,1.9387,1.9257,1.9290,142800
1962-04-10,1.9257,1.9257,1.9003,1.9003,171600
1962-04-11,1.9003,1.9196,1.8557,1.8654,151200
1962-04-12,1.8654,1.8751,1.8493,1.8557,172800
1962-04-13,1.8590,1.9257,1.8590,1.9036,205200
1962-04-16,1.9036,1.9069,1.8717,1.8878,182400
1962-04-17,1.8878,1.8972,1.8845,1.8908,172800
1962-04-18,1.8908,1.8972,1.8717,1.8845,423600
1962-04-19,1.8845,1.8942,1.8812,1.8878,122400
1962-04-23,1.8878,1.8942,1.8781,1.8781,207600
1962-04-24,1.8781,1.8812,1.8654,1.8654,267600
1962-04-25,1.8654,1.8751,1.8399,1.8399,265200
1962-04-26,1.8399,1.8623,1.8335,1.8399,172800
1962-04-27,1.8399,1.8684,1.7954,1.8081,256800
1962-04-30,1.8081,1.8208,1.7190,1.7444,332400
1962-05-01,1.7444,1.7954,1.7190,1.7859,382800
1962-05-02,1.7890,1.8239,1.7890,1.8017,349200
1962-05-03,1.8114,1.8335,1.8114,1.8335,374400
1962-05-04,1.8335,1.8399,1.8114,1.8272,237600
1962-05-07,1.8272,1.8305,1.7987,1.8081,250800
1962-05-08,1.8081,1.8081,1.7920,1.8048,186000
1962-05-09,1.8048,1.8081,1.7890,1.8017,262800
1962-05-10,1.8017,1.8145,1.7729,1.7859,318000
1962-05-11,1.7859,1.8081,1.7572,1.7635,465600
1962-05-14,1.7635,1.7920,1.7414,1.7920,363600
1962-05-15,1.7920,1.8145,1.7920,1.8017,315600
1962-05-16,1.8017,1.8081,1.7954,1.8048,208800
1962-05-17,1.8048,1.8178,1.7954,1.8048,97200
1962-05-18,1.8114,1.8305,1.8114,1.8305,225600
1962-05-21,1.8305,1.8305,1.8145,1.8145,166800
1962-05-22,1.8145,1.8178,1.7699,1.7699,202800
1962-05-23,1.7572,1.7572,1.7253,1.7350,265200
1962-05-24,1.7350,1.7541,1.7062,1.7126,342000
1962-05-25,1.7126,1.7126,1.6586,1.6777,306000
1962-05-28,1.6711,1.6711,1.5822,1.5916,508800
1962-05-29,1.5916,1.6777,1.5280,1.6586,937200
1962-05-31,1.6650,1.7062,1.6650,1.6744,522000
1962-06-01,1.6744,1.6904,1.6553,1.6808,328800
1962-06-04,1.6777,1.6777,1.6044,1.6044,242400
1962-06-05,1.6044,1.6553,1.5916,1.6140,381600
1962-06-06,1.6331,1.6808,1.6331,1.6331,264000
1962-06-07,1.6392,1.6650,1.6392,1.6392,127200
1962-06-08,1.6459,1.6777,1.6459,1.6553,160800
1962-06-11,1.6553,1.6711,1.6392,1.6520,141600
1962-06-12,1.6331,1.6331,1.5567,1.5628,328800
1962-06-13,1.5628,1.6013,1.5534,1.5598,333600
1962-06-14,1.5598,1.5916,1.5471,1.5501,69600
1962-06-15,1.5501,1.5980,1.5280,1.5980,421200
1962-06-18,1.5947,1.5947,1.5534,1.5725,270000
1962-06-19,1.5725,1.5756,1.5501,1.5628,153600
1962-06-20,1.5567,1.5567,1.5280,1.5280,295200
1962-06-21,1.5280,1.5280,1.4770,1.4770,366000
1962-06-22,1.4707,1.4707,1.4101,1.4134,399600
1962-06-25,1.4134,1.4388,1.3815,1.4261,555600
1962-06-26,1.4261,1.4419,1.4134,1.4134,406800
1962-06-27,1.4134,1.4358,1.4039,1.4358,213600
1962-06-28,1.4612,1.5058,1.4612,1.4961,315600
1962-06-29,1.5058,1.5376,1.5058,1.5152,264000
1962-07-02,1.5152,1.6201,1.5058,1.6013,237600
1962-07-03,1.6013,1.6235,1.5789,1.6013,382800
1962-07-05,1.6013,1.6362,1.6013,1.6362,211200
1962-07-06,1.6201,1.6201,1.5789,1.6013,187200
1962-07-09,1.6013,1.6265,1.5725,1.6140,208800
1962-07-10,1.6140,1.6617,1.6107,1.6201,352800
1962-07-11,1.6201,1.6362,1.5980,1.6298,174000
1962-07-12,1.6426,1.6711,1.6426,1.6520,294000
1962-07-13,1.6489,1.6489,1.6107,1.6392,232800
1962-07-16,1.6362,1.6362,1.6140,1.6362,118800
1962-07-17,1.6298,1.6298,1.5886,1.5886,157200
1962-07-18,1.5789,1.5789,1.5567,1.5662,187200
1962-07-19,1.5662,1.6074,1.5628,1.5916,181200
