Date,Open,High,Low,Close,Volume
2023-01-04,54.1300,60.7100,53.5000,60.4900,33288543
2023-01-05,60.6400,62.9800,58.1400,59.0000,8677754
2023-01-06,59.6800,59.9400,57.8700,58.9500,5857875
2023-01-09,58.7900,59.9800,57.7300,58.1000,5282309
2023-01-10,59.1500,60.0600,58.0550,60.0000,6618664
2023-01-11,60.4400,66.3800,60.0750,64.9900,9206150
2023-01-12,66.0900,66.5200,63.6600,65.6500,5798000
2023-01-13,65.0000,65.5000,63.7400,65.4400,3742675
2023-01-17,63.9400,65.7300,63.2600,63.3300,3774158
2023-01-18,63.2000,63.5000,61.9900,62.0800,2591588
2023-01-19,61.3300,64.5000,61.3000,63.9400,2573053
2023-01-20,63.9600,67.8200,63.5400,66.7700,3989641
2023-01-23,67.3500,69.9100,66.7784,69.5200,3723077
2023-01-24,69.0300,70.6300,68.7100,69.6000,2588434
2023-01-25,68.4600,69.7000,66.9500,68.7100,2801328
2023-01-26,68.5100,69.4500,67.8000,69.2200,2073795
2023-01-27,68.8600,70.5100,68.3600,70.0800,2800680
2023-01-30,68.4100,73.9500,67.9200,71.5000,4257954
2023-01-31,71.0100,71.1150,68.5000,69.5200,3081020
2023-02-01,69.0000,70.7400,67.5300,70.0100,2698151
2023-02-02,69.5900,71.8900,69.0000,70.6500,2774866
2023-02-03,69.6300,70.6300,69.1000,70.5500,3073908
2023-02-06,69.9100,72.3500,69.5400,71.8600,2226220
2023-02-07,71.5800,72.2000,71.1000,71.6300,1930814
2023-02-08,71.2100,71.4200,70.0200,70.1700,1110386
2023-02-09,70.2500,70.9800,68.2100,68.4100,1185516
2023-02-10,68.2000,69.5400,68.1900,69.2400,1967330
2023-02-13,68.5200,69.8700,67.9100,69.4300,2218706
2023-02-14,68.9500,73.1700,68.7140,72.6100,3015872
2023-02-15,72.7000,73.5400,71.7200,72.3200,1760857
2023-02-16,71.6000,71.8200,70.3400,70.9100,1828725
2023-02-17,70.9700,73.4800,70.8900,73.1700,2366798
2023-02-21,72.6200,73.1000,72.2500,72.4700,1834572
2023-02-22,72.2700,73.0000,70.8433,71.9400,2002972
2023-02-23,72.4400,76.2097,72.2833,75.9000,3762221
2023-02-24,74.8400,75.7700,74.2200,75.0100,2099338
2023-02-27,75.0000,76.9800,74.5700,76.0400,2137110
2023-02-28,76.0400,76.3400,75.3000,76.0000,3511358
2023-03-01,75.3700,75.7400,75.0100,75.3000,2533256
2023-03-02,74.7900,75.4700,74.5000,75.0400,1370719
2023-03-03,75.5300,76.9000,75.1200,76.3700,2063881
2023-03-06,75.9100,77.1600,75.7001,76.6800,1873696
2023-03-07,76.3600,76.8350,75.9300,76.2500,1709097
2023-03-08,76.2500,77.4000,76.1024,76.6300,1630028
2023-03-09,77.0000,77.4000,75.9000,76.3800,1683553
2023-03-10,75.8800,76.5300,74.5000,74.9700,3290387
2023-03-13,74.9500,77.4800,74.0400,76.2400,2271390
2023-03-14,76.6900,78.7600,76.3500,77.1400,1989629
2023-03-15,75.9300,76.8100,75.5900,76.7600,2143660
2023-03-16,75.9600,77.4500,75.7500,76.6200,1623958
2023-03-17,76.8600,77.5400,75.4300,75.8400,5790859
2023-03-20,75.4900,75.8100,74.5100,75.2000,1713144
2023-03-21,75.6500,76.6800,75.5000,76.5200,1400775
2023-03-22,76.8600,77.0500,74.7100,74.7700,1548294
2023-03-23,75.4100,76.7100,74.8700,75.7100,1392638
2023-03-24,75.2600,76.4900,74.8900,76.4600,1152921
2023-03-27,76.8200,77.4600,76.2650,76.3800,1196513
2023-03-28,76.3800,76.9400,76.1500,76.9000,760671
2023-03-29,77.3600,79.4700,77.0600,79.2400,1781244
2023-03-30,79.7800,82.2893,79.5000,82.1400,2157103
2023-03-31,82.2500,82.5900,81.5800,82.0300,1915947
2023-04-03,82.0000,82.6200,81.4700,81.8100,1913044
2023-04-04,82.0000,82.1600,81.4700,81.5900,1552566
2023-04-05,81.5000,81.8000,80.6500,81.1200,1410268
2023-04-06,80.9700,81.0600,80.0900,80.1600,1356602
2023-04-10,79.9300,80.6300,79.7000,80.5900,1568184
2023-04-11,80.5900,80.6850,79.9600,80.5900,1154103
2023-04-12,81.0050,81.9000,80.6070,81.7500,1229345
2023-04-13,81.6500,83.1722,81.3800,82.9400,1206943
