Date,Open,High,Low,Close,Volume
1990-03-26,0.4719,0.4719,0.4602,0.4602,27200
1990-03-27,0.4719,0.4719,0.4602,0.4602,363200
1990-03-28,0.4602,0.4719,0.4486,0.4486,678400
1990-03-29,0.4660,0.4660,0.4544,0.4572,233600
1990-03-30,0.4544,0.4660,0.4544,0.4660,139200
1990-04-02,0.4602,0.4660,0.4602,0.4602,118400
1990-04-03,0.4719,0.4719,0.4602,0.4602,830400
1990-04-04,0.4660,0.4660,0.4602,0.4660,243200
1990-04-05,0.4660,0.4660,0.4660,0.4660,24000
1990-04-06,0.4660,0.4719,0.4660,0.4660,518400
1990-04-09,0.4719,0.4719,0.4602,0.4660,211200
1990-04-10,0.4602,0.4602,0.4311,0.4602,1732800
1990-04-11,0.4660,0.4660,0.4602,0.4602,75200
1990-04-12,0.4660,0.4660,0.4602,0.4602,243200
1990-04-16,0.4719,0.4719,0.4486,0.4486,171200
1990-04-17,0.4486,0.4602,0.4427,0.4486,521600
1990-04-18,0.4544,0.4544,0.4427,0.4427,38400
1990-04-19,0.4427,0.4544,0.4427,0.4486,968000
1990-04-20,0.4486,0.4544,0.4427,0.4486,470400
1990-04-23,0.4399,0.4486,0.4369,0.4369,774400
1990-04-24,0.4427,0.4427,0.4427,0.4427,35200
1990-04-25,0.4427,0.4486,0.4427,0.4486,153600
1990-04-26,0.4455,0.4486,0.4427,0.4486,94400
1990-04-27,0.4486,0.4660,0.4486,0.4602,705600
1990-04-30,0.4660,0.4719,0.4602,0.4719,80000
1990-05-01,0.4660,0.4719,0.4660,0.4660,163200
1990-05-02,0.4719,0.4719,0.4660,0.4660,113600
1990-05-03,0.4749,0.4835,0.4719,0.4835,332800
1990-05-04,0.4835,0.4893,0.4835,0.4893,67200
1990-05-07,0.4865,0.4893,0.4865,0.4893,84800
1990-05-08,0.4865,0.4893,0.4835,0.4835,121600
1990-05-09,0.4893,0.4893,0.4835,0.4893,160000
1990-05-10,0.4835,0.4893,0.4805,0.4865,233600
1990-05-11,0.4952,0.5010,0.4893,0.5010,1302400
1990-05-14,0.5010,0.5243,0.4893,0.5243,488000
1990-05-15,0.5185,0.5359,0.5185,0.5359,739200
1990-05-16,0.5359,0.5418,0.5301,0.5359,1108800
1990-05-17,0.5359,0.5359,0.5243,0.5243,124800
1990-05-18,0.5243,0.5418,0.5243,0.5331,550400
1990-05-21,0.5301,0.5767,0.5301,0.5651,1976000
1990-05-22,0.5651,0.5651,0.5359,0.5592,1502400
