Date,Open,High,Low,Close,Volume
2024-04-02,142.8500,152.4800,138.6400,140.0000,18180087
2024-04-03,142.3000,144.0000,135.8000,137.3400,8855104
2024-04-04,136.0000,139.3500,125.2600,126.0600,14097649
2024-04-05,125.5000,128.1800,119.0000,122.7000,15985147
2024-04-08,126.1300,131.9500,125.8600,129.9600,11669596
2024-04-09,130.8700,133.6000,128.2500,132.1700,8523423
2024-04-10,129.5000,139.9300,128.9400,138.3700,8370977
2024-04-11,139.2000,139.3200,136.4100,136.5700,4955341
2024-04-12,135.0000,138.1100,133.5550,134.0000,3737172
2024-04-15,134.6000,135.3200,129.8500,131.7500,3721844
2024-04-16,132.5000,133.0500,128.2500,130.0700,5867921
2024-04-17,132.0400,138.1800,131.2500,134.7500,6146802
2024-04-18,138.1500,138.4100,135.4300,137.2200,4796281
2024-04-19,137.2500,140.5900,134.9050,135.1000,4515353
2024-04-22,135.5200,137.1400,132.1100,136.6900,2432468
2024-04-23,138.4600,148.3500,137.8700,147.8300,4197025
2024-04-24,147.0000,149.9000,144.3500,146.1800,3754348
2024-04-25,143.0000,152.1400,138.6725,148.3100,5523788
2024-04-26,153.6400,157.2500,150.2000,153.0700,3769381
2024-04-29,153.5800,159.5500,153.5800,159.0100,5414652
2024-04-30,158.1400,163.1000,152.2500,153.7100,3459182
2024-05-01,154.1900,156.7000,149.4207,151.6700,3347117
2024-05-02,153.5300,155.4400,151.6589,153.8300,2444666
2024-05-03,155.6300,167.1700,155.1400,166.2600,4627721
2024-05-06,167.1600,171.1700,164.5100,169.1400,4001308
2024-05-07,168.6600,173.5000,167.1650,167.3600,2873942
2024-05-08,167.0000,167.0100,163.2250,164.0000,3649722
2024-05-09,165.0000,168.7200,164.6500,166.4000,3999447
2024-05-10,169.0000,170.8000,165.9900,167.2700,3211642
2024-05-13,165.0000,167.5500,160.1800,161.5300,2815074
2024-05-14,160.6900,166.5550,158.8600,165.6300,3085194
2024-05-15,168.3600,172.3500,166.9560,167.8700,2268124
2024-05-16,168.0300,170.0000,166.3500,166.4000,1584907
2024-05-17,166.8800,167.6400,160.9400,162.6200,1924886
2024-05-20,163.0600,164.3000,160.2100,160.9500,1687206
2024-05-21,160.2400,164.4900,159.0700,163.9300,1459202
2024-05-22,164.2900,167.3600,163.0000,163.8500,1633097
2024-05-23,166.4200,170.0000,161.4400,161.6700,3082229
2024-05-24,162.8100,177.7695,162.0900,177.4300,3139003
2024-05-28,178.3400,182.7800,176.7800,178.0900,2624569
2024-05-29,176.0000,178.6900,174.0962,177.3200,1526321
2024-05-30,176.9700,177.8100,174.5000,175.0800,1935136
2024-05-31,177.1000,179.7650,165.4000,175.9000,5251965
2024-06-03,178.9300,179.0000,166.4400,170.3700,3431668
2024-06-04,168.3500,169.4100,161.3300,163.0400,4909776
2024-06-05,165.0900,168.3000,162.4700,163.4900,6397496
2024-06-06,163.2500,164.1300,155.5000,160.3100,4934418
2024-06-07,159.5000,165.7600,159.0400,162.0800,4202795
2024-06-10,161.2200,170.0000,160.5984,166.6400,3614265
2024-06-11,165.5000,168.5400,163.3000,168.2300,2035040
2024-06-12,171.5400,179.2200,171.1550,177.5200,4015887
2024-06-13,179.8000,181.9600,172.8400,176.1700,3398840
2024-06-14,174.0900,174.7800,166.2000,170.1700,2944359
2024-06-17,169.7500,171.8800,166.1500,168.7600,2290050
2024-06-18,167.9400,180.2500,166.3300,179.5700,3360260
2024-06-20,178.4700,185.5000,175.0950,177.1800,4003532
2024-06-21,177.1000,177.1800,170.4000,175.7300,3646606
2024-06-24,176.5500,179.1500,174.7700,178.1400,1978173
2024-06-25,179.8000,181.5000,176.2700,181.4500,2551073
2024-06-26,180.8900,181.7250,177.6200,180.0000,2133061
2024-06-27,178.3900,179.2729,173.2500,176.2800,2540433
2024-06-28,174.8000,176.3000,167.1750,171.5100,3726783
2024-07-01,171.0000,171.2000,165.1200,167.5200,2747732
2024-07-02,165.4100,171.9800,165.4100,169.8100,1850048
2024-07-03,170.1000,174.7800,169.1800,172.6800,1317099
2024-07-05,171.5000,177.4400,171.2600,176.2300,1629229
2024-07-08,176.8100,178.6000,174.1700,174.3700,1079616
2024-07-09,174.2800,174.8300,172.6000,172.9800,1237773
2024-07-10,174.9300,179.8000,174.6000,179.7300,1823409
2024-07-11,181.0000,183.1600,176.5500,176.7000,2134730
2024-07-12,177.9500,184.3310,174.4000,180.4500,1597750
2024-07-15,180.2400,181.8099,176.5000,177.4400,2618725
2024-07-16,178.7800,183.8900,178.1800,182.7400,1786282
2024-07-17,180.2000,180.2000,162.9000,165.8300,6029145
2024-07-18,168.0000,171.4500,159.4300,161.4900,4734928
2024-07-19,162.0000,163.6900,159.1100,163.3400,2545171
2024-07-22,166.3800,168.2500,163.6839,166.7600,1723170
2024-07-23,167.0000,171.0100,166.2200,170.4900,3217158
2024-07-24,167.3400,172.3000,162.7300,162.9000,5530307
2024-07-25,166.0000,166.2900,156.4100,160.0000,5151773
2024-07-26,168.4600,173.9755,163.6900,173.1100,3870702
2024-07-29,174.3200,174.7700,169.8500,172.0500,1755686
2024-07-30,172.9300,174.0700,162.4500,162.7000,2616322
2024-07-31,171.2500,180.2550,171.2500,178.2400,4035556
2024-08-01,181.9000,183.8600,171.8100,174.0300,3697877
2024-08-02,168.7800,169.9900,161.5000,164.7300,3304632
2024-08-05,152.4050,165.3900,150.0100,162.2400,3697254
2024-08-06,163.0800,166.4650,160.0000,164.3500,2581565
2024-08-07,168.6600,172.7500,164.6900,166.0700,3308763
2024-08-08,169.2000,177.4600,165.0500,177.2100,2754499
2024-08-09,176.5200,179.5500,172.6000,179.1100,2655159
