Date,Open,High,Low,Close,Volume
1992-01-22,0.3850,0.4854,0.3850,0.4519,168022400
1992-01-23,0.4687,0.5077,0.4519,0.4910,38368000
1992-01-24,0.4966,0.5189,0.4798,0.4966,12044800
1992-01-27,0.5189,0.5356,0.4966,0.5356,10716800
1992-01-28,0.5300,0.5412,0.5077,0.5245,19913600
1992-01-29,0.5077,0.5245,0.4854,0.4854,13238400
1992-01-30,0.4910,0.4966,0.4352,0.4352,10848000
1992-01-31,0.4463,0.4631,0.4352,0.4631,2496000
1992-02-03,0.4687,0.4687,0.4519,0.4575,2320000
1992-02-04,0.4631,0.4854,0.4631,0.4854,2499200
1992-02-05,0.4854,0.4854,0.4742,0.4742,1148800
1992-02-06,0.4854,0.4910,0.4742,0.4910,5504000
1992-02-07,0.4798,0.4910,0.4631,0.4631,4560000
1992-02-10,0.4631,0.4798,0.4352,0.4408,14140800
1992-02-11,0.4408,0.4408,0.4017,0.4017,9868800
1992-02-12,0.4073,0.4073,0.3905,0.4073,3942400
1992-02-13,0.4073,0.4073,0.3850,0.3961,3241600
1992-02-14,0.4017,0.4017,0.3794,0.3823,13753600
1992-02-18,0.3905,0.3905,0.3403,0.3515,3046400
1992-02-19,0.3403,0.3738,0.3403,0.3627,4284800
1992-02-20,0.4017,0.4296,0.3905,0.4073,4784000
1992-02-21,0.4073,0.4240,0.3961,0.4240,1865600
1992-02-24,0.4240,0.4575,0.4184,0.4296,3129600
1992-02-25,0.4408,0.4408,0.3905,0.3905,3129600
1992-02-26,0.3850,0.4017,0.3850,0.3905,1657600
1992-02-27,0.4017,0.4017,0.3850,0.3961,204800
1992-02-28,0.3905,0.4017,0.3850,0.3961,227200
1992-03-02,0.4017,0.4017,0.3571,0.3627,5177600
1992-03-03,0.3682,0.3850,0.3571,0.3850,531200
1992-03-04,0.3850,0.4017,0.3682,0.3905,464000
1992-03-05,0.3850,0.4017,0.3794,0.3794,454400
1992-03-06,0.3738,0.3905,0.3571,0.3682,1744000
1992-03-09,0.3682,0.3961,0.3571,0.3905,1078400
1992-03-10,0.3794,0.4352,0.3794,0.4184,1542400
1992-03-11,0.4296,0.4296,0.3961,0.3961,1020800
1992-03-12,0.3879,0.3879,0.3682,0.3850,5561600
1992-03-13,0.3738,0.3850,0.3738,0.3794,1744000
1992-03-16,0.3905,0.3905,0.3738,0.3738,835200
1992-03-17,0.3738,0.3905,0.3738,0.3738,396800
1992-03-18,0.3905,0.3905,0.3711,0.3767,630400
1992-03-19,0.4073,0.4296,0.3850,0.4296,3443200
1992-03-20,0.4296,0.4296,0.3767,0.3794,2876800
1992-03-23,0.3905,0.3905,0.3738,0.3850,608000
1992-03-24,0.4017,0.4129,0.3682,0.3794,2704000
1992-03-25,0.3850,0.3850,0.3627,0.3794,960000
1992-03-26,0.3794,0.3794,0.3627,0.3794,150400
1992-03-27,0.3627,0.3738,0.3236,0.3403,3897600
1992-03-30,0.3348,0.3627,0.3348,0.3627,3225600
1992-03-31,0.3627,0.3961,0.3515,0.3682,9430400
1992-04-01,0.3571,0.3682,0.3459,0.3488,3820800
1992-04-02,0.3459,0.3627,0.3348,0.3348,3200000
1992-04-03,0.3236,0.3403,0.3236,0.3403,6723200
1992-04-06,0.3403,0.3459,0.3292,0.3459,3872000
1992-04-07,0.3348,0.3459,0.2901,0.2901,2460800
1992-04-08,0.2901,0.2957,0.2511,0.2957,4124800
1992-04-09,0.3069,0.3124,0.2845,0.3069,1187200
1992-04-10,0.3124,0.3124,0.2901,0.3013,3033600
1992-04-13,0.3013,0.3013,0.2790,0.2790,483200
1992-04-14,0.3013,0.3013,0.2790,0.2790,534400
1992-04-15,0.3013,0.3013,0.2790,0.2790,1961600
1992-04-16,0.3013,0.3013,0.2455,0.2622,2217600
