Date,Open,High,Low,Close,Volume
1983-06-10,0.9132,0.9195,0.9132,0.9152,758400
1983-06-13,0.9174,0.9299,0.9152,0.9257,1092800
1983-06-14,0.9216,0.9216,0.9090,0.9112,204800
1983-06-15,0.9006,0.9028,0.8964,0.8964,3395200
1983-06-16,0.9006,0.9152,0.8964,0.9132,3532800
1983-06-17,0.9132,0.9299,0.9112,0.9299,1433600
1983-06-20,0.9299,0.9447,0.9299,0.9425,988800
1983-06-21,0.9425,0.9447,0.9299,0.9299,3516800
1983-06-22,0.9341,0.9383,0.9299,0.9363,2174400
1983-06-23,0.9383,0.9383,0.9216,0.9257,1310400
1983-06-24,0.9174,0.9236,0.9112,0.9216,600000
1983-06-27,0.9216,0.9216,0.9090,0.9132,566400
1983-06-28,0.9090,0.9090,0.8733,0.8839,1508800
1983-06-29,0.8839,0.9195,0.8839,0.9195,766400
1983-06-30,0.9132,0.9257,0.9090,0.9257,3984000
1983-07-01,0.9195,0.9257,0.9195,0.9216,976000
1983-07-05,0.9257,0.9257,0.9195,0.9236,1448000
1983-07-06,0.9279,0.9319,0.9132,0.9132,1350400
1983-07-07,0.9174,0.9236,0.9132,0.9195,486400
1983-07-08,0.9236,0.9279,0.9152,0.9257,1054400
1983-07-11,0.9216,0.9425,0.9216,0.9257,649600
1983-07-12,0.9174,0.9279,0.9132,0.9132,1441600
1983-07-13,0.9090,0.9112,0.9006,0.9028,486400
1983-07-14,0.9028,0.9028,0.8901,0.8922,891200
1983-07-15,0.8922,0.8922,0.8797,0.8880,1350400
1983-07-18,0.8839,0.8839,0.8777,0.8797,2534400
1983-07-19,0.8839,0.8860,0.8733,0.8733,1374400
1983-07-20,0.8755,0.8880,0.8755,0.8880,1073600
1983-07-21,0.8880,0.8880,0.8755,0.8797,1833600
1983-07-22,0.8733,0.8755,0.8713,0.8755,1974400
1983-07-25,0.8755,0.8755,0.8609,0.8609,934400
1983-07-26,0.8609,0.8713,0.8587,0.8671,2184000
1983-07-27,0.8671,0.8693,0.8587,0.8693,1385600
1983-07-28,0.8693,0.8713,0.8671,0.8693,961600
1983-07-29,0.8609,0.8629,0.8378,0.8503,2564800
1983-08-01,0.8462,0.8587,0.8398,0.8482,2680000
1983-08-02,0.8482,0.8629,0.8462,0.8587,1318400
1983-08-03,0.8609,0.8609,0.8545,0.8565,270400
1983-08-04,0.8565,0.8565,0.8420,0.8441,2472000
1983-08-05,0.8398,0.8609,0.8398,0.8503,720000
1983-08-08,0.8503,0.8545,0.8378,0.8398,990400
1983-08-09,0.8420,0.8420,0.8294,0.8336,1697600
1983-08-10,0.8294,0.8378,0.8294,0.8358,2198400
1983-08-11,0.8314,0.8462,0.8294,0.8441,979200
