Date,Open,High,Low,Close,Volume
2014-03-27,28.2980,28.2980,27.5467,27.8227,262000
2014-03-28,27.9593,28.2198,27.8332,27.8990,822000
2014-03-31,28.2427,28.2482,27.7465,27.7485,216000
2014-04-01,27.8352,28.3205,27.8352,28.2562,158000
2014-04-02,28.1539,30.1329,28.0086,28.2482,2934000
2014-04-03,28.3902,29.2586,28.1052,28.3847,101704000
2014-04-04,28.6293,28.7848,27.0525,27.0595,127038000
2014-04-07,26.9399,27.3255,26.2629,26.8109,87792000
2014-04-08,27.0326,27.6504,26.9833,27.6454,62852000
2014-04-09,27.8805,28.1670,27.5482,28.1057,66434000
2014-04-10,28.1486,28.1486,26.8981,26.9504,80516000
2014-04-11,26.5319,26.9031,26.2320,26.4347,78282000
2014-04-14,26.8159,27.1073,26.3830,26.5304,51360000
2014-04-15,26.7446,26.8258,25.8299,26.7257,76890000
2014-04-16,27.0525,27.7500,26.9031,27.7271,97598000
2014-04-17,27.3420,27.3764,26.4621,26.7088,135818000
2014-04-21,26.7088,26.7387,26.1856,26.3361,51194000
2014-04-22,26.3371,26.7651,26.2808,26.6445,47178000
2014-04-23,26.5937,26.5977,26.2180,26.2524,40934000
2014-04-24,26.4083,26.4871,26.0123,26.1637,37560000
2014-04-25,26.0317,26.1408,25.6785,25.7163,41892000
2014-04-28,25.7662,25.8369,25.0497,25.7647,66528000
2014-04-29,25.7522,26.3780,25.7233,26.2903,53834000
2014-04-30,26.2853,26.3052,26.0322,26.2385,34928000
2014-05-01,26.2609,26.5508,26.1000,26.4721,38006000
2014-05-02,26.5922,26.6041,26.1861,26.3017,33678000
2014-05-05,26.1468,26.3501,25.9724,26.2957,20426000
2014-05-06,26.1672,26.2459,25.6605,25.6645,33688000
2014-05-07,25.6969,25.7412,25.0746,25.4065,64310000
2014-05-08,25.3317,25.7686,25.2316,25.4583,40316000
2014-05-09,25.4458,25.9017,25.1195,25.8434,48656000
2014-05-12,26.0815,26.4143,25.8573,26.4009,38146000
2014-05-13,26.4492,26.7073,26.3804,26.5588,32978000
2014-05-14,26.5543,26.5543,26.1702,26.2380,23770000
2014-05-15,26.1906,26.1991,25.7781,25.9057,33994000
2014-05-16,25.9759,25.9963,25.6795,25.9380,29624000
2014-05-19,25.8917,26.3939,25.7862,26.3481,25486000
2014-05-20,26.3919,26.7152,26.2205,26.3934,35598000
2014-05-21,26.5493,26.8623,26.5000,26.8502,23860000
2014-05-22,26.9594,27.2817,26.9419,27.1552,32228000
2014-05-23,27.2648,27.5826,27.0874,27.5358,38538000
2014-05-27,27.7002,28.1984,27.6180,28.1959,41968000
