Date,Open,High,Low,Close,Volume
2004-08-19,2.4989,2.6001,2.3977,2.5070,893180000
2004-08-20,2.5239,2.7255,2.5112,2.7063,456686000
2004-08-23,2.7675,2.8355,2.7248,2.7335,365122000
2004-08-24,2.7795,2.7885,2.5879,2.6203,304946000
2004-08-25,2.6176,2.6986,2.5956,2.6486,183772000
2004-08-26,2.6223,2.6973,2.6151,2.6963,141896000
2004-08-27,2.7011,2.7140,2.6408,2.6523,124234000
2004-08-30,2.6306,2.6358,2.5489,2.5489,103934000
2004-08-31,2.5566,2.5914,2.5526,2.5579,98356000
2004-09-01,2.5661,2.5729,2.4904,2.5049,182764000
2004-09-02,2.4759,2.5579,2.4722,2.5364,302372000
2004-09-03,2.5224,2.5421,2.4817,2.4989,103048000
2004-09-07,2.5239,2.5486,2.4889,2.5381,116950000
2004-09-08,2.5172,2.5744,2.5112,2.5561,99712000
2004-09-09,2.5611,2.5664,2.5237,2.5564,81234000
2004-09-10,2.5354,2.6626,2.5311,2.6318,173976000
2004-09-13,2.6643,2.7088,2.6601,2.6861,156882000
2004-09-14,2.6846,2.7985,2.6683,2.7858,216578000
2004-09-15,2.7625,2.8542,2.7535,2.7985,214260000
2004-09-16,2.8070,2.8935,2.7898,2.8477,185326000
2004-09-17,2.8590,2.9357,2.8372,2.9357,189450000
2004-09-20,2.9222,3.0384,2.9177,2.9824,212574000
2004-09-21,3.0034,3.0089,2.9362,2.9444,144574000
2004-09-22,2.9347,2.9902,2.9187,2.9579,151624000
2004-09-23,2.9694,3.0641,2.9239,3.0189,170712000
2004-09-24,3.0226,3.1008,2.9924,2.9941,182468000
2004-09-27,2.9874,3.0204,2.9434,2.9549,141322000
2004-09-28,3.0271,3.1833,3.0036,3.1698,338580000
2004-09-29,3.1616,3.3737,3.1541,3.2752,610328000
2004-09-30,3.2457,3.3057,3.2233,3.2383,275160000
2004-10-01,3.2683,3.3542,3.2208,3.3127,302496000
2004-10-04,3.3801,3.4199,3.3490,3.3747,260454000
2004-10-05,3.3647,3.4614,3.3042,3.4574,299464000
2004-10-06,3.4399,3.4594,3.3982,3.4252,267628000
2004-10-07,3.4122,3.4951,3.4119,3.4694,282300000
2004-10-08,3.4664,3.4901,3.4237,3.4414,221390000
2004-10-11,3.4234,3.4696,3.3445,3.3797,209442000
2004-10-12,3.3605,3.4384,3.3332,3.4332,233310000
2004-10-13,3.5791,3.5868,3.5001,3.5206,395324000
2004-10-14,3.5236,3.5576,3.4621,3.5481,208842000
2004-10-15,3.6218,3.6356,3.5469,3.6008,263894000
2004-10-18,3.5761,3.7280,3.5284,3.7270,280726000
2004-10-19,3.7605,3.8080,3.6818,3.6965,362196000
2004-10-20,3.6965,3.7228,3.4881,3.5104,454452000
2004-10-21,3.6013,3.7512,3.5386,3.7325,582996000
2004-10-22,4.2586,4.5018,4.0998,4.3084,1474200000
2004-10-25,4.4046,4.8582,4.3114,4.6825,1309256000
2004-10-26,4.6587,4.8134,4.4976,4.5426,891390000
2004-10-27,4.5603,4.7355,4.5418,4.6468,533724000
2004-10-28,4.6633,4.8572,4.6375,4.8299,593278000
2004-10-29,4.9691,4.9961,4.7625,4.7635,845652000
2004-11-01,4.8349,4.9391,4.7792,4.8981,488506000
2004-11-02,4.9656,4.9786,4.8309,4.8691,453398000
2004-11-03,4.9521,5.0373,4.7662,4.7892,554992000
2004-11-04,4.7037,4.7575,4.5813,4.6150,575806000
2004-11-05,4.5476,4.5551,4.2115,4.2315,792530000
2004-11-08,4.2692,4.3837,4.2327,4.3114,447224000
2004-11-09,4.3502,4.3777,4.1295,4.2152,442124000
2004-11-10,4.2645,4.3107,4.1560,4.1943,425334000
2004-11-11,4.2307,4.5913,4.1870,4.5731,598820000
2004-11-12,4.6283,4.7425,4.4326,4.5476,669174000
2004-11-15,4.5088,4.7055,4.4664,4.6193,475582000
2004-11-16,4.3574,4.4844,4.2685,4.3113,835858000
2004-11-17,4.2232,4.4351,4.2227,4.3102,724590000
2004-11-18,4.2577,4.3582,4.1410,4.1863,664518000
2004-11-19,4.2242,4.2472,4.1608,4.2327,350420000
2004-11-22,4.2127,4.2352,4.0306,4.1253,494232000
2004-11-23,4.1956,4.2685,4.1603,4.1858,496034000
2004-11-24,4.3687,4.4279,4.3104,4.3667,610628000
2004-11-26,4.3927,4.4983,4.3807,4.4824,258944000
2004-11-29,4.5040,4.5713,4.4354,4.5238,426236000
2004-11-30,4.5151,4.5726,4.5038,4.5471,307692000
2004-12-01,4.5418,4.5601,4.4864,4.4966,314248000
2004-12-02,4.4951,4.5353,4.4614,4.4826,250184000
2004-12-03,4.4976,4.5241,4.4376,4.5076,234532000
2004-12-06,4.4759,4.5151,4.3981,4.4049,249908000
2004-12-07,4.3976,4.4026,4.2615,4.2835,274560000
2004-12-08,4.2620,4.3397,4.2160,4.2472,301370000
2004-12-09,4.2540,4.3352,4.2095,4.3334,305852000
2004-12-10,4.3334,4.3697,4.2800,4.2890,172514000
2004-12-13,4.2985,4.3272,4.2340,4.2590,192550000
2004-12-14,4.2727,4.4681,4.2377,4.4649,443092000
2004-12-15,4.4474,4.5148,4.4141,4.4921,458380000
2004-12-16,4.4281,4.5098,4.3964,4.4094,342568000
2004-12-17,4.4166,4.5101,4.4114,4.4996,295152000
2004-12-20,4.5476,4.7090,4.5443,4.6230,392986000
2004-12-21,4.6545,4.6945,4.5826,4.5913,220430000
2004-12-22,4.5950,4.6688,4.5728,4.6550,156122000
2004-12-23,4.6837,4.7125,4.6475,4.6950,144438000
2004-12-27,4.7332,4.8299,4.7250,4.7952,243918000
2004-12-28,4.8002,4.8362,4.7727,4.8164,165666000
2004-12-29,4.7967,4.8354,4.7919,4.8199,107016000
2004-12-30,4.8217,4.9531,4.7937,4.9374,235934000
2004-12-31,4.9781,4.9943,4.8114,4.8172,306432000
2005-01-03,4.9324,5.0883,4.8839,5.0650,633134000
2005-01-04,5.0306,5.0705,4.8344,4.8599,549684000
2005-01-05,4.8337,4.9199,4.8032,4.8352,329134000
2005-01-06,4.8786,4.8949,4.6905,4.7112,415068000
2005-01-07,4.7635,4.8537,4.7170,4.8437,386128000
2005-01-10,4.8599,4.9499,4.7932,4.8739,301282000
2005-01-11,4.8879,4.9401,4.8269,4.8359,278068000
2005-01-12,4.8557,4.8956,4.7600,4.8819,326784000
2005-01-13,4.8819,4.9321,4.8487,4.8806,273702000
2005-01-14,4.8974,4.9976,4.8507,4.9966,385226000
2005-01-18,5.0196,5.1228,4.9638,5.0948,526376000
2005-01-19,5.1133,5.1298,4.9151,4.9299,449856000
2005-01-20,4.8119,4.9036,4.7974,4.8454,359702000
2005-01-21,4.8584,4.8814,4.7005,4.7045,369964000
2005-01-24,4.7147,4.7307,4.5056,4.5156,560346000
2005-01-25,4.5526,4.5536,4.4049,4.4256,425940000
2005-01-26,4.4794,4.7327,4.4764,4.7285,491822000
2005-01-27,4.7165,4.7190,4.6275,4.6995,264830000
2005-01-28,4.7507,4.8649,4.6560,4.7560,487838000
2005-01-31,4.8397,4.9064,4.7904,4.8879,383484000
2005-02-01,4.8569,5.0910,4.7632,4.7949,752806000
2005-02-02,5.3859,5.4171,5.0888,5.1462,1310660000
2005-02-03,5.1470,5.3314,5.1425,5.2687,519004000
2005-02-04,5.1590,5.1910,5.0623,5.1063,592178000
2005-02-07,5.1288,5.1572,4.8851,4.8981,517896000
2005-02-08,4.9214,4.9978,4.8607,4.9633,458740000
2005-02-09,5.0163,5.0373,4.7340,4.7869,686172000
2005-02-10,4.7967,4.8027,4.6288,4.6970,758548000
2005-02-11,4.6640,4.8054,4.6493,4.6825,524114000
2005-02-14,4.6495,4.8244,4.5226,4.8222,1540944000
2005-02-15,4.8375,4.9933,4.8244,4.8781,1030280000
2005-02-16,4.8649,4.9806,4.8549,4.9576,660630000
2005-02-17,4.9431,4.9911,4.9176,4.9449,416158000
2005-02-18,4.9601,4.9683,4.9139,4.9461,339096000
2005-02-22,4.9099,4.9698,4.7572,4.7817,538808000
2005-02-23,4.8299,4.8594,4.7140,4.8462,622816000
2005-02-24,4.5818,4.7437,4.5533,4.7197,1031538000
2005-02-25,4.7262,4.7455,4.6353,4.6443,398540000
2005-02-28,4.6475,4.7442,4.6438,4.6972,312422000
2005-03-01,4.7297,4.7412,4.6323,4.6490,372074000
2005-03-02,4.6463,4.6892,4.6065,4.6270,291128000
2005-03-03,4.6508,4.6912,4.6053,4.6726,304038000
2005-03-04,4.6650,4.6787,4.6243,4.6450,270692000
2005-03-07,4.6920,4.7375,4.6733,4.7177,346348000
2005-03-08,4.7250,4.7437,4.6218,4.6275,321522000
2005-03-09,4.6028,4.6138,4.5016,4.5313,453960000
2005-03-10,4.5228,4.5276,4.4326,4.4971,437980000
2005-03-11,4.5086,4.5213,4.4264,4.4426,320810000
2005-03-14,4.4559,4.4576,4.3119,4.3724,445418000
2005-03-15,4.3789,4.4976,4.3529,4.4629,416466000
2005-03-16,4.4151,4.4629,4.3729,4.3877,283966000
2005-03-17,4.4259,4.4886,4.3927,4.4799,330092000
2005-03-18,4.4679,4.5076,4.4554,4.4986,283316000
2005-03-21,4.4794,4.5518,4.4289,4.5196,299048000
2005-03-22,4.5271,4.5461,4.4439,4.4626,225042000
2005-03-23,4.4469,4.5036,4.4469,4.4721,193606000
2005-03-24,4.5033,4.5191,4.4776,4.4789,148058000
2005-03-28,4.5396,4.6175,4.5213,4.5331,349170000
2005-03-29,4.5238,4.5796,4.4494,4.4869,258660000
2005-03-30,4.5136,4.5338,4.4876,4.5088,249194000
2005-03-31,4.4464,4.5323,4.4386,4.5103,270472000
