Date,Open,High,Low,Close,Volume
2001-01-16,3.4772,3.4772,3.4772,3.4772,3200
2001-01-17,3.4772,3.4772,3.4772,3.4772,122800
2001-01-18,3.5514,3.7832,3.5514,3.7832,167200
2001-01-19,3.8203,3.9594,3.8203,3.9594,59600
2001-01-22,3.9409,4.2469,3.9409,4.2098,146800
2001-01-23,4.1727,4.4230,4.1727,4.2840,76000
2001-01-24,4.2469,4.2469,4.2098,4.2098,560000
2001-01-25,4.2654,4.2840,4.2469,4.2840,143200
2001-01-26,4.2469,4.2561,4.2469,4.2469,82000
2001-01-29,4.2932,4.3465,4.2654,4.3350,262000
2001-01-30,4.3350,4.3350,4.2538,4.3118,339200
2001-01-31,4.3350,4.4161,4.3350,4.3465,326000
2001-02-01,4.4045,4.9145,4.3489,4.8450,2556800
2001-02-02,4.8102,4.8681,4.7754,4.8287,795600
2001-02-05,4.8334,4.9725,4.6178,4.6294,644800
2001-02-06,4.6131,4.6410,4.5784,4.5784,1338800
2001-02-07,4.5668,4.6363,4.5552,4.6363,1350400
2001-02-08,4.6363,4.6734,4.5204,4.5204,578800
2001-02-09,4.5204,4.5784,4.5204,4.5784,441600
2001-02-12,4.5784,4.5784,4.4740,4.4740,327200
2001-02-13,4.4740,4.5297,4.4625,4.4625,648800
2001-02-14,4.4625,4.4625,4.4207,4.4230,135600
2001-02-15,4.4277,4.4393,4.2422,4.2422,454400
2001-02-16,4.1959,4.1959,4.0336,4.1889,427200
2001-02-20,4.1889,4.2075,4.1286,4.1935,1000400
2001-02-21,4.1935,4.1935,4.1495,4.1912,443600
2001-02-22,4.1912,4.2051,4.1495,4.1796,623600
2001-02-23,4.1959,4.3350,4.1727,4.2770,1222800
2001-02-26,4.2886,4.4323,4.2886,4.4045,1182400
2001-02-27,4.4045,4.4045,4.3813,4.3813,690000
2001-02-28,4.3813,4.4045,4.3697,4.4045,326000
2001-03-01,4.3813,4.3813,4.3350,4.3350,155200
2001-03-02,4.3465,4.3605,4.3350,4.3489,836800
2001-03-05,4.3465,4.4161,4.3465,4.4068,402800
2001-03-06,4.4068,4.4277,4.3581,4.3581,610000
2001-03-07,4.3581,4.4022,4.3581,4.4022,89600
2001-03-08,4.3999,4.3999,4.3581,4.3581,211600
2001-03-09,4.3581,4.3605,4.3350,4.3535,269600
2001-03-12,4.3535,4.3813,4.3234,4.3350,106400
2001-03-13,4.3697,4.3697,4.2770,4.2770,671600
2001-03-14,4.2770,4.3002,4.1426,4.1495,455600
2001-03-15,4.1263,4.1263,3.9756,4.0406,1160400
2001-03-16,4.0684,4.1263,4.0220,4.0220,402800
2001-03-19,3.9756,4.1147,3.9756,3.9872,1173600
2001-03-20,4.0104,4.0707,3.9409,3.9641,222000
2001-03-21,3.9641,3.9872,3.7670,3.8597,135200
2001-03-22,3.9988,4.1379,3.9409,4.1379,2125600
2001-03-23,4.1495,4.2422,4.1495,4.2422,757600
2001-03-26,4.2770,4.2886,4.2376,4.2886,207600
2001-03-27,4.2654,4.2770,4.2028,4.2538,435200
2001-03-28,4.2422,4.2654,4.1379,4.1379,420800
2001-03-29,4.1263,4.1263,4.0104,4.0104,535200
2001-03-30,4.0104,4.2886,4.0104,4.2886,1308800
2001-04-02,4.2654,4.2654,4.1031,4.1263,685600
2001-04-03,4.1263,4.1727,4.0452,4.1727,192800
2001-04-04,4.1379,4.1727,4.1147,4.1704,606000
2001-04-05,4.1727,4.2005,4.1565,4.2005,629200
2001-04-06,4.1889,4.3906,4.1727,4.3697,476000
2001-04-09,4.3720,4.3952,4.2770,4.3141,113600
2001-04-10,4.3373,4.4277,4.3373,4.4161,954400
2001-04-11,4.5204,4.8450,4.5204,4.8450,1570000
2001-04-12,4.7916,5.1811,4.7916,5.1811,689200
2001-04-16,5.1695,5.1695,4.9748,4.9840,368000
2001-04-17,4.9609,5.0420,4.8820,4.9840,581200
2001-04-18,4.8681,4.9632,4.8681,4.9330,285200
2001-04-19,4.9099,4.9330,4.7893,4.9238,121600
2001-04-20,4.9609,5.0536,4.8565,4.8681,1139600
2001-04-23,4.8913,4.8913,4.8334,4.8450,946400
2001-04-24,4.8403,4.8519,4.8102,4.8450,626000
2001-04-25,4.8450,4.9029,4.8450,4.8797,326000
2001-04-26,4.8820,4.9029,4.8473,4.8635,469200
2001-04-27,4.8658,4.8705,4.8496,4.8681,549200
2001-04-30,4.8218,5.0072,4.8102,4.9029,946800
2001-05-01,4.9029,5.6517,4.9029,5.5311,889200
2001-05-02,5.5636,5.7838,5.3781,5.6702,547600
2001-05-03,5.6331,5.6563,5.5172,5.5636,289200
2001-05-04,5.5288,5.6099,5.5172,5.5589,521600
2001-05-07,5.5868,5.6795,5.5868,5.6540,176000
2001-05-08,5.6795,5.8348,5.6795,5.8348,920000
2001-05-09,5.8186,5.8186,5.6215,5.6215,213200
2001-05-10,5.5752,5.5984,5.4917,5.4917,161600
2001-05-11,5.5149,5.5149,5.3318,5.3341,71600
2001-05-14,5.3665,5.5868,5.2228,5.5798,136400
2001-05-15,5.6074,5.8025,5.6074,5.7351,244800
2001-05-16,5.7235,5.8512,5.6887,5.8164,309600
2001-05-17,5.8326,6.0834,5.8326,6.0602,278800
2001-05-18,6.0370,6.0834,6.0300,6.0370,119600
2001-05-21,6.0138,6.1066,5.9673,6.1066,113600
2001-05-22,6.1531,6.4317,6.0904,6.1531,606800
2001-05-23,6.1415,6.1531,6.0021,6.0138,323200
2001-05-24,6.0138,6.0138,5.7235,5.8280,375200
2001-05-25,5.8280,5.8977,5.8280,5.8977,251600
2001-05-29,5.8861,5.9789,5.8744,5.9093,271200
2001-05-30,5.9093,6.0370,5.9093,6.0277,334000
2001-05-31,6.0370,6.1995,6.0370,6.1066,350400
2001-06-01,6.1066,6.1299,6.0393,6.0486,77200
2001-06-04,6.0718,6.2227,6.0718,6.2227,92800
2001-06-05,6.3156,6.3156,6.1763,6.2924,513600
2001-06-06,6.2808,6.3249,6.2483,6.2947,279200
2001-06-07,6.2715,6.4317,6.2692,6.3899,400000
2001-06-08,6.3620,6.3737,6.3388,6.3504,111600
2001-06-11,6.3481,6.3504,6.2459,6.2576,267200
2001-06-12,6.2459,6.3853,6.2343,6.3620,351600
2001-06-13,6.3737,6.5710,6.3690,6.4433,111600
2001-06-14,6.4456,6.4781,6.3388,6.3737,155600
2001-06-15,6.3388,6.3853,6.2668,6.2924,436000
2001-06-18,6.3388,6.4317,6.2924,6.3620,177600
2001-06-19,6.3620,6.3737,6.2808,6.2924,145200
2001-06-20,6.2924,6.4131,6.2924,6.4085,306400
2001-06-21,6.4062,6.6407,6.4062,6.4480,946400
2001-06-22,6.5176,6.5176,6.4549,6.4897,276800
2001-06-25,6.5037,6.6546,6.5037,6.6407,233600
2001-06-26,6.6175,6.7568,6.6175,6.7219,731200
2001-06-27,6.7452,6.7870,6.6801,6.7452,396400
2001-06-28,6.8032,6.9657,6.8032,6.9309,433600
2001-06-29,6.9541,6.9890,6.9309,6.9890,523200
2001-07-02,6.9890,7.1167,6.9541,7.1167,410000
2001-07-03,7.0934,7.2560,7.0586,7.2328,197200
2001-07-05,7.2328,7.4975,7.2328,7.3953,460400
2001-07-06,7.3837,7.4069,7.1515,7.1538,181200
2001-07-09,7.1538,7.1631,6.9425,6.9657,556400
2001-07-10,6.9657,6.9657,6.5942,6.5942,346800
2001-07-11,6.5942,6.6407,6.5246,6.5942,250800
2001-07-12,6.5942,6.7568,6.5246,6.7266,349600
2001-07-13,6.7266,6.8032,6.7103,6.7916,151200
2001-07-16,6.7800,6.7916,6.6407,6.6523,93200
2001-07-17,6.6755,6.7452,6.6523,6.7103,190000
2001-07-18,6.7103,6.7103,6.3853,6.4085,139200
2001-07-19,7.0818,7.2792,6.9681,7.2444,2679600
2001-07-20,7.2792,8.1847,7.2792,8.1499,3266800
2001-07-23,7.8945,8.0686,7.6391,7.9177,1524000
2001-07-24,8.0222,8.0222,7.8597,7.8922,934800
