Date,Open,High,Low,Close,Volume
1999-05-04,54.2846,55.1774,49.9989,50.2704,22320900
1999-05-05,49.9132,49.9132,47.3204,49.3775,7565700
1999-05-06,48.5704,49.5561,47.8990,48.5275,2905700
1999-05-07,48.5275,53.4846,47.6776,52.9489,4862300
1999-05-10,52.4132,52.4989,50.1775,50.4918,2589400
1999-05-11,49.9989,50.8489,49.6418,50.4489,1839800
1999-05-12,50.7132,53.4846,49.3775,52.4989,2659300
1999-05-13,52.3203,53.7489,51.7846,53.0346,1142900
1999-05-14,50.8918,51.6061,49.3275,50.1347,2058400
1999-05-17,49.3775,50.1775,48.5704,49.0204,2075000
1999-05-18,48.7490,50.3132,48.6633,49.0204,1407100
1999-05-19,49.5561,49.8632,49.1061,49.5061,727400
1999-05-20,49.6847,50.0918,48.8418,48.8418,520800
1999-05-21,48.6633,49.1490,48.2133,48.2133,936200
1999-05-24,47.8561,48.0347,46.4276,46.6490,1493000
1999-05-25,45.8062,47.0990,45.7133,46.0705,1662400
1999-05-26,46.8776,47.5919,45.0419,47.1847,1602900
1999-05-27,46.4276,48.3918,46.2062,48.3918,1220500
1999-05-28,48.3918,49.1490,47.8561,48.5275,901900
1999-06-01,47.5919,47.5919,45.3990,45.8490,953900
1999-06-02,45.5348,45.7562,44.2848,45.1776,2204300
1999-06-03,45.7133,45.8490,45.0919,45.4490,852600
1999-06-04,45.9347,47.8561,45.9347,46.6990,1357400
1999-06-07,46.5633,48.3918,46.5633,47.0990,891900
1999-06-08,46.6990,46.9204,45.5348,45.5348,571700
1999-06-09,45.8919,46.7847,45.4490,46.7847,611400
1999-06-10,46.3419,46.3847,45.2205,45.2705,664200
1999-06-11,45.6705,45.9347,44.5062,44.9562,969300
1999-06-14,45.3562,45.7133,43.2134,43.7491,821100
1999-06-15,44.9133,45.2705,44.4633,44.8205,831700
1999-06-16,45.6705,46.7419,45.6705,46.6062,690300
1999-06-17,46.0705,47.7704,46.0705,46.4276,955700
1999-06-18,45.8919,46.3419,45.3562,46.2919,613900
1999-06-21,47.6347,49.9561,47.5419,49.6418,1811000
1999-06-22,50.0918,50.0918,48.3918,48.5704,1165900
1999-06-23,47.8990,48.1704,46.3419,46.4276,1351700
1999-06-24,47.1847,47.4990,46.0705,46.4704,1408900
1999-06-25,46.7847,47.7204,46.6990,47.3204,1111500
