Date,Open,High,Low,Close,Volume
1984-12-17,3.9023,3.9023,3.8760,3.8933,183200
1984-12-18,3.9106,4.0145,3.9106,3.9882,603200
1984-12-19,3.9972,4.0061,3.9882,4.0061,440000
1984-12-20,3.9972,3.9972,3.9798,3.9972,381600
1984-12-21,3.9798,3.9798,3.9369,3.9369,219200
1984-12-24,3.9535,3.9625,3.9452,3.9535,24000
1984-12-26,3.9715,3.9798,3.9625,3.9798,18400
1984-12-27,3.9715,3.9715,3.9452,3.9535,23200
1984-12-28,3.9452,3.9452,3.9106,3.9106,40800
1984-12-31,3.9279,3.9715,3.9189,3.9715,62400
1985-01-02,3.9625,3.9882,3.9452,3.9882,27200
1985-01-03,3.9798,3.9798,3.9106,3.9279,109600
1985-01-04,3.9106,3.9106,3.8933,3.8933,12800
1985-01-07,3.8933,3.8933,3.8241,3.8414,116000
1985-01-08,3.8414,3.8414,3.8151,3.8241,363200
1985-01-09,3.7985,3.8587,3.7985,3.8587,825600
1985-01-10,3.9106,4.0664,3.9106,4.0664,1064800
1985-01-11,4.0664,4.0837,4.0145,4.0318,511200
1985-01-14,4.0664,4.1529,4.0574,4.1356,133600
1985-01-15,4.1356,4.2394,4.1356,4.2221,656000
1985-01-16,4.2221,4.3432,4.2221,4.3259,292000
1985-01-17,4.3259,4.3259,4.2830,4.2830,64800
1985-01-18,4.2913,4.3605,4.2913,4.3605,118400
1985-01-21,4.3522,4.5682,4.3522,4.5163,619200
1985-01-22,4.5336,4.6201,4.4990,4.4990,400800
1985-01-23,4.4817,4.4907,4.4124,4.4644,129600
1985-01-24,4.4990,4.5599,4.4990,4.5509,136800
1985-01-25,4.5336,4.5509,4.5253,4.5419,104000
1985-01-28,4.5509,4.5509,4.5163,4.5163,58400
1985-01-29,4.5336,4.5599,4.5163,4.5599,157600
1985-01-30,4.6547,4.7066,4.6374,4.7066,316000
1985-01-31,4.7066,4.7066,4.6720,4.6720,119200
1985-02-01,4.6720,4.6720,4.5855,4.5855,184800
1985-02-04,4.5682,4.6111,4.5682,4.5855,52800
1985-02-05,4.5855,4.6374,4.5855,4.6374,100800
1985-02-06,4.6291,4.6720,4.6291,4.6547,289600
1985-02-07,4.6547,4.6893,4.6547,4.6893,128000
1985-02-08,4.6893,4.7329,4.6893,4.7329,44000
1985-02-11,4.7412,4.7675,4.7412,4.7675,143200
1985-02-12,4.7495,4.7585,4.7239,4.7239,240800
1985-02-13,4.7412,4.7758,4.7239,4.7585,255200
1985-02-14,4.7758,4.7758,4.7412,4.7412,107200
1985-02-15,4.7412,4.7412,4.6374,4.6374,160000
1985-02-19,4.5682,4.5682,4.5163,4.5163,121600
1985-02-20,4.5163,4.5419,4.5163,4.5253,154400
