Date,Open,High,Low,Close,Volume
1984-12-18,1.6400,1.6537,1.6194,1.6537,467100
1984-12-19,1.6537,1.6951,1.6537,1.6814,429908
1984-12-20,1.6744,1.6814,1.6674,1.6777,398199
1984-12-21,1.6674,1.6744,1.6537,1.6537,259808
1984-12-24,1.6674,1.6814,1.6674,1.6814,87699
1984-12-26,1.6881,1.7021,1.6814,1.6881,203799
1984-12-27,1.6814,1.6951,1.5434,1.5434,807908
1984-12-28,1.5574,1.5987,1.5574,1.5710,1923699
1984-12-31,1.5641,1.5710,1.4607,1.4953,972000
1985-01-02,1.5057,1.5710,1.5057,1.5400,742500
1985-01-03,1.5504,1.5710,1.5504,1.5710,131507
1985-01-04,1.5780,1.5847,1.5710,1.5780,293507
1985-01-07,1.5780,1.5780,1.5434,1.5537,155199
1985-01-08,1.5504,1.5641,1.5504,1.5574,436607
1985-01-09,1.5641,1.5951,1.5641,1.5917,342107
1985-01-10,1.5951,1.5951,1.5951,1.5951,185507
1985-01-11,1.5987,1.6020,1.5847,1.5917,315107
1985-01-14,1.5917,1.5987,1.5917,1.5987,202500
1985-01-15,1.6054,1.6124,1.5884,1.6020,384699
1985-01-16,1.5847,1.5987,1.5847,1.5987,467100
1985-01-17,1.5917,1.5951,1.5607,1.5814,352299
1985-01-18,1.5951,1.5987,1.5884,1.5951,139607
1985-01-21,1.5987,1.6090,1.5987,1.6054,384699
1985-01-22,1.5987,1.5987,1.5710,1.5917,320507
1985-01-23,1.5917,1.5987,1.5847,1.5917,143100
1985-01-24,1.5987,1.6157,1.5987,1.6124,305100
1985-01-25,1.6124,1.6157,1.5951,1.5987,202500
1985-01-28,1.5937,1.6796,1.5937,1.6621,286963
1985-01-29,1.6879,1.7138,1.6796,1.7054,1057597
1985-01-30,1.6537,1.6537,1.6195,1.6537,783000
1985-01-31,1.6537,1.6537,1.6279,1.6453,338803
1985-02-01,1.6453,1.6879,1.6363,1.6537,389401
1985-02-04,1.6712,1.7229,1.6712,1.7229,506203
1985-02-05,1.7571,1.7829,1.7571,1.7745,557503
1985-02-06,1.7571,1.8604,1.7571,1.8521,842400
1985-02-07,1.8604,1.9554,1.8346,1.9554,1616497
1985-02-08,1.8947,1.9296,1.8779,1.8947,1285200
1985-02-11,1.8863,1.8863,1.8262,1.8604,773503
1985-02-12,1.8604,1.9638,1.8430,1.9463,830203
1985-02-13,1.9813,1.9813,1.9121,1.9380,897001
1985-02-14,1.9463,2.0413,1.9380,2.0413,2052601
1985-02-15,2.0497,2.0672,1.9980,1.9980,1038103
1985-02-19,1.9813,2.0497,1.9554,2.0497,387997
1985-02-20,2.0672,2.1272,2.0497,2.0672,964501
1985-02-21,2.0588,2.0672,2.0155,2.0413,420397
1985-02-22,2.0329,2.0413,1.9896,1.9980,301597
1985-02-25,1.9813,1.9813,1.9121,1.9813,341503
1985-02-26,1.9813,2.0239,1.9813,1.9980,571003
1985-02-27,2.0071,2.0329,2.0071,2.0239,388800
1985-02-28,2.0413,2.1363,2.0239,2.1363,573703
1985-03-01,2.1188,2.1272,2.0930,2.1188,581101
1985-03-04,2.1188,2.1188,2.0672,2.1014,290797
1985-03-05,2.0846,2.1363,2.0846,2.1188,211903
1985-03-06,2.1105,2.1105,2.1014,2.1105,225997
1985-03-07,2.0846,2.0930,2.0329,2.0846,463597
1985-03-08,2.0846,2.0846,2.0588,2.0672,140400
1985-03-11,1.9980,1.9980,1.9638,1.9980,247597
1985-03-12,1.9813,1.9980,1.9638,1.9980,100501
1985-03-13,1.9813,1.9896,1.9205,1.9296,152503
1985-03-14,1.9205,1.9296,1.9121,1.9205,127501
1985-03-15,1.9205,1.9296,1.9121,1.9296,79603
1985-03-18,1.9296,1.9463,1.9121,1.9205,122101
1985-03-19,1.9205,1.9380,1.8779,1.9121,624301
1985-03-20,1.9205,1.9296,1.9037,1.9296,425797
1985-03-21,1.9205,2.0071,1.9205,2.0071,170701
1985-03-22,2.0071,2.0239,1.9554,1.9554,185497
1985-03-25,1.9554,1.9722,1.9205,1.9296,205200
1985-03-26,1.9380,1.9638,1.9205,1.9554,522997
1985-03-27,1.9296,1.9380,1.9121,1.9296,363103
1985-03-28,1.9296,1.9722,1.9296,1.9380,336697
1985-03-29,1.9554,1.9638,1.9296,1.9463,573703
1985-04-01,1.9463,1.9554,1.9205,1.9380,284101
