Date,Open,High,Low,Close,Volume
2011-03-10,23.3619,23.5865,22.9875,23.2271,64599900
2011-03-11,22.8378,23.4293,22.8378,23.3020,9531600
2011-03-14,23.1822,23.2496,22.8902,23.1448,8663800
2011-03-15,22.7554,23.5865,22.7329,23.4667,7121200
2011-03-16,23.3993,23.9235,23.3020,23.3993,6157900
2011-03-17,23.6165,23.9085,23.5117,23.8935,3332400
2011-03-18,24.0433,24.7696,23.8861,24.7546,5463200
2011-03-21,25.0017,25.0017,23.9609,24.1481,3823500
2011-03-22,24.2380,24.2530,23.5045,23.8636,3943900
2011-03-23,23.7363,24.4701,23.5865,24.4701,4216300
2011-03-24,24.3578,24.6723,24.3353,24.4776,2125600
2011-03-25,24.4926,24.7846,24.3952,24.6723,3026600
2011-03-28,24.6124,24.7921,24.5225,24.7397,2098300
2011-03-29,25.0392,25.4660,24.7471,25.3761,5137300
2011-03-30,25.8853,25.8853,25.4061,25.6382,3049500
2011-03-31,25.4585,25.5409,25.2076,25.3611,1960600
2011-04-01,25.3761,25.5334,25.2039,25.2638,1822100
2011-04-04,25.3611,25.3611,24.9418,25.2114,2648000
2011-04-05,25.2339,25.4959,24.8969,25.4735,3607100
2011-04-06,25.2713,25.6082,24.8894,24.9343,2718500
2011-04-07,24.9194,25.3462,24.5974,25.2039,1946900
2011-04-08,25.0991,25.4510,24.7022,24.8370,2339800
2011-04-11,24.9643,24.9643,23.0549,24.0508,15028000
2011-04-12,24.0433,24.4027,23.4592,23.6090,3848800
2011-04-13,23.9609,24.2979,23.7363,24.0059,3969800
2011-04-14,23.8786,24.3353,23.8037,24.0658,1565900
2011-04-15,24.1856,24.2455,23.8786,23.9460,3072800
2011-04-18,23.8261,24.3653,23.0250,24.0208,2911100
2011-04-19,24.7696,24.7846,23.7063,23.7662,3838100
2011-04-20,23.9609,24.1030,23.3245,23.6989,3866100
2011-04-21,23.8187,23.9460,23.4143,23.5117,1462000
2011-04-25,23.6315,23.6613,23.2870,23.5117,732700
2011-04-26,23.4742,24.0133,23.3320,23.9609,1800000
2011-04-27,24.1556,24.7097,24.1483,24.4476,3354500
2011-04-28,24.3428,24.7022,24.1481,24.3877,1600000
2011-04-29,24.3353,24.6049,23.9834,24.5600,1233900
2011-05-02,24.5600,25.3012,24.5600,25.0392,2786200
2011-05-03,25.1515,25.3701,23.9160,24.4177,3429400
2011-05-04,24.7846,25.4285,24.5525,25.1215,4518300
2011-05-05,25.0467,26.0126,24.8220,25.7131,2613000
