Date,Open,High,Low,Close,Volume
1981-09-22,0.0173,0.0173,0.0173,0.0173,7435800
1981-09-23,0.0173,0.0173,0.0173,0.0173,7380100
1981-09-24,0.0173,0.0173,0.0173,0.0173,5065639
1981-09-25,0.0173,0.0173,0.0173,0.0173,7306630
1981-09-28,0.0173,0.0173,0.0173,0.0173,5794525
1981-09-29,0.0173,0.0173,0.0173,0.0173,3953003
1981-09-30,0.0173,0.0173,0.0173,0.0173,5248800
1981-10-01,0.0173,0.0173,0.0173,0.0173,4374000
1981-10-02,0.0173,0.0230,0.0173,0.0173,3479722
1981-10-05,0.0173,0.0230,0.0173,0.0173,1766003
1981-10-06,0.0173,0.0230,0.0173,0.0173,2514708
1981-10-07,0.0173,0.0230,0.0173,0.0173,4190839
1981-10-08,0.0173,0.0230,0.0173,0.0173,126436
1981-10-09,0.0173,0.0230,0.0173,0.0173,5612730
1981-10-12,0.0173,0.0230,0.0173,0.0173,363930
1981-10-13,0.0173,0.0230,0.0173,0.0173,1146808
1981-10-14,0.0173,0.0230,0.0173,0.0173,363930
1981-10-15,0.0173,0.0230,0.0173,0.0173,3097680
1981-10-16,0.0173,0.0230,0.0173,0.0173,291486
1981-10-19,0.0173,0.0230,0.0173,0.0173,1220278
1981-10-20,0.0230,0.0230,0.0230,0.0230,1493994
1981-10-21,0.0230,0.0230,0.0230,0.0230,7106725
1981-10-22,0.0230,0.0230,0.0230,0.0230,6377839
1981-10-23,0.0230,0.0290,0.0230,0.0230,3917122
1981-10-26,0.0230,0.0290,0.0230,0.0230,4300530
1981-10-27,0.0230,0.0290,0.0230,0.0230,1238730
1981-10-28,0.0230,0.0290,0.0230,0.0230,3425730
1981-10-29,0.0230,0.0290,0.0230,0.0230,599716
1981-10-30,0.0230,0.0290,0.0230,0.0230,417922
1981-11-02,0.0290,0.0290,0.0290,0.0290,837211
1981-11-03,0.0290,0.0290,0.0290,0.0290,1092817
1981-11-04,0.0290,0.0290,0.0290,0.0290,1110586
1981-11-05,0.0290,0.0290,0.0290,0.0290,4244830
1981-11-06,0.0290,0.0290,0.0290,0.0290,126436
1981-11-09,0.0290,0.0290,0.0230,0.0230,4427992
1981-11-10,0.0230,0.0290,0.0230,0.0230,2786716
1981-11-11,0.0230,0.0290,0.0230,0.0230,363930
1981-11-12,0.0230,0.0290,0.0230,0.0230,673186
1981-11-13,0.0230,0.0290,0.0230,0.0230,291486
1981-11-16,0.0230,0.0290,0.0230,0.0230,2860186
1981-11-17,0.0290,0.0290,0.0290,0.0290,145914
1981-11-18,0.0290,0.0290,0.0290,0.0290,363930
1981-11-19,0.0290,0.0290,0.0290,0.0290,145914
1981-11-20,0.0290,0.0290,0.0290,0.0290,2660280
1981-11-23,0.0290,0.0290,0.0290,0.0290,910680
1981-11-24,0.0290,0.0290,0.0290,0.0290,327708
1981-11-25,0.0290,0.0290,0.0290,0.0290,199905
1981-11-27,0.0290,0.0290,0.0290,0.0290,145914
1981-11-30,0.0290,0.0290,0.0290,0.0290,89872
1981-12-01,0.0290,0.0290,0.0290,0.0290,145914
1981-12-02,0.0290,0.0290,0.0290,0.0290,363930
1981-12-03,0.0290,0.0290,0.0290,0.0290,1693900
1981-12-04,0.0290,0.0347,0.0290,0.0290,4773811
1981-12-07,0.0347,0.0347,0.0347,0.0347,3953003
1981-12-08,0.0347,0.0347,0.0347,0.0347,2860186
1981-12-09,0.0347,0.0347,0.0347,0.0347,1220278
1981-12-10,0.0347,0.0347,0.0347,0.0347,745630
1981-12-11,0.0347,0.0347,0.0347,0.0347,272008
1981-12-14,0.0347,0.0347,0.0290,0.0290,1657678
1981-12-15,0.0290,0.0290,0.0290,0.0290,2860186
1981-12-16,0.0290,0.0290,0.0290,0.0290,145914
1981-12-17,0.0290,0.0290,0.0290,0.0290,1911916
1981-12-18,0.0290,0.0290,0.0290,0.0290,545725
1981-12-21,0.0290,0.0290,0.0290,0.0290,837211
1981-12-22,0.0290,0.0290,0.0290,0.0290,1384644
1981-12-23,0.0290,0.0290,0.0290,0.0290,1146808
1981-12-24,0.0290,0.0290,0.0290,0.0290,1766003
1981-12-28,0.0290,0.0290,0.0290,0.0290,417922
1981-12-29,0.0290,0.0290,0.0290,0.0290,399811
1981-12-30,0.0290,0.0347,0.0290,0.0290,417922
1981-12-31,0.0290,0.0347,0.0290,0.0290,272008
1982-01-04,0.0290,0.0347,0.0290,0.0290,126436
1982-01-05,0.0290,0.0347,0.0290,0.0290,399811
1982-01-06,0.0290,0.0347,0.0290,0.0290,291486
1982-01-07,0.0290,0.0347,0.0290,0.0290,3061800
1982-01-08,0.0347,0.0347,0.0347,0.0347,399811
1982-01-11,0.0347,0.0347,0.0347,0.0347,363930
1982-01-12,0.0347,0.0347,0.0347,0.0347,291486
1982-01-13,0.0347,0.0347,0.0347,0.0347,16403
1982-01-14,0.0347,0.0347,0.0347,0.0347,53992
1982-01-15,0.0347,0.0347,0.0347,0.0347,272008
1982-01-18,0.0347,0.0347,0.0347,0.0347,145914
1982-01-19,0.0347,0.0347,0.0347,0.0347,1146808
1982-01-20,0.0346,0.0346,0.0346,0.0346,121196
1982-01-21,0.0346,0.0346,0.0346,0.0346,2514594
1982-01-22,0.0346,0.0346,0.0346,0.0346,637192
1982-01-25,0.0346,0.0346,0.0346,0.0346,782992
1982-01-26,0.0346,0.0346,0.0346,0.0346,453803
1982-01-27,0.0346,0.0346,0.0346,0.0346,1328603
1982-01-28,0.0346,0.0346,0.0346,0.0346,417808
1982-01-29,0.0346,0.0346,0.0346,0.0346,199792
1982-02-01,0.0346,0.0346,0.0346,0.0346,89986
1982-02-02,0.0346,0.0346,0.0346,0.0346,818986
1982-02-03,0.0346,0.0346,0.0346,0.0346,910794
1982-02-04,0.0346,0.0346,0.0346,0.0346,181794
1982-02-05,0.0346,0.0346,0.0346,0.0346,1328603
1982-02-08,0.0346,0.0346,0.0346,0.0346,1092817
1982-02-09,0.0346,0.0346,0.0346,0.0346,126208
1982-02-10,0.0346,0.0346,0.0346,0.0346,745403
1982-02-11,0.0346,0.0346,0.0346,0.0346,381586
1982-02-12,0.0346,0.0346,0.0346,0.0346,545611
1982-02-16,0.0346,0.0346,0.0346,0.0346,545611
1982-02-17,0.0346,0.0346,0.0289,0.0289,272008
1982-02-18,0.0289,0.0346,0.0289,0.0289,16403
1982-02-19,0.0346,0.0346,0.0346,0.0346,1458000
1982-02-22,0.0346,0.0346,0.0346,0.0346,453803
1982-02-23,0.0346,0.0346,0.0289,0.0289,599603
1982-02-24,0.0289,0.0346,0.0289,0.0289,272008
1982-02-25,0.0346,0.0346,0.0346,0.0346,363817
1982-02-26,0.0346,0.0346,0.0346,0.0346,363817
1982-03-01,0.0346,0.0346,0.0346,0.0346,818986
1982-03-02,0.0346,0.0346,0.0346,0.0346,16403
1982-03-03,0.0346,0.0346,0.0346,0.0346,53992
1982-03-04,0.0346,0.0346,0.0346,0.0346,308003
1982-03-05,0.0346,0.0346,0.0346,0.0346,363817
1982-03-08,0.0346,0.0346,0.0346,0.0346,126208
1982-03-09,0.0346,0.0346,0.0346,0.0346,181794
1982-03-10,0.0346,0.0346,0.0346,0.0346,381586
1982-03-11,0.0346,0.0346,0.0346,0.0346,327594
1982-03-12,0.0346,0.0346,0.0346,0.0346,181794
1982-03-15,0.0346,0.0346,0.0346,0.0346,272008
1982-03-16,0.0346,0.0346,0.0346,0.0346,729000
1982-03-17,0.0346,0.0346,0.0346,0.0346,199792
1982-03-18,0.0346,0.0346,0.0346,0.0346,1182803
1982-03-19,0.0406,0.0406,0.0406,0.0406,818986
1982-03-22,0.0406,0.0406,0.0406,0.0406,1328603
