Date,Open,High,Low,Close,Volume
1983-04-06,4.8028,4.8028,4.7017,4.7522,563100
1983-04-07,4.7765,4.8533,4.7017,4.8270,654000
1983-04-08,4.9544,5.0313,4.8533,5.0050,1287900
1983-04-11,5.0555,5.1829,5.0313,5.1061,1340100
1983-04-12,5.1304,5.1304,5.0555,5.1061,903900
1983-04-13,5.1061,5.1061,4.9544,5.0313,449400
1983-04-14,5.0555,5.2072,5.0555,5.2072,2201400
1983-04-15,5.2335,5.2335,5.1567,5.2072,618600
1983-04-18,5.2072,5.2335,5.0798,5.2072,1045800
1983-04-19,5.1304,5.2072,5.0555,5.0798,569100
1983-04-20,5.0313,5.1567,5.0313,5.0798,731400
1983-04-21,5.1061,5.1061,4.9302,4.9544,667500
1983-04-22,4.9544,4.9787,4.8796,4.9039,364800
1983-04-25,5.0050,5.0555,4.9544,5.0555,513300
1983-04-26,5.1829,5.3589,5.0050,5.2820,1484100
1983-04-27,5.3346,5.4337,5.2335,5.2820,1817700
1983-04-28,5.3346,5.3831,5.2820,5.3346,920100
1983-04-29,5.4600,5.5611,5.3346,5.4863,2624100
1983-05-02,5.4337,5.4863,5.3589,5.3589,915300
1983-05-03,5.3346,5.4094,5.2820,5.3831,1007100
1983-05-04,5.4863,5.5611,5.4094,5.4337,971100
1983-05-05,5.2072,5.4337,4.9544,5.0555,834900
1983-05-06,5.1567,5.4094,5.1567,5.3083,702600
1983-05-09,5.2335,5.2820,5.1567,5.2335,754500
1983-05-10,5.2072,5.3589,5.2072,5.3083,415800
1983-05-11,5.3083,5.4600,5.3083,5.3831,614100
1983-05-12,5.3831,5.4337,5.3083,5.3589,914700
1983-05-13,5.3589,5.4600,5.3589,5.3831,993600
1983-05-16,5.3831,5.4863,5.3083,5.4600,538500
1983-05-17,5.5105,5.5611,5.4337,5.5105,753000
1983-05-18,5.5611,5.5611,5.3589,5.4600,972000
1983-05-19,5.4600,5.4863,5.3346,5.3589,540900
1983-05-20,5.3589,5.4337,5.3083,5.3831,485700
