Date,Open,High,Low,Close,Volume
1995-12-15,13.0794,13.5563,13.0794,13.5563,1283000
1995-12-18,13.6244,13.6598,13.2157,13.3192,2710200
1995-12-19,13.3192,13.3192,12.9432,13.0467,1096600
1995-12-20,13.0467,13.4555,13.0467,13.3874,3904000
1995-12-21,13.3519,13.4555,13.1149,13.2157,3891400
1995-12-22,13.2838,13.3874,13.2157,13.2838,2170200
1995-12-26,13.2838,13.2838,13.1830,13.2511,935600
1995-12-27,13.2157,13.2511,13.1149,13.1149,1391400
1995-12-28,13.0467,13.2157,13.0113,13.1149,1983000
1995-12-29,13.0467,13.1830,12.9105,13.1830,1028000
1996-01-02,13.1121,13.2838,13.0113,13.2157,1641200
1996-01-03,13.1830,13.2838,13.1476,13.1830,2544000
1996-01-04,13.1135,13.2838,13.0113,13.2157,2348200
1996-01-05,13.1816,13.2838,13.1476,13.1816,3229000
1996-01-08,13.4200,13.5917,13.3519,13.5917,1086400
1996-01-09,13.5917,13.5917,13.4200,13.5263,4461400
1996-01-10,13.4200,13.5904,13.3519,13.5904,1805000
1996-01-11,13.5904,13.5904,13.4200,13.5265,2521600
1996-01-12,13.3860,13.4541,13.0454,13.1476,1359200
1996-01-15,13.5917,13.7607,13.5563,13.7607,945600
1996-01-16,14.0004,14.0004,13.7934,13.8288,1892000
1996-01-17,13.5904,13.7607,13.5563,13.7607,1104800
1996-01-18,13.9991,13.9991,13.7947,13.8288,1987200
1996-01-19,13.6925,13.7947,13.6585,13.6585,1019200
1996-01-22,13.5563,13.6244,13.4882,13.6244,1224000
1996-01-23,13.7607,13.8969,13.7280,13.8642,2034400
1996-01-24,13.5563,13.6244,13.4882,13.6244,2159600
1996-01-25,13.7607,13.8969,13.7266,13.8628,2170000
1996-01-26,13.8288,13.8628,13.7266,13.7607,1425600
1996-01-29,13.6244,13.6925,13.5209,13.6244,412800
1996-01-30,13.5563,13.6244,13.4555,13.5209,635200
1996-01-31,13.6244,13.6925,13.5222,13.6244,1502800
1996-02-01,13.5563,13.6244,13.4541,13.5222,1231400
1996-02-02,13.4882,13.6585,13.4200,13.6585,917200
1996-02-05,13.4882,13.6585,13.4882,13.6244,702000
1996-02-06,13.6244,13.7266,13.5904,13.6925,726800
1996-02-07,13.6925,13.7607,13.5904,13.7266,1627800
1996-02-08,13.7266,13.9650,13.6925,13.9650,1513200
1996-02-09,13.9650,14.0672,13.7947,13.8288,1344800
1996-02-12,13.8288,14.0672,13.8288,14.0331,904400
1996-02-13,13.8628,14.2375,13.8628,14.1353,1055600
1996-02-14,14.0672,14.2716,14.0672,14.1694,717000
1996-02-15,14.0672,14.2375,14.0672,14.1013,691800
1996-02-16,14.0331,14.0672,13.7947,13.8628,1504200
1996-02-20,13.6244,13.9650,13.5904,13.8628,1628200
1996-02-21,13.7607,14.2035,13.7607,13.9991,997800
1996-02-22,13.8969,14.3056,13.8969,14.2716,1141000
1996-02-23,14.3056,14.4759,14.2716,14.3738,1193800
1996-02-26,14.3738,14.4419,14.2375,14.4419,748200
1996-02-27,14.4078,14.4078,14.2716,14.3397,782200
1996-02-28,14.3476,14.5192,14.2103,14.2103,732000
1996-02-29,14.1416,14.4162,14.1073,14.1416,1416000
1996-03-01,14.1416,14.4849,14.0730,14.3833,714600
1996-03-04,14.5865,14.7595,14.4162,14.4849,1050600
1996-03-05,14.4849,14.5206,14.2789,14.4162,1455600
1996-03-06,14.5878,14.7595,14.4162,14.4849,613400
1996-03-07,14.4849,14.5192,14.2789,14.4162,1108000
1996-03-08,14.4162,14.4505,14.2789,14.4162,1946400
1996-03-11,13.6968,13.8341,13.4222,13.5924,850600
1996-03-12,13.3865,13.4551,13.1476,13.3178,1167800
1996-03-13,13.6954,13.8327,13.4208,13.5924,925400
1996-03-14,13.3865,13.4551,13.1462,13.3178,1018600
1996-03-15,13.2835,13.4208,13.2835,13.3178,1836000
1996-03-18,13.0762,13.3865,13.0762,13.3508,1970200
1996-03-19,13.4222,13.7984,13.4222,13.7297,1821600
1996-03-20,13.0776,13.3865,13.0776,13.3522,976800
1996-03-21,13.5581,13.7984,13.4208,13.7297,842000
1996-03-22,13.7297,13.8670,13.6611,13.7984,622800
1996-03-25,13.7627,14.0043,13.6968,13.7627,839400
1996-03-26,13.6611,13.7984,13.6611,13.7297,997600
1996-03-27,13.7640,14.0043,13.6954,13.7640,788600
1996-03-28,13.6611,13.7984,13.6611,13.7297,899600
1996-03-29,13.7297,13.7640,13.6268,13.6954,1288000
1996-04-01,13.5595,13.5924,13.4881,13.5924,643600
1996-04-02,13.5581,13.5924,13.4895,13.5924,1291000
1996-04-03,13.6268,13.6268,13.3865,13.5238,894000
1996-04-04,13.5238,13.5924,13.4208,13.4895,633800
1996-04-08,13.1119,13.3178,13.0762,13.2135,635600
1996-04-09,13.1119,13.3178,13.0776,13.2149,1143800
1996-04-10,13.2149,13.2492,12.7686,12.9403,727200
1996-04-11,12.9059,12.9059,12.6657,12.7000,1861000
1996-04-12,12.6657,12.6657,12.2195,12.4941,1644200
1996-04-15,12.7686,12.9389,12.7686,12.8373,502000
1996-04-16,12.7686,12.9403,12.7686,12.8373,999200
1996-04-17,12.8373,12.8373,12.5284,12.5284,1801800
1996-04-18,12.5284,12.9403,12.4941,12.8373,1567800
1996-04-19,12.8030,13.3178,12.8030,13.2149,1171600
1996-04-22,13.1805,13.2849,13.1805,13.2492,831600
1996-04-23,13.1805,13.2835,13.1805,13.2492,614200
1996-04-24,13.1805,13.2149,12.9746,13.0432,796200
1996-04-25,13.0776,13.1119,12.9746,13.0089,1177400
1996-04-26,12.9403,12.9403,12.8030,12.8716,355400
1996-04-29,12.7000,13.0103,12.6643,12.9389,1096200
1996-04-30,12.7000,13.0089,12.6657,12.9403,1286400
1996-05-01,13.1805,13.5238,13.1462,13.2835,320000
1996-05-02,13.3865,13.3865,13.1476,13.1805,593800
1996-05-03,13.3865,13.4208,13.2492,13.3178,848400
1996-05-06,13.0432,13.1476,12.9389,12.9746,720400
1996-05-07,13.0103,13.0103,12.7686,12.7686,768200
1996-05-08,13.0432,13.1462,12.9403,12.9746,898200
1996-05-09,13.0089,13.0089,12.7686,12.7686,676600
1996-05-10,12.7000,12.9746,12.7000,12.8030,1130800
1996-05-13,12.9746,13.4551,12.9389,13.4551,427800
1996-05-14,13.4222,13.4551,13.1805,13.3178,844200
1996-05-15,12.9746,13.4551,12.9403,13.4551,574400
1996-05-16,13.4208,13.4551,13.1805,13.3178,376800
1996-05-17,13.3178,13.6611,13.2835,13.5581,777200
1996-05-20,13.9357,14.1087,13.7984,13.8341,395400
1996-05-21,13.7984,14.1087,13.7984,14.0730,317200
1996-05-22,13.9357,14.1073,13.7984,13.8327,1730800
1996-05-23,13.7984,14.1073,13.7984,14.0730,1167400
1996-05-24,14.0386,14.1759,13.8327,14.1759,428200
1996-05-28,14.2103,14.2789,14.1416,14.2103,488800
1996-05-29,14.1463,14.2847,14.1463,14.2515,1513000
1996-05-30,14.3206,14.3898,14.2515,14.3206,472400
1996-05-31,14.1477,14.2860,14.1477,14.2515,557400
1996-06-03,14.2847,14.3566,14.2515,14.3206,437800
1996-06-04,14.2860,14.3552,14.2515,14.3206,323800
1996-06-05,14.3206,14.3206,14.2515,14.2860,855400
1996-06-06,14.2515,14.6665,14.2515,14.6320,378000
1996-06-07,14.7011,14.7703,14.5974,14.6665,1567200
1996-06-10,14.6333,14.8381,14.5282,14.6998,337600
1996-06-11,14.4950,14.5614,14.4230,14.5614,445200
