Date,Open,High,Low,Close,Volume
2011-03-22,29.4943,31.0466,28.0741,30.9558,491400
2011-03-23,30.6090,31.2118,30.5099,30.7576,601200
2011-03-24,30.9641,30.9641,30.6751,30.7576,230400
2011-03-25,30.9641,32.4091,30.7576,32.4091,497400
2011-03-28,32.2026,32.2026,31.1705,31.1705,53100
2011-03-29,31.1788,31.3356,30.9393,30.9641,269300
2011-03-30,31.3356,31.7815,30.2044,31.5421,8573500
2011-03-31,31.7485,35.2908,31.3769,34.2669,2653000
2011-04-01,33.8458,35.0431,32.8962,33.0614,2222900
2011-04-04,32.9127,33.8706,32.3182,33.1522,1122700
2011-04-05,32.6403,33.3008,31.9797,33.2348,1373400
2011-04-06,32.9127,33.2843,32.3017,32.7641,2080100
2011-04-07,31.5834,32.4091,30.9723,32.0375,2134600
2011-04-08,31.6494,32.1036,31.5421,31.7898,1307200
2011-04-11,31.7898,31.8558,31.6081,31.6412,1563100
2011-04-12,31.3026,31.7237,31.0962,31.4182,1637500
2011-04-13,31.1375,31.6824,30.7824,31.3769,1649100
2011-04-14,31.2944,32.4999,31.2531,32.0127,1232400
2011-04-15,32.1118,33.6476,32.0458,33.1439,1502100
2011-04-18,32.5742,33.2100,31.8641,33.0696,793700
2011-04-19,33.0944,33.1274,32.6072,32.8467,802400
2011-04-20,33.1439,33.3256,32.6155,33.0779,358200
2011-04-21,33.0531,33.1852,32.3513,32.4586,799400
2011-04-25,32.3100,32.5412,31.8806,32.2604,298000
2011-04-26,32.1779,32.7889,31.9549,32.4834,696700
2011-04-27,32.1779,33.1935,31.4595,33.0366,772000
2011-04-28,33.0283,33.2265,32.6816,33.0201,692000
2011-04-29,33.0283,33.1687,32.9788,33.0283,556000
2011-05-02,32.5412,34.0109,32.2439,33.8375,542100
2011-05-03,33.7632,33.9284,33.3421,33.4412,539000
2011-05-04,33.3586,33.5816,32.6898,32.9871,591800
2011-05-05,32.8715,34.0192,32.6155,32.8962,635800
2011-05-06,33.0366,33.1522,32.4834,32.6155,413800
2011-05-09,32.4751,32.9045,32.0870,32.6981,368900
2011-05-10,32.8549,33.3091,32.8384,33.1687,709100
2011-05-11,32.5990,32.6155,31.7898,32.0210,1297900
2011-05-12,32.0375,32.1201,31.5999,31.6990,382000
2011-05-13,31.6329,31.8806,31.3522,31.7568,435000
2011-05-16,31.5421,32.1118,31.5421,31.9467,303700
2011-05-17,31.7155,32.1036,31.7155,32.0210,369700
2011-05-18,31.9054,31.9136,31.4512,31.7898,559900
