Date,Open,High,Low,Close,Volume
1970-01-02,2.3837,2.4679,2.3837,2.4311,54000
1970-01-05,2.4563,2.5163,2.4563,2.5163,110800
1970-01-06,2.5163,2.5647,2.4921,2.5163,88800
1970-01-07,2.5163,2.5521,2.5047,2.5047,64800
1970-01-08,2.5163,2.5647,2.5163,2.5647,56400
1970-01-09,2.5647,2.5763,2.5163,2.5405,75600
1970-01-12,2.5405,2.5405,2.5047,2.5289,56800
1970-01-13,2.5289,2.5289,2.4437,2.4437,104800
1970-01-14,2.4437,2.5047,2.4437,2.5047,44800
1970-01-15,2.4795,2.4795,2.4311,2.4437,66000
1970-01-16,2.4437,2.4795,2.4195,2.4437,44400
1970-01-19,2.4437,2.4795,2.4195,2.4563,43200
1970-01-20,2.4563,2.4679,2.3953,2.4437,49200
1970-01-21,2.4679,2.7098,2.4679,2.6373,140400
1970-01-22,2.6373,2.6614,2.5405,2.5521,154000
1970-01-23,2.5521,2.5647,2.4921,2.5047,61200
1970-01-26,2.4921,2.4921,2.3711,2.4195,93600
1970-01-27,2.4195,2.4195,2.3595,2.4195,54000
1970-01-28,2.3953,2.3953,2.2985,2.2985,106000
1970-01-29,2.2859,2.2859,2.2143,2.2617,220000
1970-01-30,2.2617,2.2743,2.2259,2.2743,162400
1970-02-02,2.2743,2.2985,2.2501,2.2985,132000
1970-02-03,2.2985,2.3227,2.2385,2.3227,139200
1970-02-04,2.3227,2.3227,2.2259,2.2617,147600
1970-02-05,2.2617,2.2617,2.2143,2.2259,76000
1970-02-06,2.2259,2.2385,2.2017,2.2259,109600
1970-02-09,2.2259,2.2259,2.2017,2.2259,119200
1970-02-10,2.2259,2.2259,2.2017,2.2259,62400
1970-02-11,2.2259,2.2501,2.2143,2.2501,74800
1970-02-12,2.2501,2.2501,2.2143,2.2259,67200
1970-02-13,2.2259,2.2501,2.2143,2.2259,48000
1970-02-16,2.2259,2.2385,2.2017,2.2385,68400
1970-02-17,2.2259,2.2259,2.1775,2.1775,82800
1970-02-18,2.1892,2.2385,2.1892,2.2017,80400
1970-02-19,2.2017,2.2501,2.1892,2.1892,102400
1970-02-20,2.2017,2.2743,2.2017,2.2143,180000
1970-02-24,2.2143,2.2385,2.2143,2.2259,159600
1970-02-25,2.2259,2.2501,2.2017,2.2259,192400
1970-02-26,2.2259,2.2385,2.2017,2.2143,183600
1970-02-27,2.2143,2.3227,2.1892,2.2743,212400
1970-03-02,2.2985,2.3837,2.2985,2.3227,201600
1970-03-03,2.3227,2.3837,2.2985,2.3837,118800
1970-03-04,2.3837,2.4311,2.3711,2.3953,157200
1970-03-05,2.3953,2.4195,2.3595,2.3837,103200
1970-03-06,2.3837,2.3953,2.3227,2.3343,77200
1970-03-09,2.3343,2.3469,2.3111,2.3227,64000
1970-03-10,2.3227,2.3595,2.3111,2.3469,37600
1970-03-11,2.3469,2.3595,2.3343,2.3343,55600
1970-03-12,2.3343,2.3343,2.2985,2.3111,52800
1970-03-13,2.3111,2.3343,2.2859,2.3343,56400
1970-03-16,2.3343,2.3469,2.2743,2.3111,49200
1970-03-17,2.3111,2.3227,2.2743,2.3111,55600
1970-03-18,2.3111,2.3595,2.2743,2.2985,192000
1970-03-19,2.2985,2.2985,2.2501,2.2743,55600
1970-03-20,2.2743,2.2859,2.2259,2.2743,175200
1970-03-23,2.2743,2.2985,2.2501,2.2617,48000
1970-03-24,2.2743,2.3111,2.2743,2.3111,47200
1970-03-25,2.3111,2.3595,2.2859,2.3469,166000
1970-03-26,2.3469,2.3595,2.3227,2.3469,86800
1970-03-30,2.3469,2.3711,2.3111,2.3227,82000
1970-03-31,2.3227,2.3343,2.2985,2.2985,66000
1970-04-01,2.3111,2.3469,2.3111,2.3227,72000
1970-04-02,2.3227,2.3469,2.3111,2.3111,107200
1970-04-03,2.3111,2.3343,2.2859,2.3343,183600
1970-04-06,2.3343,2.3469,2.2985,2.2985,118000
1970-04-07,2.2985,2.3343,2.2859,2.3343,74400
1970-04-08,2.3343,2.3343,2.3111,2.3111,40000
1970-04-09,2.3111,2.3227,2.2859,2.2985,40800
1970-04-10,2.2859,2.2859,2.2501,2.2501,118800
1970-04-13,2.2501,2.2743,2.2259,2.2617,141600
1970-04-14,2.2617,2.2743,2.2017,2.2501,127600
1970-04-15,2.2501,2.2859,2.2259,2.2385,38400
1970-04-16,2.2385,2.2617,2.0933,2.0933,152800
1970-04-17,2.0440,2.0440,1.9598,2.0324,248400
1970-04-20,2.0324,2.0808,1.9956,2.0082,109600
1970-04-21,2.0082,2.0566,1.9956,1.9956,79200
1970-04-22,1.9956,2.0324,1.9956,2.0082,79200
1970-04-23,2.0082,2.0082,1.9598,2.0082,95200
1970-04-24,2.0082,2.0324,1.9840,1.9956,98400
1970-04-27,2.0324,2.0324,1.9714,2.0082,72000
1970-04-28,1.9714,1.9714,1.9114,1.9240,248400
1970-04-29,1.9356,2.0324,1.9356,2.0324,98400
1970-04-30,2.0324,2.0566,1.9356,1.9840,130000
1970-05-01,1.9840,1.9956,1.9356,1.9356,113200
1970-05-04,1.9356,1.9714,1.8872,1.8988,76000
1970-05-05,1.8988,1.9356,1.8872,1.8872,67200
1970-05-06,1.8872,1.9482,1.8504,1.8872,158800
1970-05-07,1.8872,1.8988,1.8388,1.8630,155200
1970-05-08,1.8630,1.8872,1.8146,1.8388,99600
1970-05-11,1.8388,1.8630,1.7420,1.8030,848800
1970-05-12,1.8030,1.8262,1.7304,1.7904,205600
1970-05-13,1.7904,1.7904,1.7420,1.7662,173200
1970-05-14,1.7662,1.7662,1.7178,1.7420,145200
1970-05-15,1.7420,1.7788,1.7304,1.7662,202800
1970-05-18,1.7662,1.8030,1.7420,1.7662,124000
1970-05-19,1.7662,1.7662,1.6936,1.6936,108400
1970-05-20,1.6936,1.7178,1.6211,1.6453,148000
1970-05-21,1.6453,1.6936,1.6211,1.6936,130800
1970-05-22,1.6936,1.7053,1.6578,1.6811,87600
1970-05-25,1.6578,1.6578,1.5601,1.5601,254400
1970-05-26,1.5601,1.6085,1.5601,1.5727,220800
1970-05-27,1.5727,1.7420,1.5727,1.7053,164800
1970-05-28,1.7662,1.8630,1.7662,1.8504,328000
1970-05-29,1.8504,1.9356,1.8388,1.9114,166000
1970-06-01,1.9114,1.9956,1.8872,1.8872,105600
1970-06-02,1.8872,1.9114,1.8146,1.8504,180400
