Date,Open,High,Low,Close,Volume
2015-11-02,8.9459,9.0533,8.2715,8.6475,40865891
2015-11-03,8.3968,8.7788,8.1611,8.5699,40205612
2015-11-04,8.5878,8.6594,8.1223,8.1522,31516491
2015-11-05,8.1402,8.2894,7.8299,7.9254,22189959
2015-11-06,7.8657,8.6415,7.8478,8.5938,30049669
2015-11-09,8.5102,8.6415,8.4326,8.4744,17528088
2015-11-10,8.4326,8.6177,8.3610,8.5997,14777765
2015-11-11,8.4744,8.5401,8.4088,8.4207,11009387
2015-11-12,8.2417,8.2476,8.1104,8.1760,20371666
2015-11-13,8.1223,8.2118,7.8478,7.9910,14924533
2015-11-16,7.9791,8.1223,7.8418,7.9851,13781375
2015-11-17,7.9851,8.0507,7.8299,7.8896,12420759
2015-11-18,8.0447,8.1939,7.8708,8.1402,13020475
2015-11-19,8.0746,8.2894,8.0686,8.2238,13171491
2015-11-20,8.2238,8.7310,8.1641,8.4804,18558586
2015-11-23,8.4565,8.4804,8.0984,8.2655,15317345
2015-11-24,8.1044,8.3700,8.0567,8.1701,24108918
2015-11-25,8.3014,8.8683,8.2596,8.4267,22674894
2015-11-27,8.4267,8.7370,8.3849,8.5639,6041718
2015-11-30,8.4923,8.9519,8.4625,8.8683,29096030
2015-12-01,8.8802,9.4770,8.8623,9.3159,25106264
2015-12-02,9.1727,9.2741,8.8743,8.9220,12681067
2015-12-03,8.9519,9.1548,8.7012,8.7251,18905240
2015-12-04,8.5878,9.1279,8.4983,9.0831,12001085
2015-12-07,8.9837,9.2712,8.9358,9.2532,9545947
2015-12-08,9.0376,9.1574,8.7561,9.0855,11617601
2015-12-09,8.9777,9.2173,8.7921,8.8939,14261925
2015-12-10,8.8580,8.8699,8.7022,8.8160,11350207
2015-12-11,8.9777,9.2233,8.4687,8.4926,10614763
2015-12-14,8.5645,8.6843,8.3369,8.6483,11527694
2015-12-15,8.6903,8.9717,8.6753,8.7202,12888739
2015-12-16,8.7561,8.8699,8.7142,8.8040,7840968
2015-12-17,8.7501,8.8160,8.5166,8.5705,7625458
2015-12-18,8.5465,8.6154,8.3848,8.4806,19307237
2015-12-21,8.4567,8.6244,8.3069,8.3968,9863255
2015-12-22,8.4088,8.4687,8.3370,8.4207,7292476
2015-12-23,8.4986,8.9658,8.4148,8.9298,11252128
2015-12-24,8.8699,9.0855,8.8580,8.9957,2178459
2015-12-28,8.9178,9.1514,8.8759,9.1215,5930636
2015-12-29,9.1574,9.2455,9.0915,9.1035,6275753
2015-12-30,9.1574,9.2712,9.0736,9.1514,6275778
2015-12-31,9.1215,9.1694,9.0436,9.1035,6767773
2016-01-04,8.9658,9.0736,8.8280,9.0616,15076835
2016-01-05,9.0616,9.1335,8.9478,9.0017,10285834
2016-01-06,8.7561,8.9837,8.6903,8.8639,11315099
2016-01-07,8.6843,8.7202,8.1752,8.2111,19844532
2016-01-08,8.2471,8.3968,7.9716,8.1093,16431854
