Date,Open,High,Low,Close,Volume
1990-01-02,1.0399,1.0707,1.0399,1.0707,374400
1990-01-03,1.0784,1.1055,1.0784,1.0784,899200
1990-01-04,1.0784,1.0901,1.0513,1.0553,361600
1990-01-05,1.0553,1.0630,1.0553,1.0553,131200
1990-01-08,1.0553,1.0593,1.0399,1.0399,222400
1990-01-09,1.0399,1.0476,1.0322,1.0399,489600
1990-01-10,1.0399,1.0439,1.0285,1.0322,598400
1990-01-11,1.0322,1.0359,1.0285,1.0322,582400
1990-01-12,1.0327,1.0327,1.0094,1.0094,128000
1990-01-15,1.0094,1.0094,0.9705,0.9746,432000
1990-01-16,0.9746,1.0056,0.9550,1.0016,744000
1990-01-17,1.0016,1.0016,0.9861,0.9901,976000
1990-01-18,0.9938,1.0056,0.9938,0.9976,324800
1990-01-19,1.0029,1.0185,1.0029,1.0185,387200
1990-01-22,1.0185,1.0185,0.9954,1.0029,296000
1990-01-23,1.0029,1.0110,0.9954,1.0110,211200
1990-01-24,1.0110,1.0148,0.9954,0.9992,272000
1990-01-25,0.9992,1.0070,0.9836,0.9873,220800
1990-01-26,0.9873,0.9914,0.9758,0.9914,126400
1990-01-29,0.9914,0.9914,0.9717,0.9758,172800
1990-01-30,0.9717,0.9717,0.9405,0.9445,638400
1990-01-31,0.9445,0.9523,0.9445,0.9523,848000
1990-02-01,0.9523,0.9523,0.9405,0.9486,188800
1990-02-02,0.9486,0.9561,0.9445,0.9486,126400
1990-02-05,0.9486,0.9523,0.9445,0.9445,97600
1990-02-06,0.9445,0.9486,0.9367,0.9405,779200
1990-02-07,0.9367,0.9367,0.9249,0.9289,444800
1990-02-08,0.9289,0.9445,0.9289,0.9330,502400
1990-02-09,0.9330,0.9367,0.9055,0.9289,384000
1990-02-12,0.9289,0.9330,0.9289,0.9330,110400
1990-02-13,0.9330,0.9330,0.9289,0.9330,99200
1990-02-14,0.9330,0.9330,0.9289,0.9289,62400
1990-02-15,0.9289,0.9289,0.9174,0.9289,627200
1990-02-16,0.9289,0.9289,0.9211,0.9249,1393600
1990-02-20,0.9249,0.9249,0.9211,0.9249,328000
1990-02-21,0.9292,0.9292,0.8899,0.9055,62000
1990-02-22,0.9136,0.9211,0.8980,0.9055,576800
1990-02-23,0.9055,0.9055,0.8980,0.9055,178400
1990-02-26,0.8980,0.9211,0.8980,0.9055,336000
1990-02-27,0.9136,0.9523,0.9136,0.9523,1697600
1990-02-28,0.9523,0.9605,0.9448,0.9523,376000
1990-03-01,0.9367,0.9605,0.9367,0.9605,245600
1990-03-02,0.9605,0.9605,0.9523,0.9605,228800
1990-03-05,0.9605,0.9836,0.9605,0.9679,642400
1990-03-06,0.9679,1.0385,0.9679,1.0385,949600
1990-03-07,1.0697,1.0697,1.0304,1.0460,312800
1990-03-08,1.0460,1.0616,1.0460,1.0616,276000
1990-03-09,1.0772,1.0928,1.0616,1.0772,550400
1990-03-12,1.0772,1.0853,1.0772,1.0772,179200
1990-03-13,1.0697,1.0697,1.0304,1.0541,215200
