Date,Open,High,Low,Close,Volume
1983-04-06,3.9030,3.9030,3.8247,3.8404,139900
1983-04-07,3.8404,3.8485,3.6764,3.7152,430500
1983-04-08,3.6921,3.7315,3.6689,3.7315,66300
1983-04-11,3.7471,3.8404,3.7315,3.8329,211400
1983-04-12,3.8485,3.8567,3.8172,3.8567,315600
1983-04-13,3.8723,3.9975,3.8642,3.9975,163400
1983-04-14,3.9812,4.0206,3.9580,4.0131,44400
1983-04-15,4.0131,4.1063,4.0131,4.1063,162900
1983-04-18,4.1226,4.2866,4.1226,4.2634,490800
1983-04-19,4.2396,4.2709,4.2165,4.2240,114400
1983-04-20,4.3179,4.4274,4.3022,4.3804,1208900
1983-04-21,4.3886,4.3961,4.3416,4.3567,267100
1983-04-22,4.3416,4.3416,4.2709,4.2709,176200
1983-04-25,4.2471,4.3022,4.1927,4.2083,394800
1983-04-26,4.2083,4.2553,4.1533,4.2315,170000
1983-04-27,4.2634,4.3022,4.2240,4.2315,233900
1983-04-28,4.2396,4.2553,4.2240,4.2396,249700
1983-04-29,4.2240,4.2471,4.2008,4.2471,122500
1983-05-02,4.2396,4.2471,4.2165,4.2165,294100
1983-05-03,4.2315,4.2471,4.2165,4.2165,260400
1983-05-04,4.2240,4.2396,4.2083,4.2315,109300
1983-05-05,4.3179,4.4042,4.2240,4.3804,454000
1983-05-06,4.3804,4.5294,4.3723,4.5137,1223700
1983-05-09,4.5137,4.5682,4.4430,4.5450,210400
1983-05-10,4.5294,4.5682,4.5137,4.5450,342200
1983-05-11,4.5294,4.5294,4.4899,4.5137,122000
1983-05-12,4.5137,4.5294,4.5056,4.5294,233400
1983-05-13,4.5137,4.5294,4.5056,4.5212,144500
1983-05-16,4.5056,4.5056,4.4668,4.4818,93900
1983-05-17,4.4587,4.4818,4.4274,4.4743,80600
1983-05-18,4.4899,4.5682,4.4899,4.5212,155700
1983-05-19,4.5369,4.5525,4.4899,4.4899,410100
1983-05-20,4.4743,4.4899,4.4192,4.4899,84200
1983-05-23,4.4743,4.4899,4.4511,4.4818,49500
1983-05-24,4.4818,4.5450,4.4818,4.5369,151100
1983-05-25,4.5212,4.5450,4.5137,4.5450,137900
1983-05-26,4.5450,4.5600,4.5212,4.5212,128700
1983-05-27,4.5137,4.5294,4.4899,4.5056,216500
1983-05-31,4.4899,4.4899,4.4042,4.4274,115900
1983-06-01,4.3961,4.4117,4.3804,4.4117,284900
1983-06-02,4.4274,4.4587,4.3961,4.4430,206300
1983-06-03,4.4587,4.4818,4.4511,4.4587,61200
1983-06-06,4.4430,4.4899,4.4430,4.4899,38800
1983-06-07,4.4899,4.5682,4.4668,4.5682,302800
1983-06-08,4.5682,4.5682,4.4899,4.5056,1007100
1983-06-09,4.5525,4.6852,4.5525,4.6852,245600
1983-06-10,4.6702,4.6933,4.6702,4.6777,241000
1983-06-13,4.6933,4.7246,4.6933,4.7008,88300
1983-06-14,4.7953,4.8028,4.7090,4.7090,247200
1983-06-15,4.7715,4.8654,4.7634,4.8185,327300
1983-06-16,4.8028,4.8967,4.8028,4.8967,265500
1983-06-17,4.8967,4.9280,4.8654,4.8811,199700
1983-06-20,4.9123,4.9123,4.8654,4.8811,152200
1983-06-21,4.9123,4.9436,4.8579,4.9436,203200
1983-06-22,4.9593,5.0062,4.9123,5.0062,77100
1983-06-23,5.0375,5.0688,5.0062,5.0062,236400
1983-06-24,5.0062,5.0219,4.9749,5.0062,57700
1983-06-27,5.0062,5.0062,4.9749,4.9831,57200
1983-06-28,4.9831,4.9987,4.8811,4.9042,106700
1983-06-29,4.8498,4.8967,4.8185,4.8811,245600
1983-06-30,4.8654,4.8811,4.8341,4.8498,291600
1983-07-01,4.8185,4.8185,4.7559,4.7559,107200
1983-07-05,4.7634,4.7634,4.6464,4.6933,381500
1983-07-06,4.7090,4.8185,4.7090,4.7872,169500
1983-07-07,4.8028,4.8654,4.7246,4.7246,139900
1983-07-08,4.7403,4.7403,4.6151,4.6777,145000
1983-07-11,4.7246,4.7403,4.6933,4.6933,148100
1983-07-12,4.6933,4.6933,4.6383,4.6777,114900
1983-07-13,4.6620,4.7403,4.6464,4.7246,143500
1983-07-14,4.7559,4.8028,4.7090,4.7403,103600
1983-07-15,4.7559,4.7559,4.6933,4.6933,212900
1983-07-18,4.6933,4.6933,4.6464,4.6702,136300
1983-07-19,4.6852,4.7246,4.6852,4.7246,132200
1983-07-20,4.8185,4.9593,4.8028,4.9593,266100
1983-07-21,4.9593,4.9593,4.8341,4.8498,215500
1983-07-22,4.8579,4.8811,4.8341,4.8811,34200
1983-07-25,4.8498,4.9123,4.8341,4.8967,44900
1983-07-26,4.9123,4.9123,4.8260,4.8735,84200
1983-07-27,4.8579,4.8811,4.8028,4.8110,36700
1983-07-28,4.8260,4.8423,4.7559,4.7559,29600
1983-07-29,4.6933,4.6933,4.6076,4.6620,264000
1983-08-01,4.6076,4.6151,4.5369,4.5757,361600
1983-08-02,4.5600,4.6620,4.5600,4.6383,225200
1983-08-03,4.6464,4.6464,4.5995,4.6151,93400
1983-08-04,4.6307,4.6307,4.5369,4.5682,173600
1983-08-05,4.5369,4.6151,4.5369,4.5995,231300
1983-08-08,4.5525,4.5682,4.5294,4.5369,96500
1983-08-09,4.5525,4.5682,4.5450,4.5600,239000
