Date,Open,High,Low,Close,Volume
1985-07-01,1.7249,1.7475,1.7249,1.7431,979200
1985-07-02,1.7475,1.7657,1.7475,1.7566,465600
1985-07-03,1.7566,1.7614,1.7523,1.7614,434400
1985-07-05,1.7614,1.7657,1.7475,1.7475,225600
1985-07-08,1.7475,1.7614,1.7384,1.7566,708000
1985-07-09,1.7566,1.7657,1.7566,1.7657,933600
1985-07-10,1.7657,1.7705,1.7566,1.7705,266400
1985-07-11,1.7705,1.7796,1.7566,1.7748,249600
1985-07-12,1.7705,1.7705,1.7475,1.7614,412800
1985-07-15,1.7614,1.7887,1.7475,1.7566,979200
1985-07-16,1.7566,1.7614,1.7384,1.7384,638400
1985-07-17,1.7384,1.7475,1.7111,1.7202,1015200
1985-07-18,1.7202,1.7249,1.7111,1.7202,273600
1985-07-19,1.7202,1.7249,1.7111,1.7202,715200
1985-07-22,1.7249,1.7384,1.7249,1.7384,564000
1985-07-23,1.7384,1.7431,1.6794,1.6794,662400
1985-07-24,1.6794,1.6885,1.6656,1.6656,883200
1985-07-25,1.6656,1.6747,1.6201,1.6201,573600
1985-07-26,1.6110,1.6110,1.5837,1.5928,1212000
1985-07-29,1.6110,1.6110,1.5837,1.5928,1212000
1985-07-30,1.5975,1.6157,1.5975,1.6157,849600
1985-07-31,1.6157,1.6383,1.6110,1.6339,823200
1985-08-01,1.6339,1.6565,1.6339,1.6521,746400
1985-08-02,1.6521,1.6612,1.6521,1.6565,460800
1985-08-05,1.6565,1.6565,1.6292,1.6383,307200
1985-08-06,1.6383,1.6521,1.6339,1.6339,434400
1985-08-07,1.6339,1.6383,1.6066,1.6201,338400
1985-08-08,1.6201,1.6292,1.6066,1.6110,283200
1985-08-09,1.6110,1.6292,1.6110,1.6248,770400
1985-08-12,1.6248,1.6521,1.6201,1.6521,753600
1985-08-13,1.6521,1.6521,1.6383,1.6474,168000
1985-08-14,1.6474,1.6474,1.6292,1.6383,559200
1985-08-15,1.6383,1.6383,1.6110,1.6201,552000
1985-08-16,1.6201,1.6248,1.5975,1.5975,789600
1985-08-19,1.5975,1.6019,1.5837,1.5975,542400
1985-08-20,1.6019,1.6157,1.6019,1.6110,204000
1985-08-21,1.6110,1.6157,1.5975,1.5975,319200
1985-08-22,1.5975,1.5975,1.5928,1.5928,160800
1985-08-23,1.5928,1.5975,1.5611,1.5611,796800
1985-08-26,1.5611,1.5793,1.5611,1.5793,734400
1985-08-27,1.5793,1.5837,1.5746,1.5793,345600
1985-08-28,1.5793,1.5793,1.5655,1.5746,648000
1985-08-29,1.5746,1.5746,1.5655,1.5655,585600
1985-08-30,1.5655,1.6019,1.5655,1.5928,856800
1985-09-03,1.5975,1.6157,1.5975,1.6157,340800
1985-09-04,1.6201,1.6474,1.6201,1.6248,823200
1985-09-05,1.6248,1.6339,1.6201,1.6201,213600
1985-09-06,1.6248,1.6383,1.6248,1.6339,256800
1985-09-09,1.6339,1.6521,1.6292,1.6521,933600
1985-09-10,1.6521,1.6656,1.6474,1.6521,669600
1985-09-11,1.6521,1.6565,1.6339,1.6339,477600
1985-09-12,1.6339,1.6430,1.6066,1.6066,225600
1985-09-13,1.6066,1.6066,1.5746,1.5928,777600
1985-09-16,1.5928,1.6248,1.5928,1.6066,278400
1985-09-17,1.6066,1.6248,1.5884,1.5928,319200
1985-09-18,1.5928,1.5928,1.5793,1.5837,312000
1985-09-19,1.5837,1.6201,1.5793,1.6157,758400
1985-09-20,1.6157,1.6339,1.6019,1.6110,854400
1985-09-23,1.6157,1.6292,1.6157,1.6201,278400
1985-09-24,1.6201,1.6474,1.6201,1.6339,314400
1985-09-25,1.6339,1.6339,1.6110,1.6110,216000
1985-09-26,1.6110,1.6383,1.6019,1.6339,878400
1985-09-30,1.6339,1.6656,1.6292,1.6430,595200
1985-10-01,1.6430,1.6612,1.6248,1.6612,871200
1985-10-02,1.6747,1.7249,1.6747,1.6747,1972800
1985-10-03,1.6838,1.7067,1.6838,1.6976,998400
1985-10-04,1.6976,1.6976,1.6885,1.6885,388800
1985-10-07,1.6929,1.7067,1.6929,1.7067,888000
1985-10-08,1.7067,1.7158,1.6929,1.7158,662400
1985-10-09,1.7202,1.7431,1.7202,1.7340,1173600
1985-10-10,1.7340,1.7431,1.7249,1.7384,439200
1985-10-11,1.7384,1.7614,1.7293,1.7614,880800
